Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,53.93,12.64
2022-03-23 17:00:56,51.75,9.49
2022-03-23 18:00:56,45.7,17.79
2022-03-23 19:00:56,66.13,27.95
2022-03-23 20:00:56,96.75,35.93
2022-03-23 21:00:56,89.47,32.2
2022-03-23 22:00:56,74.15,18.38
2022-03-23 23:00:56,50.68,16.36
2022-03-24 00:00:56,42.24,16.21
2022-03-24 01:00:56,48.72,15.72
2022-03-24 02:00:56,41.18,14.33
2022-03-24 03:00:56,45.65,13.02
2022-03-24 04:00:56,35.93,11.45
2022-03-24 05:00:56,34.0,10.57
2022-03-24 06:00:56,34.14,10.49
2022-03-24 07:00:56,38.0,9.87
2022-03-24 08:00:56,38.53,10.2
2022-03-24 09:00:56,53.53,10.75
2022-03-24 10:00:56,68.21,16.75
2022-03-24 11:00:56,0.0,0.0
