Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,40.62,0.0,0.0,1105.94,79.71,98.81,0.0
2022-03-23 17:00:56,43.12,7.31,0.0,1133.01,90.95,117.87,0.0
2022-03-23 18:00:56,41.49,9.35,0.0,1260.09,107.34,142.15,0.0
2022-03-23 19:00:56,48.82,9.02,0.0,1439.97,126.76,173.11,0.0
2022-03-23 20:00:56,73.45,10.61,0.0,1435.64,0.0,0.0,0.0
2022-03-23 21:00:56,83.14,14.67,0.0,1466.26,101.91,127.36,0.0
2022-03-23 22:00:56,83.42,12.94,0.0,0.0,0.0,0.0,0.0
2022-03-23 23:00:56,58.73,9.9,0.0,1366.34,83.01,101.5,0.0
2022-03-24 00:00:56,51.35,9.68,0.0,0.0,0.0,0.0,0.0
2022-03-24 01:00:56,40.76,8.68,0.0,1191.57,61.08,67.4,0.0
2022-03-24 02:00:56,0.0,8.76,0.0,0.0,0.0,0.0,0.0
2022-03-24 03:00:56,39.67,10.54,0.0,1049.88,0.0,0.0,0.0
2022-03-24 04:00:56,36.17,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 05:00:56,30.43,9.24,0.0,988.65,0.0,0.0,0.0
2022-03-24 06:00:56,32.19,6.43,0.0,0.0,0.0,0.0,0.0
2022-03-24 07:00:56,32.24,9.2,0.0,1016.16,0.0,0.0,0.0
2022-03-24 08:00:56,52.39,10.82,0.0,1160.48,97.43,140.8,0.0
2022-03-24 09:00:56,71.03,14.92,0.0,1384.98,115.04,179.09,0.0
2022-03-24 10:00:56,64.9,16.42,0.0,1322.19,100.49,147.93,0.0
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
