Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,45.5,12.88,19.39,2303.01,18.71,0.0,112.06
2022-03-23 17:00:56,78.48,23.23,22.26,2306.39,21.06,24.25,116.25
2022-03-23 18:00:56,76.02,12.66,22.29,2334.02,22.12,25.5,114.55
2022-03-23 19:00:56,76.44,0.0,23.16,2356.09,0.0,0.0,0.0
2022-03-23 20:00:56,55.85,21.6,25.85,2356.83,20.72,23.67,114.12
2022-03-23 21:00:56,36.58,18.15,31.44,2347.92,20.86,23.76,116.11
2022-03-23 22:00:56,58.02,18.82,30.43,2338.44,18.44,20.96,115.76
2022-03-23 23:00:56,49.48,19.92,31.33,2325.61,17.41,19.77,117.16
2022-03-24 00:00:56,38.48,19.66,35.22,2346.41,17.36,19.47,110.68
2022-03-24 01:00:56,53.92,20.96,36.72,2365.05,19.35,21.75,103.05
2022-03-24 02:00:56,45.04,23.37,32.15,2351.3,19.63,22.54,105.95
2022-03-24 03:00:56,32.13,18.82,30.28,2288.78,15.53,17.5,109.49
2022-03-24 04:00:56,14.03,14.82,28.6,2269.64,15.63,17.89,110.11
2022-03-24 05:00:56,26.39,16.89,24.72,2266.08,17.66,20.38,108.13
2022-03-24 06:00:56,18.54,15.76,21.73,2272.57,14.12,16.26,107.29
2022-03-24 07:00:56,31.16,15.87,27.37,2323.67,17.67,0.0,101.68
2022-03-24 08:00:56,0.0,21.94,0.0,2403.46,0.0,0.0,91.87
2022-03-24 09:00:56,78.28,26.66,43.81,2571.12,44.39,0.0,72.9
2022-03-24 10:00:56,88.24,21.57,29.66,2398.71,26.73,0.0,89.91
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
