Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,66.08,30.29,25.02,546.75,49.98,62.07,0.0
2022-03-23 17:00:56,64.45,21.81,21.62,545.23,45.69,58.66,0.0
2022-03-23 18:00:56,70.5,18.41,20.93,524.09,46.27,58.58,0.0
2022-03-23 19:00:56,63.87,14.18,19.53,678.56,63.98,80.02,0.0
2022-03-23 20:00:56,64.33,15.47,18.77,739.16,61.34,75.68,0.0
2022-03-23 21:00:56,59.61,14.78,19.63,747.44,68.87,85.78,0.0
2022-03-23 22:00:56,54.09,19.08,20.31,791.22,52.33,61.89,0.0
2022-03-23 23:00:56,62.46,17.06,22.84,825.12,76.35,92.67,0.0
2022-03-24 00:00:56,66.67,16.84,20.96,738.48,58.7,70.36,0.0
2022-03-24 01:00:56,61.49,20.31,19.36,782.36,58.79,72.54,0.0
2022-03-24 02:00:56,60.14,22.43,19.82,830.76,56.09,70.57,0.0
2022-03-24 03:00:56,62.81,23.64,19.91,725.74,44.15,49.43,0.0
2022-03-24 04:00:56,52.09,27.78,19.19,719.09,32.92,37.52,0.0
2022-03-24 05:00:56,52.34,21.89,17.13,480.7,24.33,29.5,0.0
2022-03-24 06:00:56,49.02,17.75,16.72,432.11,20.2,23.16,0.0
2022-03-24 07:00:56,41.09,16.23,16.68,464.06,23.76,26.19,0.0
2022-03-24 08:00:56,34.89,15.39,16.7,560.02,35.26,40.3,0.0
2022-03-24 09:00:56,38.02,11.46,17.2,652.31,79.07,114.9,0.0
2022-03-24 10:00:56,38.26,22.24,17.37,878.01,82.44,121.62,0.0
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
