Date,SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,10.09,3.0,8.06,0.0
2022-03-23 17:00:56,9.25,2.95,8.02,0.0
2022-03-23 18:00:56,9.11,3.0,8.08,0.0
2022-03-23 19:00:56,8.46,3.28,8.34,0.0
2022-03-23 20:00:56,7.73,3.14,8.18,0.0
2022-03-23 21:00:56,9.36,3.11,8.12,0.0
2022-03-23 22:00:56,8.67,2.98,7.98,0.0
2022-03-23 23:00:56,9.33,2.94,7.92,0.0
2022-03-24 00:00:56,8.05,2.91,7.88,0.0
2022-03-24 01:00:56,7.16,2.63,7.59,0.0
2022-03-24 02:00:56,5.56,2.58,7.51,0.0
2022-03-24 03:00:56,5.14,2.56,7.5,0.0
2022-03-24 04:00:56,0.0,2.39,7.3,0.0
2022-03-24 05:00:56,2.57,2.47,7.36,0.0
2022-03-24 06:00:56,0.0,2.52,7.41,0.0
2022-03-24 07:00:56,0.0,2.73,7.61,0.0
2022-03-24 08:00:56,2.97,2.79,7.67,0.0
2022-03-24 09:00:56,0.0,2.82,7.76,0.0
2022-03-24 10:00:56,4.9,3.08,8.07,0.0
2022-03-24 11:00:56,4.24,2.85,7.86,0.0
2022-03-24 12:00:56,0.0,0.0,0.0,0.0
