Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,23.51,0.0,2.91,0.0,0.0,0.0
2018-03-29 01:00:56,25.92,0.0,2.19,0.0,0.0,0.0
2018-03-29 02:00:56,22.29,0.0,2.06,0.0,0.0,0.0
2018-03-29 03:00:56,24.92,0.0,2.26,0.0,0.0,0.0
2018-03-29 04:00:56,29.9,0.0,1.93,0.0,0.0,0.0
2018-03-29 05:00:56,24.0,0.0,1.24,0.0,0.0,0.0
2018-03-29 06:00:56,25.89,0.0,1.53,0.0,0.0,0.0
2018-03-29 07:00:56,29.34,0.0,4.27,0.0,0.0,0.0
2018-03-29 08:00:56,37.79,0.0,7.24,0.0,0.0,0.0
2018-03-29 09:00:56,36.1,0.0,4.44,0.0,0.0,0.0
2018-03-29 10:00:56,33.44,0.0,3.8,0.0,0.0,0.0
2018-03-29 11:00:56,33.78,0.0,2.91,0.0,0.0,0.0
2018-03-29 12:00:56,46.47,0.0,3.58,0.0,0.0,0.0
2018-03-29 13:00:56,35.97,0.0,3.09,0.0,0.0,0.0
2018-03-29 14:00:56,30.44,0.0,2.72,0.0,0.0,0.0
2018-03-29 15:00:56,29.22,0.0,2.57,0.0,0.0,0.0
2018-03-29 16:00:56,23.55,0.0,2.4,0.0,0.0,0.0
2018-03-29 17:00:56,25.9,0.0,3.26,0.0,0.0,0.0
2018-03-29 18:00:56,23.1,0.0,4.53,0.0,0.0,0.0
2018-03-29 19:00:56,27.46,0.0,12.3,0.0,0.0,0.0
2018-03-29 20:00:56,42.26,0.0,16.53,0.0,0.0,0.0
2018-03-29 21:00:56,51.46,0.0,12.89,0.0,0.0,0.0
2018-03-29 22:00:56,49.1,0.0,8.5,0.0,0.0,0.0
2018-03-29 23:00:56,45.66,0.0,6.7,0.0,0.0,0.0
2018-03-30 00:00:56,53.58,0.0,5.77,0.0,0.0,0.0
2018-03-30 01:00:56,45.09,0.0,5.27,0.0,0.0,0.0
2018-03-30 02:00:56,38.88,0.0,3.77,0.0,0.0,0.0
2018-03-30 03:00:56,43.46,0.0,4.39,0.0,0.0,0.0
2018-03-30 04:00:56,44.22,0.0,3.39,0.0,0.0,0.0
2018-03-30 05:00:56,45.56,0.0,3.05,0.0,0.0,0.0
2018-03-30 06:00:56,49.11,0.0,4.15,0.0,0.0,0.0
2018-03-30 07:00:56,52.34,0.0,10.74,0.0,0.0,0.0
2018-03-30 08:00:56,74.81,0.0,20.24,0.0,0.0,0.0
2018-03-30 09:00:56,66.98,0.0,12.13,0.0,0.0,0.0
2018-03-30 10:00:56,59.11,0.0,8.86,0.0,0.0,0.0
2018-03-30 11:00:56,65.01,0.0,6.46,0.0,0.0,0.0
2018-03-30 12:00:56,69.34,0.0,4.05,0.0,0.0,0.0
2018-03-30 13:00:56,54.41,0.0,4.28,0.0,0.0,0.0
2018-03-30 14:00:56,48.44,0.0,3.26,0.0,0.0,0.0
2018-03-30 15:00:56,40.99,0.0,4.22,0.0,0.0,0.0
2018-03-30 16:00:56,45.24,0.0,4.3,0.0,0.0,0.0
2018-03-30 17:00:56,45.44,0.0,4.29,0.0,0.0,0.0
2018-03-30 18:00:56,48.9,0.0,9.06,0.0,0.0,0.0
2018-03-30 19:00:56,80.39,0.0,11.2,0.0,0.0,0.0
2018-03-30 20:00:56,92.9,0.0,9.23,0.0,0.0,0.0
2018-03-30 21:00:56,65.16,0.0,8.68,0.0,0.0,0.0
2018-03-30 22:00:56,54.66,0.0,10.16,0.0,0.0,0.0
2018-03-30 23:00:56,68.03,0.0,11.68,0.0,0.0,0.0
