Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,0.0,12.28,4.67,0.0,5.13,5.26,80.99
2018-03-29 01:00:56,0.0,15.05,4.38,0.0,4.7,4.79,84.34
2018-03-29 02:00:56,0.0,14.81,2.55,0.0,3.09,3.25,85.48
2018-03-29 03:00:56,0.0,10.75,2.34,0.0,2.42,2.3,84.39
2018-03-29 04:00:56,0.0,12.84,1.67,0.0,3.08,3.16,78.84
2018-03-29 05:00:56,0.0,15.87,1.39,0.0,2.98,2.7,74.65
2018-03-29 06:00:56,0.0,13.07,1.22,0.0,3.96,3.77,71.89
2018-03-29 07:00:56,0.0,12.69,15.67,0.0,13.33,13.77,46.21
2018-03-29 08:00:56,0.0,14.0,9.06,0.0,9.25,9.26,46.32
2018-03-29 09:00:56,0.0,17.91,7.96,0.0,9.38,9.97,43.52
2018-03-29 10:00:56,0.0,24.34,8.29,0.0,11.68,14.3,36.36
2018-03-29 11:00:56,0.0,27.84,10.18,0.0,6.62,8.91,49.84
2018-03-29 12:00:56,0.0,23.46,19.18,0.0,8.33,13.17,47.94
2018-03-29 13:00:56,0.0,20.07,15.96,0.0,5.46,6.93,82.08
2018-03-29 14:00:56,0.0,17.28,10.02,0.0,3.55,3.94,97.46
2018-03-29 15:00:56,0.0,13.72,4.79,0.0,3.42,3.81,99.75
2018-03-29 16:00:56,0.0,14.34,3.51,0.0,3.26,3.5,102.08
2018-03-29 17:00:56,0.0,11.69,2.92,0.0,4.03,4.71,104.99
2018-03-29 18:00:56,0.0,11.24,3.8,0.0,3.26,3.56,108.97
2018-03-29 19:00:56,0.0,8.21,3.33,0.0,3.53,3.73,107.76
2018-03-29 20:00:56,0.0,8.24,3.91,0.0,8.56,9.1,101.91
2018-03-29 21:00:56,0.0,12.98,9.33,0.0,13.52,14.04,79.06
2018-03-29 22:00:56,0.0,15.4,4.3,0.0,18.04,18.92,62.71
2018-03-29 23:00:56,0.0,16.68,3.88,0.0,5.96,6.47,79.07
2018-03-30 00:00:56,0.0,20.32,3.15,0.0,5.3,5.79,81.16
2018-03-30 01:00:56,0.0,24.71,2.41,0.0,6.1,6.25,73.4
2018-03-30 02:00:56,0.0,24.91,3.8,0.0,9.71,10.14,65.25
