Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,47.38,63.72,433.7,0.0,20.45,36.88,46.07
2018-03-29 01:00:56,43.79,59.44,313.59,0.0,14.13,26.82,48.48
2018-03-29 02:00:56,39.42,49.89,216.34,0.0,8.22,17.48,53.93
2018-03-29 03:00:56,36.36,44.23,179.8,0.0,7.43,16.12,56.74
2018-03-29 04:00:56,26.23,36.07,161.67,0.0,3.53,11.55,59.86
2018-03-29 05:00:56,20.44,28.28,147.17,0.0,5.93,14.21,55.45
2018-03-29 06:00:56,24.68,30.11,145.96,0.0,4.69,12.49,57.01
2018-03-29 07:00:56,29.81,44.69,271.87,0.0,8.7,19.39,53.66
2018-03-29 08:00:56,39.05,48.67,395.91,0.0,13.93,31.78,51.39
2018-03-29 09:00:56,65.17,71.93,538.46,0.0,26.47,52.91,36.35
2018-03-29 10:00:56,72.33,79.85,407.97,0.0,25.09,52.65,37.4
2018-03-29 11:00:56,56.24,71.59,325.7,0.0,15.54,34.81,51.32
2018-03-29 12:00:56,53.82,75.22,331.23,0.0,14.59,34.3,57.27
2018-03-29 13:00:56,58.36,57.73,233.94,0.0,10.75,25.52,68.83
2018-03-29 14:00:56,44.67,39.9,124.46,0.0,8.22,21.77,80.09
2018-03-29 15:00:56,41.0,30.62,131.18,0.0,8.54,21.71,84.16
2018-03-29 16:00:56,44.18,28.03,107.21,0.0,7.43,19.5,90.1
2018-03-29 17:00:56,40.7,24.13,92.95,0.0,7.8,19.19,90.99
2018-03-29 18:00:56,36.4,22.79,112.86,0.0,8.99,20.83,90.13
2018-03-29 19:00:56,33.92,25.56,138.35,0.0,11.55,24.81,90.86
2018-03-29 20:00:56,43.31,29.44,525.42,0.0,26.73,45.59,73.12
2018-03-29 21:00:56,83.7,59.59,1065.35,0.0,59.79,102.16,29.93
2018-03-29 22:00:56,137.94,109.39,610.69,0.0,0.0,0.0,31.06
2018-03-29 23:00:56,114.4,86.18,516.71,0.0,38.76,56.37,47.65
2018-03-30 00:00:56,80.47,52.39,392.24,0.0,30.09,44.58,64.58
2018-03-30 01:00:56,63.74,43.65,266.28,0.0,21.08,33.79,71.68
2018-03-30 02:00:56,56.98,45.89,218.55,0.0,17.3,28.2,71.0
2018-03-30 03:00:56,66.81,49.67,211.91,0.0,16.12,25.54,71.11
2018-03-30 04:00:56,52.32,42.45,218.62,0.0,15.56,23.86,70.06
2018-03-30 05:00:56,38.53,36.75,177.72,0.0,11.93,19.32,73.65
2018-03-30 06:00:56,31.74,33.17,183.96,0.0,14.17,22.25,68.8
2018-03-30 07:00:56,37.35,32.48,176.63,0.0,14.75,22.39,66.55
2018-03-30 08:00:56,48.29,53.02,227.38,0.0,26.6,44.85,52.12
2018-03-30 09:00:56,67.35,70.68,554.61,0.0,43.47,67.39,41.85
2018-03-30 10:00:56,93.07,71.13,357.64,0.0,43.18,74.75,44.24
2018-03-30 11:00:56,89.28,58.84,271.8,0.0,24.15,44.2,62.32
2018-03-30 12:00:56,64.55,42.3,166.18,0.0,20.03,40.44,66.78
2018-03-30 13:00:56,62.77,39.11,139.39,0.0,11.55,25.76,81.29
2018-03-30 14:00:56,46.04,37.34,102.71,0.0,9.45,22.91,86.41
2018-03-30 15:00:56,44.69,32.01,69.22,0.0,5.42,16.33,99.22
2018-03-30 16:00:56,37.76,30.27,55.35,0.0,6.39,16.9,102.01
2018-03-30 17:00:56,34.23,28.48,37.59,0.0,5.66,16.24,107.42
2018-03-30 18:00:56,34.81,27.22,29.36,0.0,7.03,17.28,110.15
2018-03-30 19:00:56,37.89,24.9,25.53,0.0,8.83,19.07,107.72
2018-03-30 20:00:56,35.88,24.98,65.65,0.0,12.05,23.93,96.75
2018-03-30 21:00:56,45.57,31.4,215.72,0.0,31.31,48.07,74.65
2018-03-30 22:00:56,77.44,67.73,480.08,0.0,45.7,67.41,56.42
2018-03-30 23:00:56,85.75,71.12,307.85,0.0,37.01,54.71,63.52
2018-03-31 00:00:56,63.69,65.07,288.42,0.0,32.11,46.88,69.38
2018-03-31 01:00:56,62.9,50.74,241.05,0.0,25.5,39.21,76.54
2018-03-31 02:00:56,52.16,44.42,161.45,0.0,15.26,27.25,85.15
2018-03-31 03:00:56,44.11,40.11,151.1,0.0,12.96,21.98,82.71
2018-03-31 04:00:56,32.62,36.6,114.14,0.0,10.19,17.98,82.17
2018-03-31 05:00:56,28.98,34.29,79.47,0.0,7.72,14.85,82.02
2018-03-31 06:00:56,26.08,33.75,70.09,0.0,9.17,16.31,78.43
2018-03-31 07:00:56,27.13,36.33,61.43,0.0,6.03,13.4,85.24
2018-03-31 08:00:56,29.76,34.2,108.04,0.0,17.38,27.72,70.92
