Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,191.91,32.97
2018-03-29 01:00:56,99.94,6.4
2018-03-29 02:00:56,78.86,5.16
2018-03-29 03:00:56,55.85,5.42
2018-03-29 04:00:56,54.85,5.06
2018-03-29 05:00:56,52.61,5.0
2018-03-29 06:00:56,44.84,5.08
2018-03-29 07:00:56,43.38,4.42
2018-03-29 08:00:56,41.71,7.72
2018-03-29 09:00:56,50.53,4.76
2018-03-29 10:00:56,52.36,4.59
2018-03-29 11:00:56,75.07,5.5
2018-03-29 12:00:56,68.6,5.01
2018-03-29 13:00:56,63.02,6.13
2018-03-29 14:00:56,76.8,5.9
2018-03-29 15:00:56,96.04,6.94
2018-03-29 16:00:56,117.38,5.31
2018-03-29 17:00:56,116.64,4.87
2018-03-29 18:00:56,127.27,5.35
2018-03-29 19:00:56,111.55,5.42
2018-03-29 20:00:56,132.39,6.02
2018-03-29 21:00:56,111.13,5.14
2018-03-29 22:00:56,99.13,4.78
2018-03-29 23:00:56,89.0,4.7
2018-03-30 00:00:56,86.57,4.73
2018-03-30 01:00:56,70.98,7.63
2018-03-30 02:00:56,58.75,7.48
2018-03-30 03:00:56,53.24,6.81
2018-03-30 04:00:56,57.2,6.66
2018-03-30 05:00:56,40.44,6.57
2018-03-30 06:00:56,33.54,6.71
2018-03-30 07:00:56,43.4,7.4
2018-03-30 08:00:56,0.0,8.37
2018-03-30 09:00:56,0.0,10.23
2018-03-30 10:00:56,38.53,10.44
2018-03-30 11:00:56,34.91,8.19
2018-03-30 12:00:56,29.16,7.66
2018-03-30 13:00:56,29.38,8.1
2018-03-30 14:00:56,26.31,6.75
2018-03-30 15:00:56,28.62,5.4
2018-03-30 16:00:56,31.22,6.25
2018-03-30 17:00:56,26.07,5.15
2018-03-30 18:00:56,22.24,4.89
2018-03-30 19:00:56,28.07,4.69
2018-03-30 20:00:56,22.85,5.3
2018-03-30 21:00:56,23.54,6.44
2018-03-30 22:00:56,0.0,5.71
2018-03-30 23:00:56,0.0,5.88
2018-03-31 00:00:56,0.0,5.64
2018-03-31 01:00:56,0.0,3.87
2018-03-31 02:00:56,0.0,3.92
2018-03-31 03:00:56,22.38,3.3
2018-03-31 04:00:56,8.15,3.37
2018-03-31 05:00:56,0.0,2.95
2018-03-31 06:00:56,0.0,3.56
2018-03-31 07:00:56,26.86,4.66
2018-03-31 08:00:56,37.31,4.4
2018-03-31 09:00:56,39.62,5.4
2018-03-31 10:00:56,40.22,3.96
2018-03-31 11:00:56,24.85,4.01
2018-03-31 12:00:56,23.23,3.49
2018-03-31 13:00:56,19.31,3.59
2018-03-31 14:00:56,20.38,2.91
2018-03-31 15:00:56,17.77,3.29
2018-03-31 16:00:56,22.0,3.4
2018-03-31 17:00:56,22.16,3.38
2018-03-31 18:00:56,21.74,3.6
2018-03-31 19:00:56,17.98,3.86
2018-03-31 20:00:56,40.28,8.5
2018-03-31 21:00:56,72.9,8.56
2018-03-31 22:00:56,63.07,6.75
2018-03-31 23:00:56,43.41,7.16
2018-04-01 00:00:56,53.32,9.5
2018-04-01 01:00:56,66.47,8.06
2018-04-01 02:00:56,62.25,5.44
2018-04-01 03:00:56,27.1,4.22
2018-04-01 04:00:56,31.12,4.25
2018-04-01 05:00:56,21.32,5.08
2018-04-01 06:00:56,23.63,4.07
2018-04-01 07:00:56,28.74,5.8
2018-04-01 08:00:56,39.42,6.02
2018-04-01 09:00:56,48.26,8.88
2018-04-01 10:00:56,52.64,5.44
2018-04-01 11:00:56,39.53,5.73
2018-04-01 12:00:56,35.43,5.81
2018-04-01 13:00:56,27.63,4.89
2018-04-01 14:00:56,31.47,3.47
2018-04-01 15:00:56,32.12,3.77
2018-04-01 16:00:56,23.26,3.6
2018-04-01 17:00:56,29.37,3.47
2018-04-01 18:00:56,26.31,3.42
2018-04-01 19:00:56,29.1,8.7
2018-04-01 20:00:56,42.69,15.34
2018-04-01 21:00:56,83.84,11.36
2018-04-01 22:00:56,79.55,8.76
2018-04-01 23:00:56,63.83,10.27
2018-04-02 00:00:56,79.93,8.63
2018-04-02 01:00:56,81.86,7.16
2018-04-02 02:00:56,62.96,5.32
2018-04-02 03:00:56,47.48,4.69
2018-04-02 04:00:56,23.16,4.77
2018-04-02 05:00:56,23.06,3.82
2018-04-02 06:00:56,22.37,4.41
2018-04-02 07:00:56,48.18,6.7
2018-04-02 08:00:56,63.9,12.04
2018-04-02 09:00:56,80.95,13.63
2018-04-02 10:00:56,59.93,8.45
2018-04-02 11:00:56,61.42,6.7
2018-04-02 12:00:56,41.69,6.82
2018-04-02 13:00:56,39.53,6.87
2018-04-02 14:00:56,36.84,5.63
2018-04-02 15:00:56,36.94,5.4
2018-04-02 16:00:56,43.25,6.45
2018-04-02 17:00:56,49.06,6.57
2018-04-02 18:00:56,45.25,6.51
2018-04-02 19:00:56,53.72,7.38
2018-04-02 20:00:56,61.91,8.5
2018-04-02 21:00:56,67.86,5.95
2018-04-02 22:00:56,116.09,3.78
2018-04-02 23:00:56,29.69,4.24
2018-04-03 00:00:56,27.22,3.33
2018-04-03 01:00:56,23.62,5.45
2018-04-03 02:00:56,24.82,6.8
2018-04-03 03:00:56,13.78,6.11
2018-04-03 04:00:56,18.0,5.97
2018-04-03 05:00:56,18.63,6.98
2018-04-03 06:00:56,21.68,6.55
2018-04-03 07:00:56,22.53,6.5
2018-04-03 08:00:56,36.95,7.14
2018-04-03 09:00:56,41.05,6.63
2018-04-03 10:00:56,34.1,7.3
2018-04-03 11:00:56,24.0,6.17
2018-04-03 12:00:56,23.68,6.04
2018-04-03 13:00:56,23.43,6.19
2018-04-03 14:00:56,30.37,5.54
2018-04-03 15:00:56,26.68,5.84
2018-04-03 16:00:56,26.12,6.06
2018-04-03 17:00:56,31.2,5.6
2018-04-03 18:00:56,45.88,5.7
2018-04-03 19:00:56,137.35,5.27
2018-04-03 20:00:56,81.34,5.65
2018-04-03 21:00:56,30.95,5.05
2018-04-03 22:00:56,33.78,5.04
2018-04-03 23:00:56,21.37,4.91
2018-04-04 00:00:56,19.39,5.04
2018-04-04 01:00:56,24.62,3.31
2018-04-04 02:00:56,11.84,2.96
2018-04-04 03:00:56,11.16,2.59
2018-04-04 04:00:56,0.0,2.6
2018-04-04 05:00:56,0.0,2.42
2018-04-04 06:00:56,21.32,2.98
2018-04-04 07:00:56,24.74,1.65
2018-04-04 08:00:56,34.48,3.44
2018-04-04 09:00:56,36.37,4.11
2018-04-04 10:00:56,36.17,2.99
2018-04-04 11:00:56,47.93,3.47
2018-04-04 12:00:56,22.58,2.63
2018-04-04 13:00:56,31.31,3.96
2018-04-04 14:00:56,31.89,3.53
2018-04-04 15:00:56,25.37,2.9
2018-04-04 16:00:56,21.37,3.57
2018-04-04 17:00:56,19.42,2.48
2018-04-04 18:00:56,27.0,2.79
2018-04-04 19:00:56,30.46,4.44
2018-04-04 20:00:56,48.84,8.65
2018-04-04 21:00:56,48.79,9.87
2018-04-04 22:00:56,53.16,6.97
2018-04-04 23:00:56,59.4,9.36
2018-04-05 00:00:56,82.78,6.89
2018-04-05 01:00:56,51.39,8.7
2018-04-05 02:00:56,66.94,5.39
2018-04-05 03:00:56,48.01,4.62
2018-04-05 04:00:56,34.86,3.87
2018-04-05 05:00:56,23.31,5.66
2018-04-05 06:00:56,25.77,4.06
2018-04-05 07:00:56,34.44,8.83
2018-04-05 08:00:56,60.99,11.7
2018-04-05 09:00:56,68.94,7.8
2018-04-05 10:00:56,51.69,7.11
2018-04-05 11:00:56,46.33,5.14
2018-04-05 12:00:56,25.54,4.88
2018-04-05 13:00:56,24.23,4.68
2018-04-05 14:00:56,30.08,4.15
2018-04-05 15:00:56,25.0,3.85
2018-04-05 16:00:56,24.85,3.4
2018-04-05 17:00:56,23.54,4.15
2018-04-05 18:00:56,21.77,4.46
2018-04-05 19:00:56,26.77,6.11
2018-04-05 20:00:56,34.98,8.55
2018-04-05 21:00:56,59.45,16.16
2018-04-05 22:00:56,70.86,8.77
2018-04-05 23:00:56,61.6,11.73
2018-04-06 00:00:56,77.84,15.28
2018-04-06 01:00:56,81.11,8.71
2018-04-06 02:00:56,42.53,8.23
2018-04-06 03:00:56,38.29,6.79
2018-04-06 04:00:56,28.38,6.26
2018-04-06 05:00:56,23.13,5.57
2018-04-06 06:00:56,14.09,6.08
2018-04-06 07:00:56,25.91,9.89
2018-04-06 08:00:56,67.8,12.9
2018-04-06 09:00:56,115.87,10.51
2018-04-06 10:00:56,87.69,11.92
2018-04-06 11:00:56,78.89,9.3
2018-04-06 12:00:56,41.0,7.28
2018-04-06 13:00:56,0.0,7.65
2018-04-06 14:00:56,0.0,7.26
2018-04-06 15:00:56,0.0,6.4
2018-04-06 16:00:56,0.0,5.13
2018-04-06 17:00:56,0.0,6.78
2018-04-06 18:00:56,0.0,6.67
2018-04-06 19:00:56,0.0,7.63
2018-04-06 20:00:56,0.0,17.05
2018-04-06 21:00:56,0.0,14.42
2018-04-06 22:00:56,0.0,19.28
2018-04-06 23:00:56,0.0,15.55
2018-04-07 00:00:56,0.0,14.19
2018-04-07 01:00:56,0.0,4.87
2018-04-07 02:00:56,0.0,4.2
2018-04-07 03:00:56,0.0,3.51
2018-04-07 04:00:56,0.0,3.19
2018-04-07 05:00:56,0.0,2.96
2018-04-07 06:00:56,0.0,3.1
2018-04-07 07:00:56,0.0,4.74
2018-04-07 08:00:56,0.0,6.83
2018-04-07 09:00:56,0.0,7.24
2018-04-07 10:00:56,0.0,5.1
2018-04-07 11:00:56,0.0,6.89
2018-04-07 12:00:56,0.0,4.99
2018-04-07 13:00:56,0.0,2.44
2018-04-07 14:00:56,0.0,2.32
2018-04-07 15:00:56,0.0,2.04
2018-04-07 16:00:56,0.0,2.0
2018-04-07 17:00:56,0.0,1.45
2018-04-07 18:00:56,0.0,1.52
2018-04-07 19:00:56,0.0,2.26
2018-04-07 20:00:56,0.0,8.78
2018-04-07 21:00:56,0.0,14.89
2018-04-07 22:00:56,0.0,10.35
2018-04-07 23:00:56,0.0,8.15
2018-04-08 00:00:56,0.0,10.16
2018-04-08 01:00:56,0.0,12.25
2018-04-08 02:00:56,0.0,10.22
2018-04-08 03:00:56,0.0,9.29
2018-04-08 04:00:56,0.0,7.82
2018-04-08 05:00:56,0.0,6.32
2018-04-08 06:00:56,0.0,7.78
2018-04-08 07:00:56,0.0,8.92
2018-04-08 08:00:56,0.0,9.78
2018-04-08 09:00:56,0.0,11.08
2018-04-08 10:00:56,0.0,11.54
2018-04-08 11:00:56,0.0,10.42
