Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,68.135,23.52,6.18,742.74,40.105000000000004,59.41499999999999,77.13
2022-03-23 17:00:56,63.51,22.9,6.155,726.11,41.595,58.459999999999994,75.41
2022-03-23 18:00:56,60.525000000000006,21.29,6.3,765.4,42.715,56.629999999999995,70.21
2022-03-23 19:00:56,62.585,20.62,6.755,929.69,52.245000000000005,69.21000000000001,61.59
2022-03-23 20:00:56,68.33,26.3,9.305,1359.01,59.144999999999996,91.13000000000001,54.12
2022-03-23 21:00:56,73.45,30.53,6.015000000000001,785.05,40.205,50.004999999999995,59.98
2022-03-23 22:00:56,62.839999999999996,26.69,5.65,887.21,44.52,63.41,69.39
2022-03-23 23:00:56,54.455,23.82,5.675,863.32,40.82,52.965,68.54
2022-03-24 00:00:56,45.46,22.0,2.77,867.33,37.145,49.540000000000006,68.57
2022-03-24 01:00:56,40.254999999999995,20.89,5.855,789.83,28.69,33.06,66.71
2022-03-24 02:00:56,43.42,20.4,4.96,668.59,23.13,29.455000000000002,69.7
2022-03-24 03:00:56,39.29,18.36,4.665,520.83,12.21,14.57,78.24
2022-03-24 04:00:56,31.68,17.16,4.21,475.62,10.635,12.79,81.27
2022-03-24 05:00:56,28.25,16.02,4.41,504.63,11.235,12.98,82.71
2022-03-24 06:00:56,27.225,17.66,4.904999999999999,581.7,18.884999999999998,22.470000000000002,82.91
2022-03-24 07:00:56,29.880000000000003,18.41,5.845000000000001,808.38,23.67,30.855,79.75
2022-03-24 08:00:56,41.19,23.35,7.68,1262.94,50.34,82.235,73.97
2022-03-24 09:00:56,67.455,28.56,7.9399999999999995,979.1,44.95,71.145,73.14
2022-03-24 10:00:56,77.295,29.81,7.76,696.34,33.39,55.24,79.99
2022-03-24 11:00:56,64.66,25.39,6.805,629.68,26.605,44.355000000000004,88.95
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
