Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,274.13,5.64,4.41,4.84,55.17
2018-03-29 01:00:56,302.4,6.47,3.37,3.54,55.88
2018-03-29 02:00:56,220.38,5.18,3.07,3.25,50.96
2018-03-29 03:00:56,120.12,3.68,2.95,3.14,47.9
2018-03-29 04:00:56,22.9,4.2,2.48,2.62,49.7
2018-03-29 05:00:56,11.0,3.84,2.87,3.01,48.54
2018-03-29 06:00:56,11.01,3.29,3.89,4.11,44.92
2018-03-29 07:00:56,12.06,2.94,10.3,11.33,38.4
2018-03-29 08:00:56,21.12,3.39,25.77,30.58,28.51
2018-03-29 09:00:56,38.11,3.85,46.31,61.26,15.93
2018-03-29 10:00:56,52.95,4.08,38.82,52.57,17.17
2018-03-29 11:00:56,46.5,5.56,22.63,28.68,39.53
2018-03-29 12:00:56,117.0,7.86,15.47,19.2,47.45
2018-03-29 13:00:56,0.0,4.66,0.0,0.0,40.77
2018-03-29 14:00:56,64.22,3.05,0.0,0.0,41.47
2018-03-29 15:00:56,100.29,3.39,0.0,0.0,44.05
2018-03-29 16:00:56,137.35,3.09,14.75,18.35,52.57
2018-03-29 17:00:56,181.66,2.9,22.78,28.15,51.62
2018-03-29 18:00:56,135.18,3.04,26.44,31.43,44.45
2018-03-29 19:00:56,161.01,3.47,45.78,58.11,24.11
2018-03-29 20:00:56,162.68,3.29,18.92,21.09,46.72
2018-03-29 21:00:56,117.35,3.32,0.0,0.0,41.9
2018-03-29 22:00:56,26.81,3.35,0.0,0.0,49.77
2018-03-29 23:00:56,0.55,3.44,0.0,0.0,43.92
2018-03-30 00:00:56,77.1,3.37,0.0,0.0,43.96
2018-03-30 01:00:56,101.13,3.23,0.0,0.0,24.49
2018-03-30 02:00:56,119.9,3.22,0.0,0.0,29.02
2018-03-30 03:00:56,103.84,3.22,0.0,0.0,33.51
2018-03-30 04:00:56,83.82,3.49,0.0,0.0,55.22
2018-03-30 05:00:56,60.92,3.49,0.0,0.0,57.99
2018-03-30 06:00:56,47.78,3.4,0.0,0.0,56.44
2018-03-30 07:00:56,18.91,3.5,0.0,0.0,50.71
2018-03-30 08:00:56,6.22,3.19,19.2,22.87,44.38
2018-03-30 09:00:56,36.91,3.18,22.8,29.67,40.17
2018-03-30 10:00:56,24.98,3.1,18.63,24.24,46.35
2018-03-30 11:00:56,21.98,3.24,18.26,23.31,44.64
2018-03-30 12:00:56,18.96,3.31,17.62,23.98,40.98
2018-03-30 13:00:56,14.06,3.39,12.85,16.95,44.21
2018-03-30 14:00:56,22.07,3.37,13.5,18.16,43.07
2018-03-30 15:00:56,31.92,3.22,16.68,23.69,38.22
2018-03-30 16:00:56,21.05,3.32,15.13,21.02,39.12
2018-03-30 17:00:56,28.09,3.38,17.22,23.13,36.41
2018-03-30 18:00:56,43.02,3.22,21.15,26.81,35.08
2018-03-30 19:00:56,44.95,3.21,20.85,25.19,36.26
2018-03-30 20:00:56,38.02,3.28,15.89,18.47,40.45
2018-03-30 21:00:56,40.89,3.13,13.53,15.71,43.16
2018-03-30 22:00:56,26.01,3.33,0.0,0.0,43.91
2018-03-30 23:00:56,26.94,3.32,0.0,0.0,44.67
2018-03-31 00:00:56,17.97,3.36,0.0,0.0,49.96
2018-03-31 01:00:56,12.05,3.44,0.0,0.0,41.96
2018-03-31 02:00:56,19.05,3.34,0.0,0.0,36.05
2018-03-31 03:00:56,25.96,3.28,7.95,8.23,43.75
2018-03-31 04:00:56,20.99,3.31,4.44,4.6,48.64
2018-03-31 05:00:56,18.97,3.32,3.86,4.06,43.9
2018-03-31 06:00:56,14.02,3.26,4.45,4.75,42.37
2018-03-31 07:00:56,18.02,3.21,9.43,10.2,36.74
2018-03-31 08:00:56,21.11,3.25,15.33,19.26,30.72
2018-03-31 09:00:56,35.97,3.46,11.36,16.16,36.97
2018-03-31 10:00:56,32.82,3.35,9.33,13.5,42.53
2018-03-31 11:00:56,13.07,3.39,9.49,13.93,47.8
2018-03-31 12:00:56,20.98,3.45,9.6,13.63,49.22
2018-03-31 13:00:56,19.06,3.33,11.51,15.93,51.82
2018-03-31 14:00:56,26.01,3.53,10.47,13.55,53.18
2018-03-31 15:00:56,26.98,3.78,8.58,10.75,59.11
