Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,56.01,23.52,5.42,742.74,46.62,71.46
2022-03-23 17:00:56,50.16,22.9,5.4,726.11,46.2,66.02
2022-03-23 18:00:56,45.18,21.29,5.67,765.4,50.76,68.27
2022-03-23 19:00:56,44.28,20.62,6.71,929.69,62.04,86.2
2022-03-23 20:00:56,50.63,26.3,11.94,1359.01,75.46,133.36
2022-03-23 21:00:56,62.28,30.53,6.0,785.05,48.34,64.58
2022-03-23 22:00:56,60.22,26.69,5.78,887.21,64.95,100.49
2022-03-23 23:00:56,56.38,23.82,5.84,863.32,56.46,78.95
2022-03-24 00:00:56,45.43,22.0,0.0,867.33,51.02,73.93
2022-03-24 01:00:56,40.47,20.89,5.99,789.83,36.6,43.56
2022-03-24 02:00:56,40.02,20.4,4.33,668.59,30.4,41.56
2022-03-24 03:00:56,35.36,18.36,3.98,520.83,15.37,18.79
2022-03-24 04:00:56,30.02,17.16,3.34,475.62,14.11,17.15
2022-03-24 05:00:56,25.03,16.02,3.88,504.63,15.27,17.52
2022-03-24 06:00:56,23.46,17.66,4.51,581.7,27.68,33.52
2022-03-24 07:00:56,28.44,18.41,6.21,808.38,33.21,45.72
2022-03-24 08:00:56,45.08,23.35,9.17,1262.94,79.45,139.28
2022-03-24 09:00:56,72.48,28.56,8.59,979.1,62.38,106.63
2022-03-24 10:00:56,76.16,29.81,8.49,696.34,43.18,78.29
2022-03-24 11:00:56,65.9,25.39,7.05,629.68,37.46,67.7
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
