Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),PM 2.5 ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,21.566,4.1425,406.4533333333334,17.294,23.624000000000002,7.85,94.58999999999999
2022-03-23 17:00:56,21.924,4.245,393.5466666666667,16.558,21.630000000000003,6.94,92.11000000000001
2022-03-23 18:00:56,23.908,5.145,402.53,17.544,22.022,6.74,92.79666666666667
2022-03-23 19:00:56,26.576,5.2675,417.85999999999996,29.841999999999995,35.208,8.19,86.43
2022-03-23 20:00:56,26.512,5.175,416.7,34.348,39.106,8.51,79.05666666666666
2022-03-23 21:00:56,26.338,7.0775,452.17666666666673,39.126000000000005,44.55,10.74,73.55333333333333
2022-03-23 22:00:56,26.095999999999997,6.9275,447.79333333333335,40.112,44.45,12.09,73.98666666666666
2022-03-23 23:00:56,24.46,8.5875,524.0466666666666,43.642,48.94,12.29,74.71666666666667
2022-03-24 00:00:56,21.735999999999997,4.455,451.58666666666664,14.886,18.556,11.52,74.15333333333332
2022-03-24 01:00:56,19.306,4.775,389.99333333333334,29.892000000000003,33.318,12.4,76.82333333333334
2022-03-24 02:00:56,16.686,3.9975,372.4066666666667,28.826,31.736,12.46,76.95333333333333
2022-03-24 03:00:56,13.612,3.3125,375.6666666666667,26.830000000000002,29.591999999999995,7.05,80.25333333333333
2022-03-24 04:00:56,14.132,3.5549999999999997,404.34666666666664,28.056,30.862000000000002,5.64,79.44666666666667
2022-03-24 05:00:56,14.404,3.23,389.25333333333333,27.15,30.05,4.05,79.58333333333333
2022-03-24 06:00:56,13.532,3.4974999999999996,415.6766666666667,28.488,31.26,3.82,78.98333333333333
2022-03-24 07:00:56,15.296000000000001,4.279999999999999,523.4033333333333,41.459999999999994,49.156,6.77,71.40333333333332
2022-03-24 08:00:56,17.284,3.585,524.0933333333334,42.532,52.102,11.43,75.89666666666666
2022-03-24 09:00:56,19.478,3.495,561.7533333333333,45.983999999999995,64.688,13.52,80.05333333333333
2022-03-24 10:00:56,20.968,3.4775,527.92,42.96,63.988,15.54,81.87666666666667
2022-03-24 11:00:56,20.830000000000002,3.42,586.34,40.558,56.410000000000004,18.42,90.45333333333333
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
