Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,148.86,9.51,44.21,54.42,25.85
2018-03-29 01:00:56,204.81,9.47,35.68,43.7,29.96
2018-03-29 02:00:56,224.12,7.39,32.22,39.56,29.76
2018-03-29 03:00:56,111.52,5.75,33.01,39.54,27.6
2018-03-29 04:00:56,40.05,5.09,31.22,37.58,26.27
2018-03-29 05:00:56,12.9,4.62,30.09,36.58,25.82
2018-03-29 06:00:56,9.86,4.14,32.18,38.76,26.37
2018-03-29 07:00:56,5.97,4.42,39.85,47.88,22.85
2018-03-29 08:00:56,5.07,5.05,37.37,45.79,24.96
2018-03-29 09:00:56,7.0,5.85,41.44,51.15,23.82
2018-03-29 10:00:56,7.75,6.21,50.62,65.77,19.47
2018-03-29 11:00:56,30.36,8.28,52.05,67.32,24.9
2018-03-29 12:00:56,68.93,6.8,50.65,64.89,26.15
2018-03-29 13:00:56,66.32,6.55,50.21,61.83,25.14
2018-03-29 14:00:56,46.25,6.01,55.3,70.43,21.9
2018-03-29 15:00:56,25.31,6.66,51.49,65.65,22.52
2018-03-29 16:00:56,34.35,6.05,62.87,79.65,15.67
2018-03-29 17:00:56,43.86,6.2,65.15,84.93,14.23
2018-03-29 18:00:56,39.65,7.03,67.39,89.86,12.54
2018-03-29 19:00:56,31.03,7.98,61.58,80.32,17.92
2018-03-29 20:00:56,57.62,6.87,65.53,86.05,16.04
2018-03-29 21:00:56,20.6,7.57,63.65,81.47,21.12
2018-03-29 22:00:56,38.87,8.95,73.68,90.37,16.86
2018-03-29 23:00:56,91.55,9.42,84.91,117.13,8.74
2018-03-30 00:00:56,133.22,10.67,77.05,103.05,10.79
2018-03-30 01:00:56,110.18,12.63,80.92,109.47,9.3
2018-03-30 02:00:56,114.4,10.91,70.7,87.33,11.81
2018-03-30 03:00:56,97.93,10.53,61.48,75.59,15.45
2018-03-30 04:00:56,95.72,10.27,59.13,69.84,17.1
2018-03-30 05:00:56,88.0,8.55,55.09,67.2,18.75
2018-03-30 06:00:56,86.55,6.82,39.3,48.48,32.43
2018-03-30 07:00:56,45.73,8.38,54.35,65.78,30.02
2018-03-30 08:00:56,11.18,8.47,64.21,82.94,22.53
2018-03-30 09:00:56,16.85,8.47,62.01,78.66,22.8
2018-03-30 10:00:56,40.64,9.31,55.14,70.72,27.2
2018-03-30 11:00:56,57.01,6.3,54.48,69.75,27.5
2018-03-30 12:00:56,30.95,5.76,65.81,85.56,22.55
2018-03-30 13:00:56,56.54,8.33,46.05,56.9,32.56
2018-03-30 14:00:56,43.4,5.5,52.25,62.89,28.65
