Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,225.5,36.45,321.74,0.0,0.0
2018-03-29 01:00:56,229.83,13.45,296.57,6.52,10.97
2018-03-29 02:00:56,229.49,9.14,287.09,2.47,6.46
2018-03-29 03:00:56,195.93,6.09,292.45,2.84,6.96
2018-03-29 04:00:56,132.33,6.05,319.2,3.9,8.02
2018-03-29 05:00:56,80.79,5.74,285.24,1.77,6.17
2018-03-29 06:00:56,39.88,5.26,283.64,2.9,6.96
2018-03-29 07:00:56,17.31,6.81,344.47,12.46,19.12
2018-03-29 08:00:56,9.46,6.83,278.96,12.19,21.18
2018-03-29 09:00:56,10.13,9.9,282.95,11.72,20.92
2018-03-29 10:00:56,22.47,10.13,309.62,11.0,19.11
2018-03-29 11:00:56,39.42,12.66,488.66,37.34,55.47
2018-03-29 12:00:56,49.74,11.91,373.82,19.21,28.12
2018-03-29 13:00:56,53.85,11.79,405.34,31.19,45.08
2018-03-29 14:00:56,55.36,9.31,374.72,25.54,37.42
2018-03-29 15:00:56,47.55,8.46,385.56,29.78,43.77
2018-03-29 16:00:56,47.5,8.65,471.01,31.59,46.16
2018-03-29 17:00:56,44.05,7.99,489.27,40.8,64.21
2018-03-29 18:00:56,42.56,6.76,399.03,30.86,47.87
2018-03-29 19:00:56,29.71,11.66,453.71,35.89,47.44
2018-03-29 20:00:56,38.27,10.54,391.85,34.05,40.58
2018-03-29 21:00:56,51.92,0.0,409.16,36.7,42.6
2018-03-29 22:00:56,78.86,15.63,0.0,56.13,70.87
2018-03-29 23:00:56,93.49,13.46,539.1,36.96,45.02
2018-03-30 00:00:56,94.27,0.0,877.31,0.0,0.0
2018-03-30 01:00:56,102.4,39.49,1494.38,50.83,56.63
2018-03-30 02:00:56,107.61,28.89,1056.41,31.79,36.43
2018-03-30 03:00:56,101.8,18.11,751.76,19.15,23.14
2018-03-30 04:00:56,94.54,11.81,841.1,25.48,30.01
2018-03-30 05:00:56,94.24,8.79,756.01,23.86,28.35
2018-03-30 06:00:56,89.52,8.29,479.24,14.83,19.19
2018-03-30 07:00:56,71.91,10.48,441.51,28.61,36.54
2018-03-30 08:00:56,62.0,10.81,472.27,39.73,56.79
2018-03-30 09:00:56,58.36,9.64,480.46,37.06,48.72
2018-03-30 10:00:56,57.02,8.2,361.22,21.54,32.62
2018-03-30 11:00:56,56.53,5.29,391.75,16.34,24.84
2018-03-30 12:00:56,55.5,10.52,650.25,48.79,62.37
2018-03-30 13:00:56,43.48,7.54,366.39,10.64,18.07
2018-03-30 14:00:56,27.22,4.36,285.16,12.41,20.99
2018-03-30 15:00:56,22.12,9.72,502.4,30.23,40.99
2018-03-30 16:00:56,30.41,13.13,477.05,28.63,37.35
2018-03-30 17:00:56,20.3,7.02,275.02,10.07,17.0
2018-03-30 18:00:56,9.05,7.41,330.54,15.59,24.81
2018-03-30 19:00:56,15.0,10.18,515.26,38.45,53.12
2018-03-30 20:00:56,22.87,13.35,582.21,48.06,66.7
2018-03-30 21:00:56,19.16,7.81,363.57,23.5,31.11
2018-03-30 22:00:56,15.23,11.14,591.82,37.07,50.14
2018-03-30 23:00:56,17.2,8.67,554.83,42.05,52.06
2018-03-31 00:00:56,16.34,0.0,464.75,0.0,0.0
2018-03-31 01:00:56,15.0,9.51,415.64,22.86,27.83
2018-03-31 02:00:56,8.75,7.65,491.88,25.26,29.94
2018-03-31 03:00:56,14.22,7.11,577.02,21.0,25.41
2018-03-31 04:00:56,13.63,7.69,533.95,14.6,19.22
2018-03-31 05:00:56,13.74,6.3,358.35,6.72,10.54
2018-03-31 06:00:56,14.19,7.68,561.42,10.65,14.62
2018-03-31 07:00:56,17.95,10.78,599.97,27.78,38.33
2018-03-31 08:00:56,21.47,10.3,553.67,28.71,54.98
2018-03-31 09:00:56,19.69,6.02,445.15,20.05,39.71
2018-03-31 10:00:56,16.0,5.62,361.65,11.01,22.8
2018-03-31 11:00:56,11.44,5.62,300.62,6.17,14.2
2018-03-31 12:00:56,12.52,4.99,271.71,5.46,13.56
2018-03-31 13:00:56,15.64,4.53,250.05,5.91,14.03
2018-03-31 14:00:56,11.33,4.6,265.17,9.6,20.36
2018-03-31 15:00:56,18.23,4.46,267.52,9.3,18.88
2018-03-31 16:00:56,17.44,4.23,255.95,9.65,18.99
2018-03-31 17:00:56,17.4,4.12,292.65,6.49,14.81
2018-03-31 18:00:56,17.0,4.45,271.24,10.43,20.33
2018-03-31 19:00:56,20.84,5.87,355.41,34.09,44.14
2018-03-31 20:00:56,36.93,42.53,874.76,80.91,100.54
2018-03-31 21:00:56,66.11,82.47,1301.88,77.04,105.07
2018-03-31 22:00:56,92.79,81.81,1200.48,78.59,101.71
2018-03-31 23:00:56,103.83,57.69,1092.6,77.89,99.3
2018-04-01 00:00:56,97.58,0.0,1532.45,0.0,0.0
2018-04-01 01:00:56,94.7,53.24,1703.78,69.88,102.96
2018-04-01 02:00:56,82.99,48.84,1766.34,64.26,83.56
2018-04-01 03:00:56,71.5,24.98,1028.03,40.62,46.73
2018-04-01 04:00:56,61.86,24.43,1315.16,40.15,45.58
2018-04-01 05:00:56,58.26,26.6,1626.38,45.95,51.66
2018-04-01 06:00:56,54.45,27.66,1779.08,58.5,67.77
2018-04-01 07:00:56,43.04,16.41,794.11,30.57,40.05
2018-04-01 08:00:56,33.6,17.06,960.14,34.66,58.1
2018-04-01 09:00:56,24.81,12.11,454.07,16.24,29.08
2018-04-01 10:00:56,14.21,8.43,298.43,3.55,9.29
2018-04-01 11:00:56,7.6,7.25,267.49,1.53,6.6
2018-04-01 12:00:56,5.9,6.51,255.04,3.02,10.64
2018-04-01 13:00:56,10.68,6.34,291.57,7.91,16.74
2018-04-01 14:00:56,11.69,5.13,260.78,4.3,10.32
2018-04-01 15:00:56,13.78,5.34,259.47,6.01,12.5
2018-04-01 16:00:56,12.99,4.6,248.29,4.95,12.09
2018-04-01 17:00:56,15.32,4.86,264.76,8.86,15.65
2018-04-01 18:00:56,11.08,8.22,293.39,14.66,20.6
2018-04-01 19:00:56,16.84,19.1,418.07,36.87,42.81
2018-04-01 20:00:56,29.36,37.57,664.87,61.19,70.36
2018-04-01 21:00:56,35.77,35.7,612.22,53.69,60.56
2018-04-01 22:00:56,39.73,43.55,803.24,67.84,79.44
2018-04-01 23:00:56,49.62,21.99,1002.5,71.13,102.51
