Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,222.11,0.0,436.12,0.0,0.0,94.23
2018-03-29 01:00:56,228.3,10.85,476.64,4.94,8.0,93.95
2018-03-29 02:00:56,229.02,7.75,397.59,6.0,9.22,84.97
2018-03-29 03:00:56,179.49,6.35,445.08,5.55,9.1,91.86
2018-03-29 04:00:56,109.06,6.25,407.49,4.5,7.58,91.95
2018-03-29 05:00:56,68.66,6.15,405.41,5.26,8.33,83.57
2018-03-29 06:00:56,40.6,6.51,436.66,6.82,9.88,81.09
2018-03-29 07:00:56,21.49,6.41,435.64,8.3,11.36,84.94
2018-03-29 08:00:56,9.32,6.79,482.12,16.26,20.62,79.32
2018-03-29 09:00:56,3.85,7.23,548.83,25.26,31.64,70.37
2018-03-29 10:00:56,9.45,10.44,480.87,16.58,21.01,90.63
2018-03-29 11:00:56,30.89,10.58,467.01,6.63,9.88,102.67
2018-03-29 12:00:56,52.32,9.73,471.07,8.21,15.23,104.62
2018-03-29 13:00:56,58.17,8.77,487.28,6.59,9.88,101.6
2018-03-29 14:00:56,46.22,6.85,466.61,5.23,8.46,98.58
2018-03-29 15:00:56,27.24,6.02,475.44,4.91,8.24,95.79
2018-03-29 16:00:56,17.54,5.87,477.35,5.39,8.91,95.93
2018-03-29 17:00:56,16.93,5.74,489.86,6.09,9.68,94.25
2018-03-29 18:00:56,12.87,5.89,483.72,6.01,9.44,93.19
2018-03-29 19:00:56,22.48,5.8,395.91,5.44,8.79,103.58
2018-03-29 20:00:56,56.45,5.88,361.38,5.94,9.32,109.14
2018-03-29 21:00:56,74.77,5.73,336.89,0.0,0.0,113.39
2018-03-29 22:00:56,76.47,5.88,323.33,5.23,8.54,111.67
2018-03-29 23:00:56,73.51,5.84,329.02,5.2,8.66,109.15
2018-03-30 00:00:56,79.98,0.0,434.37,0.0,0.0,103.82
2018-03-30 01:00:56,86.34,6.22,401.9,8.21,11.23,102.52
2018-03-30 02:00:56,91.75,5.79,519.5,6.95,10.35,103.04
2018-03-30 03:00:56,94.27,5.52,598.99,8.51,12.08,103.76
2018-03-30 04:00:56,91.77,5.99,509.01,7.41,10.52,101.14
2018-03-30 05:00:56,89.1,5.88,448.2,6.67,9.82,99.21
2018-03-30 06:00:56,91.38,5.79,417.73,5.44,8.59,110.05
2018-03-30 07:00:56,72.92,5.58,361.57,4.88,8.02,122.05
2018-03-30 08:00:56,52.88,5.77,357.98,8.07,11.82,111.27
2018-03-30 09:00:56,45.6,6.45,448.81,28.02,45.33,95.79
2018-03-30 10:00:56,62.0,6.9,405.91,0.0,0.0,88.79
2018-03-30 11:00:56,40.7,5.69,429.1,19.51,23.45,107.05
2018-03-30 12:00:56,14.21,5.71,513.89,8.42,11.65,120.06
2018-03-30 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 17:00:56,0.0,6.82,525.1,5.64,9.22,109.62
2018-03-30 18:00:56,0.0,7.77,555.34,14.34,18.77,96.96
2018-03-30 19:00:56,0.0,6.38,676.61,21.04,25.28,79.92
2018-03-30 20:00:56,0.0,11.35,658.1,28.45,32.04,62.7
2018-03-30 21:00:56,0.0,6.4,586.15,22.59,30.8,72.58
2018-03-30 22:00:56,0.0,6.32,535.33,20.55,25.85,74.1
2018-03-30 23:00:56,0.0,6.35,528.04,17.94,21.64,78.0
2018-03-31 00:00:56,0.0,0.0,536.45,0.0,0.0,69.98
2018-03-31 01:00:56,0.0,6.57,512.36,21.33,24.89,70.84
2018-03-31 02:00:56,0.0,5.8,438.21,11.35,14.86,82.36
2018-03-31 03:00:56,0.0,5.63,587.38,7.43,10.61,89.67
2018-03-31 04:00:56,0.0,5.78,503.58,7.37,10.73,88.49
2018-03-31 05:00:56,3.11,5.61,484.47,7.03,10.15,83.38
2018-03-31 06:00:56,6.1,5.79,507.96,7.38,10.51,79.61
2018-03-31 07:00:56,7.83,5.39,514.35,6.21,9.5,80.96
2018-03-31 08:00:56,5.5,5.99,439.44,7.93,12.47,83.49
2018-03-31 09:00:56,0.0,5.88,428.02,8.66,13.6,81.82
2018-03-31 10:00:56,0.0,5.89,388.71,8.36,12.76,91.68
2018-03-31 11:00:56,0.0,5.82,381.61,7.59,11.73,94.42
2018-03-31 12:00:56,0.0,6.01,382.91,8.12,12.39,96.1
2018-03-31 13:00:56,0.0,6.03,377.7,7.63,11.39,100.61
2018-03-31 14:00:56,0.0,6.15,386.84,9.83,19.79,103.78
2018-03-31 15:00:56,0.0,6.14,377.33,10.39,17.44,105.65
2018-03-31 16:00:56,3.95,5.91,366.66,8.85,12.43,110.29
2018-03-31 17:00:56,7.27,6.39,362.84,9.2,12.86,112.52
2018-03-31 18:00:56,4.32,6.94,368.72,10.94,14.78,112.0
2018-03-31 19:00:56,7.71,6.18,531.23,12.72,16.32,105.87
2018-03-31 20:00:56,15.2,5.75,714.88,9.89,13.02,100.19
2018-03-31 21:00:56,16.93,6.02,527.38,10.54,13.6,93.76
2018-03-31 22:00:56,16.3,5.71,551.34,8.94,11.98,98.03
2018-03-31 23:00:56,12.25,5.62,437.14,4.78,7.79,103.82
2018-04-01 00:00:56,8.66,0.0,371.22,0.0,0.0,105.47
2018-04-01 01:00:56,9.82,5.81,355.29,3.55,6.53,104.2
2018-04-01 02:00:56,12.54,5.78,452.61,3.86,6.86,105.39
2018-04-01 03:00:56,10.7,5.67,411.15,3.78,6.75,106.6
2018-04-01 04:00:56,8.2,6.01,465.53,5.08,8.08,98.24
2018-04-01 05:00:56,8.48,5.98,509.5,6.19,9.28,98.86
2018-04-01 06:00:56,9.2,6.21,388.27,5.27,8.24,95.67
2018-04-01 07:00:56,8.69,5.98,418.71,4.31,7.35,99.4
2018-04-01 08:00:56,7.94,8.83,557.17,15.93,22.03,82.55
2018-04-01 09:00:56,5.66,8.72,521.38,15.33,21.38,87.01
2018-04-01 10:00:56,2.09,8.58,537.86,18.83,26.33,86.55
2018-04-01 11:00:56,1.86,6.94,415.82,11.82,16.42,100.5
2018-04-01 12:00:56,3.64,6.9,439.7,13.13,18.64,103.17
2018-04-01 13:00:56,5.76,6.55,393.5,8.79,12.6,108.49
2018-04-01 14:00:56,3.41,6.39,411.1,6.67,10.27,110.98
2018-04-01 15:00:56,4.37,6.44,542.32,4.4,7.61,113.94
2018-04-01 16:00:56,3.45,6.49,452.19,4.35,7.64,111.2
2018-04-01 17:00:56,0.0,6.14,400.04,6.04,9.68,110.05
2018-04-01 18:00:56,4.1,6.1,497.58,4.83,8.05,107.49
2018-04-01 19:00:56,7.36,6.05,561.33,4.34,7.44,105.94
2018-04-01 20:00:56,11.26,5.9,531.47,3.81,6.87,104.6
2018-04-01 21:00:56,9.45,6.06,494.0,4.5,7.6,109.27
2018-04-01 22:00:56,6.52,5.96,520.5,4.39,7.46,110.6
2018-04-01 23:00:56,4.92,5.86,572.19,3.94,7.0,109.54
2018-04-02 00:00:56,2.59,0.0,470.62,0.0,0.0,110.86
2018-04-02 01:00:56,1.07,6.0,397.24,4.72,7.86,111.35
2018-04-02 02:00:56,2.88,6.47,456.12,6.29,9.41,107.81
2018-04-02 03:00:56,3.38,6.67,408.77,5.48,8.56,108.2
2018-04-02 04:00:56,5.82,6.53,372.86,5.71,8.69,102.27
2018-04-02 05:00:56,8.23,5.79,464.84,4.26,7.26,99.74
2018-04-02 06:00:56,7.43,6.15,467.24,3.75,6.75,95.48
2018-04-02 07:00:56,8.68,6.01,488.18,3.63,6.68,93.61
2018-04-02 08:00:56,6.53,5.92,401.84,4.28,7.48,96.51
2018-04-02 09:00:56,0.0,7.36,404.48,14.05,19.77,94.77
2018-04-02 10:00:56,0.0,9.0,527.69,28.33,38.63,83.76
2018-04-02 11:00:56,10.84,8.41,490.69,25.63,34.26,86.45
2018-04-02 12:00:56,18.91,7.73,407.94,14.89,19.97,100.03
2018-04-02 13:00:56,16.25,7.26,419.72,7.57,10.92,101.18
2018-04-02 14:00:56,10.27,6.8,423.4,4.71,8.17,102.26
2018-04-02 15:00:56,4.67,7.13,368.69,4.88,8.13,95.38
2018-04-02 16:00:56,7.49,7.02,413.6,4.09,7.37,99.52
2018-04-02 17:00:56,12.23,6.93,375.27,4.69,8.16,102.15
2018-04-02 18:00:56,17.53,6.54,335.97,4.97,8.32,98.48
2018-04-02 19:00:56,31.8,6.94,391.22,5.2,8.47,97.16
2018-04-02 20:00:56,37.03,6.5,368.08,4.28,7.63,103.09
2018-04-02 21:00:56,29.03,6.6,362.34,4.97,8.4,106.59
