Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,15.59,5.47,26.99,30.45,106.44
2022-03-23 17:00:56,23.6,4.81,28.68,32.09,99.72
2022-03-23 18:00:56,38.95,5.53,30.17,33.55,101.3
2022-03-23 19:00:56,52.71,4.71,77.74,81.29,86.36
2022-03-23 20:00:56,40.69,4.6,101.43,104.97,69.89
2022-03-23 21:00:56,27.31,5.62,101.54,105.13,66.99
2022-03-23 22:00:56,20.15,5.64,102.75,106.37,65.74
2022-03-23 23:00:56,18.3,5.19,102.4,106.0,69.09
2022-03-24 00:00:56,15.74,0.0,0.0,0.0,59.83
2022-03-24 01:00:56,13.32,5.17,102.28,105.88,62.24
2022-03-24 02:00:56,12.72,5.14,102.92,106.57,64.4
2022-03-24 03:00:56,10.22,5.64,98.18,101.8,72.0
2022-03-24 04:00:56,11.18,5.73,95.95,99.47,76.29
2022-03-24 05:00:56,13.68,5.91,98.16,101.7,73.67
2022-03-24 06:00:56,13.42,5.47,92.16,95.66,77.46
2022-03-24 07:00:56,14.06,5.12,92.22,95.75,75.71
2022-03-24 08:00:56,12.85,5.06,96.38,99.96,71.56
2022-03-24 09:00:56,11.9,4.42,98.13,101.78,66.3
2022-03-24 10:00:56,10.79,4.63,97.25,100.84,70.89
2022-03-24 11:00:56,9.09,4.35,96.84,100.55,79.22
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0
