Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,26.32,26.6
2022-03-23 17:00:56,26.94,26.95
2022-03-23 18:00:56,29.66,26.79
2022-03-23 19:00:56,34.46,27.81
2022-03-23 20:00:56,38.18,29.52
2022-03-23 21:00:56,37.92,30.05
2022-03-23 22:00:56,33.55,30.02
2022-03-23 23:00:56,30.53,30.08
2022-03-24 00:00:56,26.8,30.13
2022-03-24 01:00:56,24.71,30.18
2022-03-24 02:00:56,26.69,30.3
2022-03-24 03:00:56,25.32,28.82
2022-03-24 04:00:56,23.43,26.3
2022-03-24 05:00:56,22.98,24.72
2022-03-24 06:00:56,26.24,23.76
2022-03-24 07:00:56,26.8,23.07
2022-03-24 08:00:56,24.68,22.61
2022-03-24 09:00:56,25.8,22.23
2022-03-24 10:00:56,28.3,22.14
2022-03-24 11:00:56,30.8,25.1
2022-03-24 12:00:56,0.0,0.0
