Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM10 ( mg/m3 ),PM 2.5 ( mg/m3 ),SO2 ( mg/m3 ),CO ( mg/m3 ),NO2 ( mg/m3 ),NOX ( mg/m3 ),O3 ( mg/m3 ),PM 2.5 ( µg/m3 ),PM10 ( ppb ),SO2 ( ppb ),CO ( ppb ),NO2 ( ppb ),NOX ( ppb )
2022-03-23 16:00:56,45.705,13.65,1391.7233333333334,60.73,73.18666666666667,55.88333333333333,51.35,34.305,16.74,0.0,0.0,0.0,70.13,20.725,49.88,25.41,2640.33,92.81,98.1
2022-03-23 17:00:56,50.05,14.986666666666666,1504.1000000000001,70.16666666666667,86.21,50.800000000000004,51.81,27.880000000000003,17.64,0.0,0.0,0.0,65.15,22.29,53.35,22.33,2731.73,102.54,110.63
2022-03-23 18:00:56,54.6175,14.469999999999999,1559.3,77.25666666666667,91.47333333333334,46.870000000000005,53.21,20.285,20.92,0.0,0.0,0.0,59.78,23.395,34.12,30.6,3022.86,104.85,112.3
2022-03-23 19:00:56,63.765,24.893333333333334,1834.5600000000002,97.95666666666666,127.73,36.663333333333334,56.62,39.04,22.4,0.0,0.0,0.0,46.17,27.195,63.62,46.65,3368.6,137.74,150.05
2022-03-23 20:00:56,77.1125,36.61333333333334,2127.1733333333336,112.16666666666667,150.29666666666665,26.389999999999997,69.19,62.055,36.29,0.0,0.0,0.0,28.82,35.185,117.97,55.02,3196.08,161.26,175.43
2022-03-23 21:00:56,91.375,29.343333333333334,2032.79,107.01,136.43333333333334,24.77,86.05,79.335,40.53,0.0,0.0,0.0,23.64,44.135000000000005,145.4,107.67,3759.33,170.57,188.07
2022-03-23 22:00:56,93.5325,34.98666666666667,2267.786666666667,112.08333333333333,150.57666666666668,18.546666666666667,93.9,103.235,45.78,0.0,0.0,0.0,17.83,45.955,188.76,141.74,4548.68,179.07,206.37
2022-03-23 23:00:56,88.06,28.669999999999998,2148.9066666666668,109.56666666666668,143.01666666666668,18.563333333333333,96.78,86.305,49.19,0.0,0.0,0.0,29.66,51.285,154.42,101.61,3725.34,138.95,150.23
2022-03-24 00:00:56,80.145,28.26666666666667,1851.74,89.53666666666668,113.71333333333332,26.626666666666665,92.25,73.535,56.23,0.0,0.0,0.0,14.69,50.765,121.15,98.3,3822.36,128.63,137.71
2022-03-24 01:00:56,67.525,24.683333333333334,1657.55,75.27,94.2,33.050000000000004,92.88,61.23,58.97,0.0,0.0,0.0,14.28,45.57,100.18,81.41,3447.01,115.65,122.22
2022-03-24 02:00:56,59.567499999999995,22.070000000000004,1590.3866666666665,62.38666666666666,69.95,35.78333333333333,87.76,56.42,32.72,0.0,0.0,0.0,30.76,43.665000000000006,82.4,69.26,3369.35,104.71,109.57
2022-03-24 03:00:56,54.865,24.813333333333333,1649.6066666666666,61.576666666666675,69.92,32.52333333333333,78.05,43.65,34.75,0.0,0.0,0.0,27.77,40.235,56.59,50.04,3096.48,87.6,91.49
2022-03-24 04:00:56,53.705,22.94333333333333,1635.0666666666666,55.873333333333335,62.56,33.82333333333333,71.43,39.055,29.06,0.0,0.0,0.0,39.76,38.315,37.79,41.84,2970.8,99.44,103.69
2022-03-24 05:00:56,50.3775,16.330000000000002,1441.3,46.17666666666667,50.669999999999995,40.97666666666667,68.51,37.125,19.74,0.0,0.0,0.0,45.53,37.269999999999996,39.6,26.99,2397.91,89.06,93.1
2022-03-24 06:00:56,46.18,16.013333333333332,1369.5900000000001,45.76,50.77,44.29666666666666,57.84,25.715,16.0,0.0,0.0,0.0,54.66,37.635000000000005,35.79,21.01,2306.03,80.38,84.51
2022-03-24 07:00:56,42.89,14.766666666666666,1388.6466666666665,64.07333333333334,74.61333333333333,35.75,46.42,26.045,13.92,0.0,0.0,0.0,53.44,37.115,42.69,22.45,2541.7,111.72,118.54
2022-03-24 08:00:56,44.3825,16.013333333333332,1587.29,77.2,84.78,28.38,38.1,50.215,14.72,0.0,0.0,0.0,46.17,34.195,79.09,28.91,3278.17,143.07,154.4
2022-03-24 09:00:56,54.63,15.573333333333332,1787.4033333333334,91.37666666666667,73.41000000000001,25.48,37.95,56.465,20.51,0.0,0.0,0.0,38.91,35.095,99.32,30.59,2905.75,123.31,133.81
2022-03-24 10:00:56,64.9225,14.923333333333332,1542.3366666666668,62.64666666666667,71.87333333333333,45.26,41.86,43.055,16.33,0.0,0.0,0.0,57.41,39.16,67.54,30.51,2683.63,99.05,108.52
2022-03-24 11:00:56,65.61749999999999,15.24,1479.82,63.28666666666667,73.07666666666667,47.93333333333334,40.75,40.63,18.22,0.0,0.0,0.0,64.26,38.144999999999996,90.57,38.26,3211.58,112.09,123.7
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
