Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,33.82,12.61
2022-03-23 17:00:56,38.54,12.7
2022-03-23 18:00:56,40.73,12.51
2022-03-23 19:00:56,41.79,13.11
2022-03-23 20:00:56,51.66,14.63
2022-03-23 21:00:56,66.14,14.99
2022-03-23 22:00:56,70.65,14.27
2022-03-23 23:00:56,67.76,14.01
2022-03-24 00:00:56,64.58,13.99
2022-03-24 01:00:56,63.18,13.79
2022-03-24 02:00:56,58.99,13.52
2022-03-24 03:00:56,50.32,13.44
2022-03-24 04:00:56,44.46,13.14
2022-03-24 05:00:56,41.48,12.85
2022-03-24 06:00:56,37.78,12.66
2022-03-24 07:00:56,33.36,12.34
2022-03-24 08:00:56,32.89,12.44
2022-03-24 09:00:56,38.24,13.43
2022-03-24 10:00:56,48.77,14.76
2022-03-24 11:00:56,56.28,15.31
2022-03-24 12:00:56,0.0,0.0
