Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2021-04-24 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29 17:00:56,0.0,8.22,457.28,39.23,56.52,72.89
2021-04-29 18:00:56,0.0,5.55,545.0,59.97,84.57,59.64
2021-04-29 19:00:56,0.0,4.74,685.55,79.28,118.37,50.12
2021-04-29 20:00:56,0.0,4.37,621.71,71.07,96.54,48.47
2021-04-29 21:00:56,0.0,3.65,470.91,31.8,41.19,62.26
2021-04-29 22:00:56,0.0,3.65,397.38,20.57,26.25,67.2
2021-04-29 23:00:56,3.68,3.24,397.59,19.63,23.04,61.84
2021-04-30 00:00:56,9.5,3.25,406.01,26.15,31.36,57.78
2021-04-30 01:00:56,14.84,3.31,421.42,20.88,24.35,57.39
2021-04-30 02:00:56,21.4,3.56,417.55,19.81,23.25,58.7
2021-04-30 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30 04:00:56,4.96,4.33,1022.48,0.0,0.0,58.02
2021-04-30 05:00:56,19.23,2.75,572.16,8.69,11.59,65.64
2021-04-30 06:00:56,26.51,2.97,549.78,9.84,12.87,66.41
2021-04-30 07:00:56,29.01,3.17,569.56,35.08,57.43,58.96
2021-04-30 08:00:56,35.81,3.51,665.4,53.99,71.11,48.11
2021-04-30 09:00:56,40.89,3.44,614.43,35.73,46.03,54.98
2021-04-30 10:00:56,40.9,2.88,568.69,27.96,37.88,60.13
2021-04-30 11:00:56,31.2,2.97,485.12,15.97,24.0,73.65
2021-04-30 12:00:56,34.45,2.43,501.05,12.58,18.98,73.98
2021-04-30 13:00:56,42.03,2.64,489.58,12.0,18.13,72.19
2021-04-30 14:00:56,50.18,2.78,504.92,14.46,20.8,74.58
2021-04-30 15:00:56,58.56,3.0,531.24,16.58,24.02,77.19
2021-04-30 16:00:56,68.24,2.7,547.02,20.3,29.86,74.37
2021-04-30 17:00:56,55.84,2.85,555.77,21.99,31.22,72.09
2021-04-30 18:00:56,51.42,2.86,563.42,27.08,37.86,68.67
2021-04-30 19:00:56,43.48,2.66,537.5,32.24,41.07,62.0
2021-04-30 20:00:56,35.75,2.84,592.99,22.89,27.34,64.36
2021-04-30 21:00:56,33.31,7.19,523.66,20.83,25.62,62.04
2021-04-30 22:00:56,28.72,20.01,534.93,23.65,28.58,60.67
2021-04-30 23:00:56,27.98,8.79,473.16,37.63,41.8,54.66
2021-05-01 00:00:56,21.24,3.85,488.12,28.54,32.71,64.66
2021-05-01 01:00:56,25.8,3.59,463.39,15.16,18.74,69.32
2021-05-01 02:00:56,31.68,2.24,436.3,10.69,13.82,75.46
2021-05-01 03:00:56,30.89,2.41,467.28,9.74,12.66,70.91
2021-05-01 04:00:56,24.77,1.95,461.89,12.41,15.64,66.51
2021-05-01 05:00:56,26.42,2.72,452.84,8.46,11.42,72.55
2021-05-01 06:00:56,18.12,3.14,503.61,10.49,14.63,71.33
2021-05-01 07:00:56,29.36,2.76,465.37,21.6,28.81,65.81
2021-05-01 08:00:56,34.15,3.72,507.27,36.94,52.57,63.7
2021-05-01 09:00:56,33.05,13.29,423.45,15.47,21.56,81.41
2021-05-01 10:00:56,36.66,13.84,420.09,15.85,21.94,82.38
2021-05-01 11:00:56,39.39,12.47,435.33,14.54,20.05,83.72
2021-05-01 12:00:56,32.5,14.94,421.86,16.85,23.83,86.42
2021-05-01 13:00:56,35.78,14.47,421.4,13.91,20.4,92.7
2021-05-01 14:00:56,34.32,16.43,416.66,14.62,20.34,94.89
2021-05-01 15:00:56,31.55,10.71,424.07,15.86,22.06,94.36
2021-05-01 16:00:56,34.99,2.7,409.68,16.19,21.93,97.07
