Date,PM10 ( mg/m3 ),PM 2.5 ( mg/m3 ),SO2 ( mg/m3 ),CO ( mg/m3 ),NO2 ( mg/m3 ),NOX ( mg/m3 ),O3 ( mg/m3 )
2020-08-21 15:00:56,46.48,19.77,10.74,426.3,6.41,7.74,104.22
2020-08-21 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21 17:00:56,47.7,19.41,5.96,453.4,23.17,25.61,73.04
2020-08-21 18:00:56,59.05,23.27,4.62,480.82,20.6,23.01,65.55
2020-08-21 19:00:56,95.34,26.31,2.73,517.03,25.3,28.3,54.99
2020-08-21 20:00:56,103.24,23.26,3.92,525.83,25.84,27.56,64.58
2020-08-21 21:00:56,86.4,14.95,9.11,500.08,23.84,25.03,64.78
2020-08-21 22:00:56,70.33,15.08,6.6,517.03,15.41,16.48,59.94
2020-08-21 23:00:56,61.82,15.08,7.86,526.29,10.88,11.88,56.55
2020-08-22 00:00:56,54.36,14.98,7.97,525.9,12.74,14.08,53.98
2020-08-22 01:00:56,48.2,11.9,15.16,494.95,18.98,23.13,49.94
2020-08-22 02:00:56,47.23,14.66,24.78,497.06,5.77,6.92,55.35
2020-08-22 03:00:56,48.1,12.52,23.04,529.62,1.95,2.62,59.73
2020-08-22 04:00:56,61.05,12.61,12.72,505.39,0.0,0.0,61.27
2020-08-22 05:00:56,59.54,8.2,8.07,511.12,0.0,1.05,60.52
2020-08-22 06:00:56,44.65,8.46,6.68,514.27,1.93,2.6,58.28
2020-08-22 07:00:56,34.89,7.65,15.91,510.11,5.69,6.63,56.41
2020-08-22 08:00:56,34.03,10.48,25.54,529.35,11.61,13.36,53.92
2020-08-22 09:00:56,37.0,11.19,19.38,559.99,11.63,13.73,57.19
2020-08-22 10:00:56,36.48,8.24,5.66,494.35,6.8,8.77,63.73
2020-08-22 11:00:56,37.69,6.69,3.01,439.39,0.0,4.62,66.64
2020-08-22 12:00:56,36.15,0.0,3.37,426.47,0.0,2.76,70.77
2020-08-22 13:00:56,28.65,5.05,5.74,425.55,2.48,3.7,77.64
2020-08-22 14:00:56,25.63,5.89,6.13,421.16,2.92,4.32,75.17
2020-08-22 15:00:56,24.13,8.8,5.93,434.25,18.49,27.83,67.62
2020-08-22 16:00:56,23.47,5.35,7.12,422.16,13.34,19.07,65.73
2020-08-22 17:00:56,25.14,5.42,4.57,410.91,3.17,4.53,69.21
2020-08-22 18:00:56,29.18,6.4,9.24,426.63,4.22,5.5,67.75
2020-08-22 19:00:56,33.41,7.93,9.24,441.09,3.93,4.95,63.05
2020-08-22 20:00:56,40.63,10.15,28.96,452.42,5.56,6.46,61.31
2020-08-22 21:00:56,43.46,8.22,7.88,480.69,7.28,8.36,58.08
2020-08-22 22:00:56,39.46,9.35,7.1,475.06,6.75,7.63,55.85
2020-08-22 23:00:56,33.79,7.73,2.35,472.1,3.25,3.97,60.18
2020-08-23 00:00:56,32.69,13.05,2.53,482.46,0.0,1.82,61.84
2020-08-23 01:00:56,30.89,9.87,2.45,482.6,1.64,2.27,61.88
2020-08-23 02:00:56,26.5,6.24,14.09,490.89,0.0,0.0,57.47
2020-08-23 03:00:56,29.67,8.74,4.36,475.27,0.0,0.0,64.92
2020-08-23 04:00:56,37.04,9.76,7.99,475.52,2.75,3.4,60.58
2020-08-23 05:00:56,34.47,6.01,9.95,472.76,0.0,0.0,60.02
2020-08-23 06:00:56,30.54,7.18,14.13,477.17,0.0,0.0,57.89
2020-08-23 07:00:56,30.76,9.01,13.34,477.98,0.0,0.0,60.33
2020-08-23 08:00:56,31.55,9.7,15.93,483.0,0.0,4.06,59.09
2020-08-23 09:00:56,28.35,11.69,8.4,486.95,0.0,3.25,61.53
2020-08-23 10:00:56,25.48,11.23,7.58,475.87,0.0,2.1,66.17
2020-08-23 11:00:56,22.43,8.24,6.89,450.99,0.0,2.03,69.9
2020-08-23 12:00:56,20.12,9.84,3.73,431.69,0.0,1.15,74.06
