Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,34.88,19.63
2018-03-29 01:00:56,32.12,20.03
2018-03-29 02:00:56,35.21,16.33
2018-03-29 03:00:56,39.96,15.65
2018-03-29 04:00:56,39.0,15.89
2018-03-29 05:00:56,39.22,16.17
2018-03-29 06:00:56,44.08,18.53
2018-03-29 07:00:56,46.04,62.52
2018-03-29 08:00:56,47.04,79.42
2018-03-29 09:00:56,47.68,31.76
2018-03-29 10:00:56,39.83,31.93
2018-03-29 11:00:56,36.07,20.46
2018-03-29 12:00:56,37.29,23.41
2018-03-29 13:00:56,18.11,28.61
2018-03-29 14:00:56,21.0,29.36
2018-03-29 15:00:56,20.9,26.21
2018-03-29 16:00:56,18.22,19.96
2018-03-29 17:00:56,27.95,21.09
2018-03-29 18:00:56,92.08,28.69
2018-03-29 19:00:56,27.06,19.42
2018-03-29 20:00:56,28.83,17.5
2018-03-29 21:00:56,23.12,24.91
2018-03-29 22:00:56,26.68,21.06
2018-03-29 23:00:56,15.97,18.84
2018-03-30 00:00:56,14.86,16.17
2018-03-30 01:00:56,9.88,14.07
2018-03-30 02:00:56,5.91,13.46
2018-03-30 03:00:56,3.18,13.57
2018-03-30 04:00:56,9.03,13.11
2018-03-30 05:00:56,10.15,13.14
2018-03-30 06:00:56,15.39,21.35
2018-03-30 07:00:56,27.71,39.41
2018-03-30 08:00:56,49.97,39.55
2018-03-30 09:00:56,49.03,25.07
2018-03-30 10:00:56,0.0,0.0
2018-03-30 11:00:56,0.0,0.0
2018-03-30 12:00:56,0.0,17.98
2018-03-30 13:00:56,0.0,20.52
2018-03-30 14:00:56,37.57,15.12
2018-03-30 15:00:56,24.97,15.1
2018-03-30 16:00:56,23.91,16.25
2018-03-30 17:00:56,20.97,23.01
2018-03-30 18:00:56,19.91,36.07
2018-03-30 19:00:56,16.71,36.82
2018-03-30 20:00:56,8.29,38.23
2018-03-30 21:00:56,16.69,47.63
2018-03-30 22:00:56,8.09,30.03
2018-03-30 23:00:56,11.06,22.78
2018-03-31 00:00:56,12.88,19.04
2018-03-31 01:00:56,9.18,19.09
2018-03-31 02:00:56,14.82,16.82
2018-03-31 03:00:56,8.9,16.34
2018-03-31 04:00:56,5.94,13.47
2018-03-31 05:00:56,3.94,16.17
2018-03-31 06:00:56,1.97,20.78
2018-03-31 07:00:56,1.29,26.38
2018-03-31 08:00:56,10.03,46.03
2018-03-31 09:00:56,10.79,28.46
2018-03-31 10:00:56,4.09,20.5
2018-03-31 11:00:56,7.46,13.71
2018-03-31 12:00:56,20.72,13.05
2018-03-31 13:00:56,11.91,11.25
2018-03-31 14:00:56,9.0,12.03
2018-03-31 15:00:56,9.03,12.66
2018-03-31 16:00:56,10.25,15.61
2018-03-31 17:00:56,17.65,12.84
2018-03-31 18:00:56,7.5,64.2
