Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,121.11,55.4
2022-03-23 17:00:56,100.27,89.37
2022-03-23 18:00:56,107.62,91.02
2022-03-23 19:00:56,123.23,156.18
2022-03-23 20:00:56,129.31,192.18
2022-03-23 21:00:56,134.69,91.41
2022-03-23 22:00:56,79.74,126.13
2022-03-23 23:00:56,143.63,134.78
2022-03-24 00:00:56,88.75,95.76
2022-03-24 01:00:56,58.96,93.71
2022-03-24 02:00:56,79.55,58.91
2022-03-24 03:00:56,44.81,53.94
2022-03-24 04:00:56,48.94,61.35
2022-03-24 05:00:56,262.4,48.73
2022-03-24 06:00:56,48.85,60.12
2022-03-24 07:00:56,69.62,78.73
2022-03-24 08:00:56,60.46,71.43
2022-03-24 09:00:56,73.2,82.5
2022-03-24 10:00:56,101.88,69.46
2022-03-24 11:00:56,76.0,29.77
2022-03-24 12:00:56,0.0,0.0
