Date,PM10 ( - ),PM 2.5 ( ng/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,,,125.4,1.205,2.425,28.87,0.0,4.16,45.915
2018-03-29 01:00:56,,,145.28,1.24,2.545,18.695,0.0,3.9400000000000004,42.805
2018-03-29 02:00:56,,,251.7,1.255,2.68,20.259999999999998,0.0,4.12,33.905
2018-03-29 03:00:56,,,0.0,0.0,0.0,5.515,0.0,2.12,0.0
2018-03-29 04:00:56,,,0.0,0.0,0.0,6.015,0.0,2.115,0.0
2018-03-29 05:00:56,,,0.0,0.0,0.0,6.485,0.0,2.065,0.0
2018-03-29 06:00:56,,,0.0,0.0,0.0,6.06,0.0,2.045,0.0
2018-03-29 07:00:56,,,0.0,0.0,0.0,7.87,0.0,2.03,0.0
2018-03-29 08:00:56,,,0.0,0.0,0.0,3.675,0.0,2.21,0.0
2018-03-29 09:00:56,,,0.0,0.0,0.0,9.6,0.0,2.485,0.0
2018-03-29 10:00:56,,,0.0,0.0,0.0,12.915,0.0,2.445,0.0
2018-03-29 11:00:56,,,0.0,0.0,0.0,9.93,0.0,2.36,0.0
2018-03-29 12:00:56,,,0.0,0.0,0.0,7.57,0.0,2.515,0.0
2018-03-29 13:00:56,,,0.0,0.0,0.0,10.24,0.0,2.54,0.0
2018-03-29 14:00:56,,,0.0,0.0,0.0,18.43,0.0,2.495,0.0
2018-03-29 15:00:56,,,0.0,0.0,0.0,16.04,0.0,2.99,0.0
2018-03-29 16:00:56,,,0.0,0.0,0.0,17.375,0.0,3.05,0.0
2018-03-29 17:00:56,,,0.0,0.0,0.0,13.155,0.0,3.29,0.0
2018-03-29 18:00:56,,,0.0,0.0,0.0,18.315,0.0,2.75,0.0
2018-03-29 19:00:56,,,0.0,0.0,0.0,54.61,0.0,2.635,46.82
2018-03-29 20:00:56,,,0.0,0.0,0.0,30.715000000000003,0.0,2.635,49.74
2018-03-29 21:00:56,,,0.0,0.775,2.12,18.88,0.0,3.065,45.655
2018-03-29 22:00:56,,,0.0,0.515,2.57,14.245000000000001,0.0,3.005,44.225
2018-03-29 23:00:56,,,0.0,0.125,2.84,11.305,0.0,3.255,42.115
2018-03-30 00:00:56,,,0.0,0.0,0.0,9.07,0.0,2.615,52.22
2018-03-30 01:00:56,,,0.0,0.505,3.875,7.0600000000000005,0.0,2.59,56.195
2018-03-30 02:00:56,,,70.71,0.095,2.48,6.88,0.0,3.33,47.05
2018-03-30 03:00:56,,,37.67,0.905,1.73,5.925000000000001,0.0,3.4349999999999996,48.51
2018-03-30 04:00:56,,,59.34,1.11,2.525,5.08,0.0,3.4749999999999996,44.32
2018-03-30 05:00:56,,,57.725,1.23,2.335,4.485,0.0,3.42,44.145
2018-03-30 06:00:56,,,93.8,1.12,2.65,5.744999999999999,0.0,3.3449999999999998,39.21
2018-03-30 07:00:56,,,118.5,1.555,6.02,5.135,0.0,3.195,33.505
2018-03-30 08:00:56,,,196.12,0.94,3.085,6.115,0.0,3.61,35.895
2018-03-30 09:00:56,,,194.935,0.925,2.86,14.745000000000001,0.0,3.71,45.33
2018-03-30 10:00:56,,,173.38,0.71,3.44,17.884999999999998,0.0,4.3100000000000005,43.4
2018-03-30 11:00:56,,,97.155,0.8,4.76,15.905000000000001,0.0,5.33,46.71
2018-03-30 12:00:56,,,91.94,0.745,3.935,16.645,0.0,4.859999999999999,50.22
2018-03-30 13:00:56,,,94.29,0.385,3.895,20.335,0.0,5.109999999999999,49.55
2018-03-30 14:00:56,,,89.965,0.28,4.16,20.215,0.0,6.58,48.43
