Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,24.72,0.0,4.6,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,13.97,0.0,4.36,0.0,0.0,0.0,0.0
2018-03-29 02:00:56,12.94,0.0,4.41,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,11.03,0.0,4.24,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,12.03,0.0,4.23,0.0,0.0,0.0,0.0
2018-03-29 05:00:56,12.97,0.0,4.13,0.0,0.0,0.0,0.0
2018-03-29 06:00:56,12.12,0.0,4.09,0.0,0.0,0.0,0.0
2018-03-29 07:00:56,15.74,0.0,4.06,0.0,0.0,0.0,0.0
2018-03-29 08:00:56,7.35,0.0,4.42,0.0,0.0,0.0,0.0
2018-03-29 09:00:56,19.2,0.0,4.97,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,25.83,0.0,4.89,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,19.86,0.0,4.72,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,15.14,0.0,5.03,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,20.48,0.0,5.08,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,36.86,0.0,4.99,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,32.08,0.0,5.98,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,34.75,0.0,6.1,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,26.31,0.0,6.58,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,36.63,0.0,5.5,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,23.8,0.0,5.27,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,16.91,0.0,5.27,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,14.06,0.0,6.13,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,15.94,0.0,6.01,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,13.94,0.0,6.51,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,11.95,0.0,5.23,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,9.97,0.0,4.63,0.0,0.0,0.0,0.0
2018-03-30 02:00:56,8.94,0.0,4.33,0.0,0.0,0.0,0.0
2018-03-30 03:00:56,6.94,0.0,4.31,0.0,0.0,0.0,0.0
2018-03-30 04:00:56,5.0,0.0,4.26,0.0,0.0,0.0,0.0
2018-03-30 05:00:56,5.03,0.0,4.19,0.0,0.0,0.0,0.0
2018-03-30 06:00:56,5.97,0.0,4.25,0.0,0.0,0.0,0.0
2018-03-30 07:00:56,4.97,0.0,4.3,0.0,0.0,0.0,0.0
2018-03-30 08:00:56,4.12,0.0,4.52,0.0,0.0,0.0,0.0
2018-03-30 09:00:56,8.12,0.0,4.81,0.0,0.0,0.0,0.0
2018-03-30 10:00:56,12.0,0.0,5.0,0.0,0.0,0.0,0.0
2018-03-30 11:00:56,12.15,0.0,5.21,0.0,0.0,0.0,0.0
2018-03-30 12:00:56,16.97,0.0,5.33,0.0,0.0,0.0,0.0
2018-03-30 13:00:56,16.06,0.0,5.25,0.0,0.0,0.0,0.0
2018-03-30 14:00:56,18.15,0.0,5.16,0.0,0.0,0.0,0.0
2018-03-30 15:00:56,22.82,0.0,5.19,0.0,0.0,0.0,0.0
2018-03-30 16:00:56,17.0,0.0,5.04,0.0,0.0,0.0,0.0
2018-03-30 17:00:56,16.97,0.0,4.97,0.0,0.0,0.0,0.0
2018-03-30 18:00:56,16.0,0.0,5.03,0.0,0.0,0.0,0.0
2018-03-30 19:00:56,16.22,0.0,5.18,0.0,0.0,0.0,0.0
2018-03-30 20:00:56,23.06,0.0,5.65,0.0,0.0,0.0,0.0
2018-03-30 21:00:56,24.97,0.0,5.58,0.0,0.0,0.0,0.0
2018-03-30 22:00:56,23.94,0.0,5.48,0.0,0.0,0.0,0.0
2018-03-30 23:00:56,21.85,0.0,5.3,0.0,0.0,0.0,0.0
2018-03-31 00:00:56,17.0,0.0,5.32,0.0,0.0,0.0,0.0
2018-03-31 01:00:56,17.03,0.0,4.96,0.0,0.0,0.0,0.0
2018-03-31 02:00:56,17.76,0.0,5.03,0.0,0.0,0.0,0.0
2018-03-31 03:00:56,10.03,0.0,5.08,0.0,0.0,0.0,0.0
2018-03-31 04:00:56,11.15,0.0,4.78,0.0,0.0,0.0,0.0
2018-03-31 05:00:56,15.7,0.0,4.97,0.0,0.0,0.0,0.0
2018-03-31 06:00:56,6.12,0.0,4.73,0.0,0.0,0.0,0.0
2018-03-31 07:00:56,10.09,0.0,4.76,0.0,0.0,0.0,0.0
2018-03-31 08:00:56,13.27,0.0,5.53,0.0,0.0,0.0,0.0
2018-03-31 09:00:56,22.27,0.0,5.87,0.0,0.0,0.0,0.0
2018-03-31 10:00:56,30.85,0.0,5.94,0.0,0.0,0.0,0.0
2018-03-31 11:00:56,26.06,0.0,5.99,0.0,0.0,0.0,0.0
2018-03-31 12:00:56,27.91,0.0,5.79,0.0,0.0,0.0,0.0
2018-03-31 13:00:56,24.73,0.0,5.84,0.0,0.0,0.0,0.0
2018-03-31 14:00:56,16.09,0.0,5.78,0.0,0.0,0.0,0.0
2018-03-31 15:00:56,18.91,0.0,5.73,0.0,0.0,0.0,0.0
2018-03-31 16:00:56,16.03,0.0,5.47,0.0,0.0,0.0,0.0
2018-03-31 17:00:56,16.91,0.0,5.24,0.0,0.0,0.0,0.0
2018-03-31 18:00:56,13.97,0.0,5.08,0.0,0.0,0.0,0.0
2018-03-31 19:00:56,13.21,0.0,4.96,0.0,0.0,0.0,0.0
2018-03-31 20:00:56,20.06,0.0,5.4,0.0,0.0,0.0,0.0
2018-03-31 21:00:56,22.03,0.0,5.35,0.0,0.0,0.0,0.0
2018-03-31 22:00:56,22.85,0.0,5.4,0.0,0.0,0.0,0.0
2018-03-31 23:00:56,17.91,0.0,5.16,0.0,0.0,0.0,0.0
2018-04-01 00:00:56,15.03,0.0,5.28,0.0,0.0,0.0,0.0
2018-04-01 01:00:56,16.09,0.0,4.98,0.0,0.0,0.0,0.0
2018-04-01 02:00:56,18.7,0.0,4.96,0.0,0.0,0.0,0.0
