Date,PM10 ( - ),PM 2.5 ( ng/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,92.91,46.66,1095.77,72.74,103.77
2022-03-23 17:00:56,99.09,38.65,1180.07,77.04,113.21
2022-03-23 18:00:56,114.8,36.57,1100.77,64.48,91.06
2022-03-23 19:00:56,121.7,36.46,1153.54,66.4,94.18
2022-03-23 20:00:56,129.65,29.42,1327.9,88.27,127.4
2022-03-23 21:00:56,134.71,26.77,1483.05,82.36,114.91
2022-03-23 22:00:56,144.31,26.54,1851.79,99.11,142.65
2022-03-23 23:00:56,148.76,38.34,1991.86,93.71,133.11
2022-03-24 00:00:56,147.73,51.61,1944.98,95.33,136.56
2022-03-24 01:00:56,143.81,52.4,1887.22,93.31,130.67
2022-03-24 02:00:56,143.74,48.56,1415.03,62.16,85.82
2022-03-24 03:00:56,127.19,41.45,949.66,34.35,43.16
2022-03-24 04:00:56,91.72,38.18,834.8,35.19,44.82
2022-03-24 05:00:56,62.84,34.95,746.8,28.77,36.84
2022-03-24 06:00:56,39.47,27.87,744.06,23.33,29.31
2022-03-24 07:00:56,24.21,22.98,724.63,28.79,36.14
2022-03-24 08:00:56,17.7,16.65,821.28,27.46,34.7
2022-03-24 09:00:56,19.14,14.53,988.31,50.17,66.35
2022-03-24 10:00:56,33.05,17.98,1474.35,99.27,153.45
2022-03-24 11:00:56,42.5,23.33,1680.49,114.71,182.27
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0
