Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,13.28,9.14,3.02,209.95,7.5,9.58,98.87
2022-03-23 17:00:56,12.55,8.53,3.13,269.09,12.94,17.25,92.46
2022-03-23 18:00:56,12.26,6.85,2.6,296.22,18.05,23.86,87.11
2022-03-23 19:00:56,13.16,5.68,2.52,263.03,20.31,25.41,84.92
2022-03-23 20:00:56,12.42,4.64,2.16,256.67,19.78,23.96,84.01
2022-03-23 21:00:56,11.24,5.2,2.19,258.82,16.74,20.08,85.75
2022-03-23 22:00:56,10.93,8.23,3.21,313.18,18.94,22.06,83.14
2022-03-23 23:00:56,9.55,10.07,3.71,325.26,18.22,20.23,83.34
2022-03-24 00:00:56,10.56,12.32,7.85,617.47,36.05,44.52,61.11
2022-03-24 01:00:56,17.18,15.48,13.54,922.64,50.08,63.56,39.77
2022-03-24 02:00:56,20.57,18.0,10.04,638.97,31.61,38.43,57.37
2022-03-24 03:00:56,20.36,19.08,5.56,382.2,19.13,21.93,70.79
2022-03-24 04:00:56,20.06,18.31,5.53,489.51,25.49,29.28,60.3
2022-03-24 05:00:56,19.89,20.17,6.6,833.39,34.75,38.12,37.33
2022-03-24 06:00:56,22.74,23.89,7.87,1132.22,41.01,48.67,21.25
2022-03-24 07:00:56,28.35,27.37,9.01,941.74,44.72,57.48,24.76
2022-03-24 08:00:56,33.19,28.59,10.45,797.63,52.28,76.24,29.7
2022-03-24 09:00:56,31.0,25.92,10.5,831.0,51.88,87.38,39.94
2022-03-24 10:00:56,28.62,23.45,7.82,521.78,26.87,45.55,68.05
2022-03-24 11:00:56,30.95,20.5,4.72,266.29,11.2,13.57,83.51
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
