Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,18.19,8.76
2022-03-23 17:00:56,19.11,9.08
2022-03-23 18:00:56,23.28,10.19
2022-03-23 19:00:56,43.45,10.49
2022-03-23 20:00:56,39.58,10.64
2022-03-23 21:00:56,44.13,11.74
2022-03-23 22:00:56,44.61,9.81
2022-03-23 23:00:56,55.29,10.07
2022-03-24 00:00:56,42.03,9.38
2022-03-24 01:00:56,42.81,8.9
2022-03-24 02:00:56,48.8,16.94
2022-03-24 03:00:56,61.14,14.95
2022-03-24 04:00:56,49.93,14.18
2022-03-24 05:00:56,52.53,11.0
2022-03-24 06:00:56,51.64,9.47
2022-03-24 07:00:56,36.55,10.98
2022-03-24 08:00:56,54.54,13.27
2022-03-24 09:00:56,77.27,13.52
2022-03-24 10:00:56,75.63,9.17
2022-03-24 11:00:56,57.47,9.04
2022-03-24 12:00:56,0.0,0.0
