Tarih,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,60.8775,29.3575,1.37125,0.0,21.555,38.306250000000006,58.42
2019-03-06 01:00:56,46.5,31.0325,1.27125,0.0,19.245,45.0925,60.48125
2019-03-06 02:00:56,33.3525,24.7675,1.24875,0.0,16.863750000000003,26.9325,60.423750000000005
2019-03-06 03:00:56,23.122500000000002,21.11875,1.56125,0.0,17.23375,41.65125,60.114999999999995
2019-03-06 04:00:56,28.067500000000003,20.93625,1.0625,0.0,15.832500000000001,28.97625,58.989999999999995
2019-03-06 05:00:56,33.77625,21.009999999999998,0.83625,0.0,16.091250000000002,25.14,54.1525
2019-03-06 06:00:56,34.6025,21.877499999999998,0.835,0.0,16.09625,26.49875,51.48125
2019-03-06 07:00:56,32.1575,26.0075,0.7675,0.0,16.05375,24.666249999999998,51.04125
2019-03-06 08:00:56,34.57625,21.82,1.00625,0.0,15.125,36.67125,55.71375
2019-03-06 09:00:56,28.53,19.564999999999998,1.87625,0.0,21.589999999999996,87.59875,47.405
2019-03-06 10:00:56,39.47875,26.384999999999998,2.08875,0.0,19.96125,71.10375,46.01375
2019-03-06 11:00:56,35.94500000000001,21.45625,4.68,0.0,21.587500000000002,70.5275,48.575
2019-03-06 12:00:56,42.792500000000004,29.192500000000003,4.1475,0.0,24.95375,66.6475,38.166250000000005
2019-03-06 13:00:56,44.39625,30.11625,3.42625,0.0,25.64125,64.70625,39.73375
2019-03-06 14:00:56,38.3575,25.646250000000002,2.20375,0.0,27.688750000000002,71.63374999999999,37.36875
2019-03-06 15:00:56,47.8025,29.46625,3.2375,0.0,26.242500000000003,61.3425,38.0725
2019-03-06 16:00:56,43.4375,28.05625,3.4275,0.0,5.41625,7.078749999999999,40.825
2019-03-06 17:00:56,39.501250000000006,18.134999999999998,2.485,0.0,15.18625,26.64,49.15375
2019-03-06 18:00:56,20.9725,15.901250000000001,2.9825,0.0,20.813750000000002,36.34,39.24625
2019-03-06 19:00:56,39.53375,25.543750000000003,2.77125,0.0,25.7375,55.89375,31.3275
2019-03-06 20:00:56,48.45875,33.38375,2.16875,0.0,27.71,48.17375000000001,23.2825
2019-03-06 21:00:56,56.15875,44.00375,1.19375,0.0,29.918750000000003,54.57875,20.3925
2019-03-06 22:00:56,45.91,36.25125,0.98125,0.0,18.582500000000003,30.10125,49.415
2019-03-06 23:00:56,28.29375,14.5775,0.6975,0.0,19.49875,32.27125,53.863749999999996
2019-03-07 00:00:56,16.86875,12.695,0.5875,0.0,17.4175,28.811249999999998,45.35125
2019-03-07 01:00:56,20.53,15.236250000000002,0.34,0.0,15.588750000000001,24.66,36.456250000000004
2019-03-07 02:00:56,22.23875,19.875,0.36625,0.0,13.133750000000001,29.681250000000002,44.705
2019-03-07 03:00:56,16.85,14.813749999999999,0.31375,0.0,11.0725,26.9325,51.0475
2019-03-07 04:00:56,14.48,10.17625,0.2925,0.0,9.735000000000001,22.821250000000003,52.9025
2019-03-07 05:00:56,11.1225,7.37875,0.08875,0.0,7.74125,10.36,54.239999999999995
2019-03-07 06:00:56,12.67625,10.3025,0.13625,0.0,8.286249999999999,12.71125,56.49875
2019-03-07 07:00:56,14.997499999999999,10.717500000000001,0.19625,0.0,10.43,23.575000000000003,53.681250000000006
2019-03-07 08:00:56,11.88875,8.495000000000001,0.4225,0.0,13.024999999999999,41.77875,52.33375
2019-03-07 09:00:56,16.93,13.55375,0.25375,0.0,12.27125,22.845,49.425
2019-03-07 10:00:56,23.485,26.92,0.56875,0.0,17.26375,39.081250000000004,48.99625
2019-03-07 11:00:56,16.35125,17.13625,0.925,0.0,13.605,23.736250000000002,47.60625
2019-03-07 12:00:56,19.878750000000004,16.30875,0.96,0.0,12.0175,20.985,49.78875
