Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,45.605000000000004,11.864999999999998,5.42,14.84,17.755,71.53
2022-03-23 17:00:56,46.955,11.684999999999999,5.625,14.934999999999999,17.475,73.02
2022-03-23 18:00:56,50.605000000000004,13.935,5.89,17.81,20.495,74.295
2022-03-23 19:00:56,57.315,15.375,6.195,22.995,25.5,67.88499999999999
2022-03-23 20:00:56,55.555,17.385,6.24,22.215000000000003,24.75,68.25
2022-03-23 21:00:56,54.5,18.53,5.845000000000001,14.74,17.145,72.475
2022-03-23 22:00:56,52.30500000000001,16.79,6.34,20.509999999999998,23.035,67.975
2022-03-23 23:00:56,54.16,16.89,6.365,19.17,21.61,69.355
2022-03-24 00:00:56,50.835,15.344999999999999,5.975,15.84,18.16,69.97
2022-03-24 01:00:56,47.95,16.335,5.67,12.435,14.755,73.02000000000001
2022-03-24 02:00:56,43.67,19.44,5.85,15.02,17.295,69.125
2022-03-24 03:00:56,39.22,16.555,5.4,10.665,12.885,68.815
2022-03-24 04:00:56,35.735,13.47,5.715,9.61,11.795,68.815
2022-03-24 05:00:56,34.495000000000005,12.285,5.67,9.825,12.02,68.705
2022-03-24 06:00:56,33.34,11.475,5.46,11.54,13.809999999999999,67.89
2022-03-24 07:00:56,32.67,11.55,6.105,14.015,16.38,62.4
2022-03-24 08:00:56,33.505,12.865,7.54,18.5,22.705,58.55
2022-03-24 09:00:56,36.965,13.945,6.6899999999999995,20.475,24.939999999999998,57.42
2022-03-24 10:00:56,43.425,15.669999999999998,6.785,16.335,19.565,64.75999999999999
2022-03-24 11:00:56,43.464999999999996,16.009999999999998,6.35,11.754999999999999,14.975,67.89
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
