Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,248.27,0.0,5.57,42.51,49.01,24.47
2018-03-29 01:00:56,224.4,0.0,5.05,42.13,49.09,24.76
2018-03-29 02:00:56,207.45,0.0,5.07,38.13,44.36,25.29
2018-03-29 03:00:56,191.31,0.0,4.95,42.75,49.99,26.83
2018-03-29 04:00:56,200.28,0.0,4.86,45.22,52.84,26.0
2018-03-29 05:00:56,176.69,0.0,4.72,44.96,52.04,37.98
2018-03-29 06:00:56,111.54,0.0,4.72,26.8,29.98,53.39
2018-03-29 07:00:56,127.07,0.0,4.98,26.78,29.69,51.93
2018-03-29 08:00:56,128.9,0.0,5.54,32.18,35.71,42.78
2018-03-29 09:00:56,125.87,0.0,5.77,38.12,42.57,45.99
2018-03-29 10:00:56,122.37,0.0,5.99,43.39,48.74,47.92
2018-03-29 11:00:56,131.22,0.0,5.71,51.29,57.74,45.61
2018-03-29 12:00:56,109.34,0.0,5.33,47.76,53.65,49.73
2018-03-29 13:00:56,119.17,0.0,6.29,37.31,41.75,57.4
2018-03-29 14:00:56,124.1,0.0,6.31,41.34,46.75,52.37
2018-03-29 15:00:56,127.17,0.0,6.65,44.8,51.06,49.36
2018-03-29 16:00:56,132.34,0.0,6.04,43.51,49.53,45.87
2018-03-29 17:00:56,145.16,0.0,5.96,39.78,45.63,49.99
2018-03-29 18:00:56,228.4,0.0,5.7,41.44,47.14,40.03
2018-03-29 19:00:56,96.05,0.0,5.7,23.48,25.84,56.76
2018-03-29 20:00:56,69.37,0.0,6.47,47.76,54.81,36.47
2018-03-29 21:00:56,78.7,0.0,5.99,35.67,40.31,49.11
2018-03-29 22:00:56,40.51,0.0,6.13,21.63,23.9,54.67
2018-03-29 23:00:56,54.46,0.0,6.42,23.87,26.44,47.59
2018-03-30 00:00:56,40.32,0.0,6.78,41.39,47.77,27.11
2018-03-30 01:00:56,49.69,0.0,7.02,41.61,48.38,25.82
2018-03-30 02:00:56,41.27,0.0,6.8,31.81,36.91,33.89
2018-03-30 03:00:56,48.66,0.0,6.99,23.96,27.95,32.29
2018-03-30 04:00:56,39.24,0.0,6.91,32.36,38.61,21.97
2018-03-30 05:00:56,45.82,0.0,7.03,28.7,34.37,29.4
2018-03-30 06:00:56,40.89,0.0,7.25,30.23,36.07,29.55
2018-03-30 07:00:56,38.53,0.0,7.31,32.84,39.79,22.05
2018-03-30 08:00:56,54.41,0.0,7.59,38.65,47.83,21.11
2018-03-30 09:00:56,92.37,0.0,6.78,32.8,40.5,32.05
2018-03-30 10:00:56,75.17,0.0,7.23,19.22,23.65,55.22
2018-03-30 11:00:56,79.21,0.0,6.85,16.6,19.05,75.23
2018-03-30 12:00:56,55.64,0.0,6.95,35.21,40.87,58.77
2018-03-30 13:00:56,46.32,0.0,6.76,35.14,40.38,55.29
2018-03-30 14:00:56,54.82,0.0,6.64,27.77,31.05,65.58
2018-03-30 15:00:56,50.18,0.0,6.73,41.32,47.37,59.45
2018-03-30 16:00:56,54.93,0.0,6.4,27.5,30.45,77.5
2018-03-30 17:00:56,52.5,0.0,6.28,26.62,29.19,77.59
2018-03-30 18:00:56,38.4,0.0,5.83,40.55,45.39,53.59
2018-03-30 19:00:56,23.49,0.0,6.13,38.77,42.69,50.16
2018-03-30 20:00:56,37.0,0.0,5.89,37.21,40.85,49.94
2018-03-30 21:00:56,36.75,0.0,6.09,30.7,33.56,49.44
2018-03-30 22:00:56,29.65,0.0,5.62,17.88,18.96,55.37
2018-03-30 23:00:56,18.9,0.0,5.46,25.97,28.31,51.65
2018-03-31 00:00:56,16.07,0.0,5.25,22.6,23.97,58.51
2018-03-31 01:00:56,18.18,0.0,5.52,29.61,31.57,53.29
2018-03-31 02:00:56,22.4,0.0,5.49,25.64,26.84,60.76
2018-03-31 03:00:56,6.42,0.0,5.62,30.22,31.8,57.74
2018-03-31 04:00:56,17.82,0.0,5.28,32.41,34.06,59.14
2018-03-31 05:00:56,13.07,0.0,5.04,20.33,20.2,65.0
2018-03-31 06:00:56,15.11,0.0,5.54,21.37,21.93,63.86
2018-03-31 07:00:56,18.0,0.0,4.96,30.38,31.31,59.91
2018-03-31 08:00:56,18.32,0.0,5.26,31.38,32.5,61.29
2018-03-31 09:00:56,26.86,0.0,4.67,37.95,39.93,60.24
2018-03-31 10:00:56,22.89,0.0,4.61,36.33,37.89,64.13
2018-03-31 11:00:56,19.69,0.0,3.92,34.76,36.05,66.09
2018-03-31 12:00:56,11.21,0.0,3.78,30.19,30.99,70.94
2018-03-31 13:00:56,16.96,0.0,3.26,39.18,41.27,62.24
2018-03-31 14:00:56,16.22,0.0,2.79,38.37,40.6,64.84
2018-03-31 15:00:56,21.93,0.0,3.89,38.16,40.35,65.25
2018-03-31 16:00:56,20.51,0.0,3.95,41.92,44.57,55.73
2018-03-31 17:00:56,33.8,0.0,4.03,38.75,41.16,56.44
2018-03-31 18:00:56,28.17,0.0,4.03,34.9,36.7,60.41
2018-03-31 19:00:56,33.2,0.0,4.49,35.67,37.49,53.49
2018-03-31 20:00:56,38.11,0.0,4.8,36.22,38.24,52.78
2018-03-31 21:00:56,40.52,0.0,4.72,33.06,34.53,60.34
2018-03-31 22:00:56,28.37,0.0,4.91,26.73,27.7,43.47
2018-03-31 23:00:56,38.21,0.0,4.89,20.47,20.47,45.97
2018-04-01 00:00:56,44.21,0.0,4.73,25.69,26.83,28.68
2018-04-01 01:00:56,49.7,0.0,4.88,27.76,29.56,34.5
2018-04-01 02:00:56,41.71,0.0,4.46,19.08,20.39,36.47
2018-04-01 03:00:56,34.4,0.0,4.59,17.24,18.5,24.63
2018-04-01 04:00:56,44.85,0.0,4.76,15.55,16.88,19.08
2018-04-01 05:00:56,40.67,0.0,4.51,10.59,11.07,32.05
2018-04-01 06:00:56,31.89,0.0,5.14,15.37,16.59,29.13
2018-04-01 07:00:56,29.59,0.0,4.93,15.94,17.61,24.31
2018-04-01 08:00:56,44.63,0.0,5.22,19.89,22.55,43.91
2018-04-01 09:00:56,35.07,0.0,4.71,25.96,29.36,47.42
2018-04-01 10:00:56,36.89,0.0,4.48,26.55,29.76,56.96
2018-04-01 11:00:56,33.93,0.0,5.09,35.94,39.94,60.36
2018-04-01 12:00:56,32.64,0.0,5.07,41.43,46.0,58.29
2018-04-01 13:00:56,49.67,0.0,4.89,51.58,57.27,51.95
2018-04-01 14:00:56,40.89,0.0,4.21,45.46,49.98,58.13
2018-04-01 15:00:56,38.0,0.0,4.48,38.72,42.36,66.48
2018-04-01 16:00:56,38.18,0.0,4.61,38.47,42.01,65.13
2018-04-01 17:00:56,42.67,0.0,4.45,39.54,43.34,63.88
2018-04-01 18:00:56,34.52,0.0,4.26,25.32,26.85,78.09
2018-04-01 19:00:56,50.19,0.0,4.64,38.4,41.76,51.53
2018-04-01 20:00:56,84.78,0.0,5.36,48.19,53.4,19.92
2018-04-01 21:00:56,172.96,0.0,6.52,47.08,53.04,15.75
2018-04-01 22:00:56,172.68,0.0,6.22,43.17,49.12,10.98
2018-04-01 23:00:56,187.44,0.0,6.16,33.34,39.36,23.37
2018-04-02 00:00:56,121.34,0.0,5.65,28.26,32.39,17.48
2018-04-02 01:00:56,77.57,0.0,5.52,24.22,27.89,18.52
2018-04-02 02:00:56,65.93,0.0,4.44,22.01,25.24,20.05
2018-04-02 03:00:56,64.0,0.0,4.69,21.85,24.93,17.78
2018-04-02 04:00:56,64.19,0.0,5.41,16.05,18.43,13.34
