Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,46.17,32.44,17.96,566.28,27.42,32.18,68.59
2022-03-23 17:00:56,41.6,24.88,14.97,610.51,28.39,34.53,76.92
2022-03-23 18:00:56,33.46,19.66,13.59,595.09,34.81,43.25,73.11
2022-03-23 19:00:56,28.27,13.8,23.4,853.3,54.44,62.82,45.21
2022-03-23 20:00:56,33.24,9.65,23.79,1276.64,66.76,75.91,15.06
2022-03-23 21:00:56,48.76,21.27,46.02,1281.88,57.74,64.19,23.24
2022-03-23 22:00:56,59.27,32.48,50.13,1371.21,48.27,54.35,27.94
2022-03-23 23:00:56,5.9,5.36,62.88,1442.71,49.12,57.81,14.0
2022-03-24 00:00:56,56.54,49.62,41.95,2058.04,49.48,70.9,4.37
2022-03-24 01:00:56,89.1,65.23,43.16,2867.9,45.89,94.58,3.1
2022-03-24 02:00:56,128.12,100.11,30.39,1630.81,36.65,69.38,2.58
2022-03-24 03:00:56,121.88,86.07,15.2,421.14,20.36,25.28,12.02
2022-03-24 04:00:56,94.53,64.18,11.21,445.73,19.01,22.44,12.68
2022-03-24 05:00:56,58.34,52.33,10.59,578.45,19.26,22.31,10.76
2022-03-24 06:00:56,31.56,34.09,10.69,532.66,20.06,23.33,9.89
2022-03-24 07:00:56,17.72,22.91,9.64,428.77,21.03,25.15,7.24
2022-03-24 08:00:56,14.92,17.19,24.83,1076.46,33.12,55.98,3.73
2022-03-24 09:00:56,52.7,25.54,21.39,864.14,40.62,61.63,15.81
2022-03-24 10:00:56,88.88,42.04,42.14,850.23,47.63,62.85,17.57
2022-03-24 11:00:56,103.27,64.12,24.73,573.3,32.52,42.81,32.24
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
