Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,39.49,12.39,0.0,0.0,0.0
2018-03-29 01:00:56,41.64,9.67,0.0,0.0,0.0
2018-03-29 02:00:56,32.49,8.49,0.0,0.0,0.0
2018-03-29 03:00:56,35.0,7.88,0.0,0.0,0.0
2018-03-29 04:00:56,27.13,7.55,0.0,0.0,0.0
2018-03-29 05:00:56,20.75,7.28,0.0,0.0,0.0
2018-03-29 06:00:56,19.5,6.93,0.0,0.0,0.0
2018-03-29 07:00:56,24.89,6.79,0.0,0.0,0.0
2018-03-29 08:00:56,37.75,7.21,0.0,0.0,0.0
2018-03-29 09:00:56,38.64,7.67,0.0,0.0,0.0
2018-03-29 10:00:56,57.38,8.06,0.0,0.0,0.0
2018-03-29 11:00:56,61.76,10.95,0.0,0.0,0.0
2018-03-29 12:00:56,76.64,18.97,0.0,0.0,0.0
2018-03-29 13:00:56,95.76,18.02,0.0,0.0,0.0
2018-03-29 14:00:56,95.59,14.74,0.0,0.0,0.0
2018-03-29 15:00:56,58.5,12.78,0.0,0.0,0.0
2018-03-29 16:00:56,60.49,9.64,0.0,0.0,0.0
2018-03-29 17:00:56,49.11,7.81,0.0,0.0,0.0
2018-03-29 18:00:56,43.76,7.45,0.0,0.0,0.0
2018-03-29 19:00:56,47.73,7.45,0.0,0.0,0.0
2018-03-29 20:00:56,38.62,7.15,0.0,0.0,0.0
2018-03-29 21:00:56,35.75,8.8,0.0,0.0,0.0
2018-03-29 22:00:56,33.75,9.57,0.0,0.0,0.0
2018-03-29 23:00:56,32.76,8.3,0.0,0.0,0.0
2018-03-30 00:00:56,36.9,7.34,0.0,0.0,0.0
2018-03-30 01:00:56,28.37,7.83,0.0,0.0,0.0
2018-03-30 02:00:56,23.87,7.64,0.0,0.0,0.0
2018-03-30 03:00:56,22.75,7.75,0.0,0.0,0.0
2018-03-30 04:00:56,19.5,8.56,0.0,0.0,0.0
2018-03-30 05:00:56,8.75,8.37,0.0,0.0,0.0
2018-03-30 06:00:56,6.88,7.76,0.0,0.0,0.0
2018-03-30 07:00:56,6.5,7.81,0.0,0.0,0.0
2018-03-30 08:00:56,13.11,8.6,0.0,0.0,0.0
2018-03-30 09:00:56,35.87,14.45,0.0,0.0,0.0
2018-03-30 10:00:56,42.25,26.8,0.0,0.0,0.0
2018-03-30 11:00:56,40.39,20.05,0.0,0.0,0.0
2018-03-30 12:00:56,14.63,14.21,0.0,0.0,0.0
2018-03-30 13:00:56,12.0,12.2,0.0,0.0,0.0
2018-03-30 14:00:56,12.5,11.2,0.0,0.0,0.0
2018-03-30 15:00:56,15.38,9.92,0.0,0.0,0.0
2018-03-30 16:00:56,12.37,9.57,0.0,0.0,0.0
2018-03-30 17:00:56,20.75,9.0,0.0,0.0,0.0
2018-03-30 18:00:56,13.0,9.05,0.0,0.0,0.0
2018-03-30 19:00:56,19.63,8.81,0.0,0.0,0.0
2018-03-30 20:00:56,17.25,8.42,0.0,0.0,0.0
2018-03-30 21:00:56,19.0,8.4,0.0,0.0,0.0
2018-03-30 22:00:56,18.38,8.3,0.0,0.0,0.0
2018-03-30 23:00:56,14.12,8.05,0.0,0.0,0.0
