Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,0.0,0.0,0.0,90.63,0.0,0.0
2018-03-29 02:00:56,0.0,0.0,0.0,353.09,0.0,0.0
2018-03-29 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,0.0,0.0,0.0,422.06,0.0,0.0
2018-03-29 05:00:56,0.0,0.0,0.0,424.33,0.0,0.0
2018-03-29 06:00:56,0.0,0.0,0.0,322.4,0.0,0.0
2018-03-29 07:00:56,0.0,0.0,0.0,23.3,0.0,0.0
2018-03-29 08:00:56,0.0,0.0,0.0,207.63,0.0,0.0
2018-03-29 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,0.0,0.0,0.0,192.6,0.0,0.0
2018-03-29 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,0.0,0.0,0.0,109.99,0.0,0.0
2018-03-29 20:00:56,0.0,0.0,0.0,411.4,0.0,0.0
2018-03-29 21:00:56,0.0,0.0,0.0,537.55,0.0,0.0
2018-03-29 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
