Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,4.1,4.73,4.54,0.0,0.34,139.25
2018-03-29 01:00:56,6.0,4.15,51.36,0.17,1.06,113.1
2018-03-29 02:00:56,43.71,3.4,59.45,0.0,0.0,156.62
2018-03-29 03:00:56,18.62,3.7,89.39,0.0,0.0,188.4
2018-03-29 04:00:56,17.5,4.01,163.24,0.0,0.0,105.61
2018-03-29 05:00:56,15.22,4.46,216.5,0.0,0.0,52.09
2018-03-29 06:00:56,16.81,4.74,224.86,0.0,0.0,49.67
2018-03-29 07:00:56,12.97,4.76,237.97,0.0,0.0,70.43
2018-03-29 08:00:56,95.21,4.66,255.22,0.0,0.0,69.21
2018-03-29 09:00:56,74.18,4.57,268.12,0.0,0.0,123.08
2018-03-29 10:00:56,98.09,4.52,265.03,0.0,0.27,112.13
2018-03-29 11:00:56,31.54,4.47,248.79,0.0,0.0,170.99
2018-03-29 12:00:56,22.81,4.54,242.42,0.0,0.0,192.02
2018-03-29 13:00:56,21.46,4.59,250.36,0.0,0.01,131.34
2018-03-29 14:00:56,72.87,4.57,244.34,0.0,0.0,138.1
2018-03-29 15:00:56,35.05,4.3,249.98,0.0,0.0,138.08
2018-03-29 16:00:56,71.87,4.28,244.09,0.0,0.51,147.01
2018-03-29 17:00:56,48.55,4.38,250.08,0.0,0.09,134.5
2018-03-29 18:00:56,15.12,4.11,263.53,0.0,0.15,133.32
2018-03-29 19:00:56,83.91,4.15,269.42,0.0,0.0,139.68
2018-03-29 20:00:56,59.84,4.12,269.61,0.0,0.0,106.56
2018-03-29 21:00:56,26.72,4.02,282.15,0.0,0.97,130.96
2018-03-29 22:00:56,18.04,4.53,349.4,0.23,4.16,113.2
2018-03-29 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,49.27,4.31,348.1,0.66,4.17,70.1
2018-03-30 01:00:56,15.92,4.11,373.39,0.74,6.24,38.5
2018-03-30 02:00:56,19.06,4.31,392.29,3.35,9.29,36.4
2018-03-30 03:00:56,80.52,4.17,342.59,1.72,7.85,37.79
2018-03-30 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 05:00:56,45.03,2.51,271.82,1.54,6.66,21.32
