Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,45.6,10.09,17.1,360.48,29.04,47.25
2022-03-23 17:00:56,60.06,11.14,17.47,364.55,30.97,49.78
2022-03-23 18:00:56,69.45,9.24,17.22,373.66,29.49,48.23
2022-03-23 19:00:56,85.43,7.34,17.39,358.28,26.63,41.65
2022-03-23 20:00:56,82.66,6.42,19.11,554.87,39.96,54.51
2022-03-23 21:00:56,86.32,10.19,43.04,1169.43,51.22,62.89
2022-03-23 22:00:56,89.62,11.69,43.94,1037.89,50.23,63.29
2022-03-23 23:00:56,65.92,9.89,53.0,1179.29,48.92,60.3
2022-03-24 00:00:56,41.72,11.65,54.3,1286.9,48.99,59.21
2022-03-24 01:00:56,30.81,9.61,40.08,846.39,36.35,46.38
2022-03-24 02:00:56,33.37,7.5,21.96,374.82,19.82,30.34
2022-03-24 03:00:56,27.07,15.88,23.27,457.22,17.06,26.66
2022-03-24 04:00:56,28.28,14.16,26.13,475.1,19.7,29.12
2022-03-24 05:00:56,32.75,15.69,24.6,616.76,22.01,31.66
2022-03-24 06:00:56,43.62,16.18,23.4,651.04,24.1,33.99
2022-03-24 07:00:56,46.58,20.39,20.33,500.28,23.01,32.83
2022-03-24 08:00:56,56.32,16.92,25.16,661.33,31.6,45.6
2022-03-24 09:00:56,55.65,12.48,43.2,1135.87,49.32,69.58
2022-03-24 10:00:56,43.12,9.16,46.85,1172.84,54.04,75.98
2022-03-24 11:00:56,43.42,7.73,53.34,1271.32,44.58,61.32
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
