Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,35.475,2.175,23.845,28.534999999999997,17.64,286.41,13.62
2022-03-23 17:00:56,33.44,2.33,24.77,23.545,15.89,0.0,12.98
2022-03-23 18:00:56,31.270000000000003,3.13,30.955000000000002,35.815,14.54,320.54,10.81
2022-03-23 19:00:56,31.66,3.67,36.92,41.78,15.76,363.54,9.75
2022-03-23 20:00:56,36.82,3.71,43.545,49.755,20.12,0.0,0.0
2022-03-23 21:00:56,40.025,3.425,54.925000000000004,56.255,22.25,395.2,5.82
2022-03-23 22:00:56,43.239999999999995,0.0,59.705,71.67,19.6,0.0,0.0
2022-03-23 23:00:56,41.92,3.75,62.495,74.94000000000001,19.64,315.76,5.78
2022-03-24 00:00:56,40.53,4.83,61.015,70.06,17.46,293.53,5.61
2022-03-24 01:00:56,41.555,3.57,51.565,55.435,13.91,0.0,4.88
2022-03-24 02:00:56,39.595,3.78,33.3,36.415,11.43,296.44,4.44
2022-03-24 03:00:56,30.32,3.265,27.305,30.34,12.99,246.46,4.3
2022-03-24 04:00:56,24.575000000000003,3.33,27.369999999999997,30.2,11.83,254.49,3.72
2022-03-24 05:00:56,24.105,2.81,23.03,25.475,9.97,226.36,4.51
2022-03-24 06:00:56,23.02,2.1,22.58,20.085,14.78,239.57,4.35
2022-03-24 07:00:56,20.625,1.815,31.19,37.825,14.28,259.57,3.43
2022-03-24 08:00:56,21.39,1.88,39.75,51.185,12.1,312.41,1.71
2022-03-24 09:00:56,22.28,2.0,42.24,43.85,14.82,0.0,0.0
2022-03-24 10:00:56,24.81,1.995,43.415,61.44,15.09,315.8,2.78
2022-03-24 11:00:56,29.945,1.87,36.480000000000004,49.875,15.93,244.75,5.32
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
