Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,49.46,0.0,39.04,46.55
2022-03-23 17:00:56,50.45,0.0,40.6,47.09
2022-03-23 18:00:56,44.6,0.0,45.24,51.84
2022-03-23 19:00:56,43.85,0.0,53.68,60.99
2022-03-23 20:00:56,45.68,0.0,87.09,99.51
2022-03-23 21:00:56,53.61,0.0,94.48,112.51
2022-03-23 22:00:56,60.91,0.0,119.41,143.34
2022-03-23 23:00:56,62.63,0.0,113.63,137.86
2022-03-24 00:00:56,64.74,0.0,112.02,140.12
2022-03-24 01:00:56,65.73,0.0,92.92,110.87
2022-03-24 02:00:56,61.36,0.0,54.97,60.46
2022-03-24 03:00:56,45.94,0.0,44.06,48.89
2022-03-24 04:00:56,32.67,0.0,45.19,49.72
2022-03-24 05:00:56,30.05,0.0,38.25,42.31
2022-03-24 06:00:56,28.52,0.0,36.41,40.17
2022-03-24 07:00:56,26.74,0.0,49.7,60.31
2022-03-24 08:00:56,31.93,0.0,57.82,74.0
2022-03-24 09:00:56,29.21,0.0,64.95,87.7
2022-03-24 10:00:56,34.19,0.0,71.09,101.39
2022-03-24 11:00:56,46.55,0.0,60.25,83.95
2022-03-24 12:00:56,0.0,0.0,0.0,0.0
