Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),SO2 ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,21.6,6.72,1350.325,25.64,37.08,10.35,54.33
2022-03-23 17:00:56,23.915,6.98,1359.17,26.035,39.19,10.2,54.37
2022-03-23 18:00:56,25.525,7.84,1352.4,19.83,29.345,10.3,51.92
2022-03-23 19:00:56,27.32,7.33,1409.74,23.424999999999997,30.865,11.08,48.16
2022-03-23 20:00:56,27.69,9.01,1358.93,19.175,24.310000000000002,10.13,45.27
2022-03-23 21:00:56,26.115000000000002,7.25,1331.21,14.915000000000001,19.11,10.16,41.02
2022-03-23 22:00:56,23.595,4.52,1326.28,15.305,20.555,8.46,39.88
2022-03-23 23:00:56,21.6,3.96,1306.7849999999999,11.985,15.465,8.38,41.19
2022-03-24 00:00:56,19.835,3.23,1307.445,7.075,8.965,7.99,40.46
2022-03-24 01:00:56,17.81,5.39,1303.45,12.879999999999999,15.765,7.99,41.86
2022-03-24 02:00:56,18.509999999999998,4.74,1282.42,8.24,10.335,7.84,42.54
2022-03-24 03:00:56,19.175,3.28,1283.275,14.115,18.33,7.83,39.0
2022-03-24 04:00:56,18.695,3.43,1281.78,11.620000000000001,13.86,8.61,39.47
2022-03-24 05:00:56,18.75,2.94,1301.815,8.83,10.715,7.43,42.61
2022-03-24 06:00:56,18.03,3.14,1281.025,8.48,10.5,8.18,43.09
2022-03-24 07:00:56,17.255,2.55,1278.425,11.870000000000001,14.915,7.81,41.83
2022-03-24 08:00:56,17.5,3.54,1327.115,19.625,27.455,8.02,40.95
2022-03-24 09:00:56,18.47,5.5,1414.51,21.535,32.010000000000005,8.67,41.99
2022-03-24 10:00:56,18.82,7.38,1352.7849999999999,16.91,25.02,8.86,45.14
2022-03-24 11:00:56,18.875,8.25,1303.92,12.740000000000002,19.335,10.57,47.91
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
