Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),O3 ( µg/m3 )
2021-05-06 12:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-06 13:00:56,0.0,0.0,0.0,475.98,70.31
2021-05-06 14:00:56,35.85,0.0,0.0,347.58,78.44
2021-05-06 15:00:56,72.58,0.0,0.0,188.45,86.35
2021-05-06 16:00:56,65.49,0.0,0.0,197.98,88.83
2021-05-06 17:00:56,48.53,0.0,0.0,272.63,92.72
2021-05-06 18:00:56,38.79,0.0,0.0,220.16,93.27
2021-05-06 19:00:56,34.67,0.0,0.0,207.85,95.62
2021-05-06 20:00:56,28.03,0.0,0.0,179.11,96.38
2021-05-06 21:00:56,20.68,0.0,0.0,153.16,94.27
2021-05-06 22:00:56,16.87,0.0,0.0,166.96,90.64
2021-05-06 23:00:56,13.12,0.0,0.0,164.78,87.7
2021-05-07 00:00:56,9.51,0.0,0.0,140.08,90.88
2021-05-07 01:00:56,8.56,0.0,0.0,148.09,97.14
2021-05-07 02:00:56,7.67,0.0,0.0,144.94,95.45
2021-05-07 03:00:56,8.3,0.0,0.0,99.03,94.23
2021-05-07 04:00:56,10.37,0.0,0.0,108.65,94.0
2021-05-07 05:00:56,148.13,0.0,0.0,58.94,93.03
2021-05-07 06:00:56,133.7,0.0,0.0,53.1,90.26
2021-05-07 07:00:56,9.56,0.0,0.0,92.75,81.31
2021-05-07 08:00:56,10.86,0.0,0.0,237.27,86.82
2021-05-07 09:00:56,107.14,0.0,0.0,316.3,85.22
2021-05-07 10:00:56,126.91,0.0,0.0,292.42,82.89
2021-05-07 11:00:56,33.6,0.0,0.0,166.57,85.25
2021-05-07 12:00:56,9.11,0.0,0.0,223.43,83.78
2021-05-07 13:00:56,4.11,0.0,0.0,224.91,83.89
2021-05-07 14:00:56,2.89,0.0,0.0,190.72,84.65
2021-05-07 15:00:56,3.26,0.0,0.0,177.71,83.9
2021-05-07 16:00:56,4.72,0.0,0.0,282.4,83.56
2021-05-07 17:00:56,4.79,0.0,0.0,317.88,85.47
2021-05-07 18:00:56,4.43,0.0,0.0,208.96,86.6
2021-05-07 19:00:56,8.3,0.0,0.0,165.33,85.09
2021-05-07 20:00:56,10.41,0.0,0.0,157.84,81.55
2021-05-07 21:00:56,7.99,0.0,0.0,130.79,72.74
2021-05-07 22:00:56,8.89,0.0,0.0,145.1,73.54
2021-05-07 23:00:56,9.15,0.0,0.0,128.16,78.56
2021-05-08 00:00:56,6.84,0.0,0.0,139.27,77.52
2021-05-08 01:00:56,5.26,0.0,0.0,139.03,76.88
2021-05-08 02:00:56,3.82,0.0,0.0,148.11,75.45
2021-05-08 03:00:56,2.98,0.0,0.0,135.17,72.66
2021-05-08 04:00:56,4.89,0.0,0.0,103.91,78.11
2021-05-08 05:00:56,5.77,0.0,0.0,104.94,78.06
2021-05-08 06:00:56,4.72,0.0,0.0,99.31,72.69
2021-05-08 07:00:56,3.95,0.0,0.0,109.29,70.52
2021-05-08 08:00:56,2.81,0.0,0.0,136.02,69.94
2021-05-08 09:00:56,2.12,0.0,0.0,102.59,75.42
2021-05-08 10:00:56,1.72,0.0,0.0,174.18,75.4
2021-05-08 11:00:56,1.32,0.0,0.0,386.5,86.42
2021-05-08 12:00:56,0.0,0.0,0.0,434.1,91.44
2021-05-08 13:00:56,0.0,0.0,0.0,294.53,85.9
2021-05-08 14:00:56,0.0,0.0,0.0,155.41,82.55
2021-05-08 15:00:56,0.0,0.0,0.0,254.28,78.69
2021-05-08 16:00:56,4.22,0.0,0.0,197.3,85.34
2021-05-08 17:00:56,9.22,0.0,0.0,170.47,86.79
2021-05-08 18:00:56,14.38,0.0,0.0,183.93,91.32
2021-05-08 19:00:56,15.39,0.0,0.0,177.32,91.92
2021-05-08 20:00:56,10.81,0.0,0.0,178.11,85.91
2021-05-08 21:00:56,7.57,0.0,0.0,202.74,78.25
2021-05-08 22:00:56,5.58,0.0,0.0,159.97,71.87
2021-05-08 23:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 00:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 01:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 02:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 03:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 04:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 05:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 06:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 07:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 08:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 09:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 10:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 11:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 12:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 13:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 14:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 15:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 16:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 17:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 18:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 19:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 20:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 21:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 22:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-09 23:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 00:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 01:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 02:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 03:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 04:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 05:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 06:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 07:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 08:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 09:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 10:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 11:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 12:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 13:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 14:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 15:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 16:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 17:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 18:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 19:00:56,0.0,0.0,0.0,0.0,0.0
2021-05-10 20:00:56,0.0,0.0,0.0,0.0,0.0
