Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,71.26,0.0,11.69,395.98,30.66,41.33
2022-03-23 17:00:56,64.0,0.0,9.02,416.47,33.92,44.04
2022-03-23 18:00:56,53.26,0.0,0.0,449.72,0.0,0.0
2022-03-23 19:00:56,47.38,0.0,13.87,467.47,40.78,49.35
2022-03-23 20:00:56,35.0,0.0,19.45,687.74,69.21,84.27
2022-03-23 21:00:56,43.16,0.0,8.38,725.15,70.16,0.0
2022-03-23 22:00:56,47.68,0.0,6.68,808.07,96.51,142.51
2022-03-23 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 00:00:56,36.99,0.0,6.2,1143.94,109.72,185.31
2022-03-24 01:00:56,49.48,0.0,5.35,736.36,70.21,97.98
2022-03-24 02:00:56,56.7,0.0,4.38,598.93,38.67,0.0
2022-03-24 03:00:56,51.29,0.0,3.43,587.77,50.29,64.83
2022-03-24 04:00:56,46.61,0.0,3.22,618.33,45.52,57.98
2022-03-24 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 06:00:56,42.51,0.0,2.57,545.56,43.03,56.51
2022-03-24 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 08:00:56,31.16,0.0,3.56,618.24,50.75,0.0
2022-03-24 09:00:56,42.21,0.0,5.47,587.72,60.09,87.16
2022-03-24 10:00:56,51.12,0.0,8.28,627.56,42.45,0.0
2022-03-24 11:00:56,58.12,0.0,8.69,509.03,39.7,56.17
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
