Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,114.57,0.0,6.75,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,102.02,0.0,4.69,0.0,0.0,0.0,0.0
2018-03-29 02:00:56,70.84,0.0,4.18,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,41.15,0.0,3.97,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,23.37,0.0,3.38,0.0,0.0,0.0,0.0
2018-03-29 05:00:56,0.0,0.0,3.48,0.0,0.0,0.0,0.0
2018-03-29 06:00:56,0.0,0.0,3.94,0.0,0.0,0.0,0.0
2018-03-29 07:00:56,0.0,0.0,4.3,0.0,0.0,0.0,0.0
2018-03-29 08:00:56,0.0,0.0,3.82,0.0,0.0,0.0,0.0
2018-03-29 09:00:56,0.0,0.0,5.3,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,0.0,0.0,7.55,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,92.76,0.0,6.72,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,50.33,0.0,6.99,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,25.26,0.0,5.95,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,27.56,0.0,4.82,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,41.83,0.0,3.75,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,64.58,0.0,4.74,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,72.21,0.0,5.84,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,59.59,0.0,5.63,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,49.93,0.0,6.27,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,48.17,0.0,3.95,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,62.84,0.0,5.27,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,48.57,0.0,3.46,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,36.93,0.0,4.03,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,32.02,0.0,3.29,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,18.63,0.0,3.88,0.0,0.0,0.0,0.0
2018-03-30 02:00:56,22.12,0.0,6.71,0.0,0.0,0.0,0.0
2018-03-30 03:00:56,20.88,0.0,6.2,0.0,0.0,0.0,0.0
2018-03-30 04:00:56,18.47,0.0,5.75,0.0,0.0,0.0,0.0
2018-03-30 05:00:56,11.15,0.0,5.42,0.0,0.0,0.0,0.0
2018-03-30 06:00:56,12.02,0.0,5.03,0.0,0.0,0.0,0.0
2018-03-30 07:00:56,10.15,0.0,5.32,0.0,0.0,0.0,0.0
2018-03-30 08:00:56,22.59,0.0,5.39,0.0,0.0,0.0,0.0
2018-03-30 09:00:56,27.2,0.0,5.6,0.0,0.0,0.0,0.0
2018-03-30 10:00:56,22.25,0.0,6.27,0.0,0.0,0.0,0.0
2018-03-30 11:00:56,26.38,0.0,6.57,0.0,0.0,0.0,0.0
2018-03-30 12:00:56,15.44,0.0,6.6,0.0,0.0,0.0,0.0
2018-03-30 13:00:56,21.73,0.0,4.8,0.0,0.0,0.0,0.0
2018-03-30 14:00:56,23.22,0.0,4.81,0.0,0.0,0.0,0.0
