Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,0.0,0.0,8.21,11.23,26.44
2022-03-23 17:00:56,0.0,0.0,7.6,8.77,28.94
2022-03-23 18:00:56,0.0,0.0,7.86,10.42,27.5
2022-03-23 19:00:56,0.0,0.0,8.82,9.51,25.21
2022-03-23 20:00:56,0.0,0.0,22.52,24.24,17.72
2022-03-23 21:00:56,0.0,0.0,39.06,41.82,13.45
2022-03-23 22:00:56,0.0,0.0,40.69,43.39,6.37
2022-03-23 23:00:56,0.0,0.0,57.42,61.17,4.82
2022-03-24 00:00:56,0.0,0.0,47.03,49.94,3.2
2022-03-24 01:00:56,0.0,0.0,57.17,61.84,6.15
2022-03-24 02:00:56,0.0,0.0,43.23,45.52,11.78
2022-03-24 03:00:56,0.0,0.0,38.09,40.16,13.66
2022-03-24 04:00:56,0.0,0.0,42.68,45.85,12.74
2022-03-24 05:00:56,0.0,0.0,44.09,48.96,13.39
2022-03-24 06:00:56,0.0,0.0,42.3,47.06,12.64
2022-03-24 07:00:56,0.0,0.0,38.4,43.34,10.22
2022-03-24 08:00:56,0.0,0.0,31.67,36.38,7.95
2022-03-24 09:00:56,0.0,0.0,22.72,26.54,7.58
2022-03-24 10:00:56,0.0,0.0,17.83,21.89,7.13
2022-03-24 11:00:56,0.0,0.0,15.03,19.11,10.84
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0
