Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,82.99,0.0,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,29.86,0.0,0.0,0.0,0.0,0.0
2018-03-29 02:00:56,29.52,0.0,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,7.03,0.0,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,10.71,0.0,0.0,0.0,0.0,0.0
2018-03-29 05:00:56,3.17,0.0,0.0,0.0,0.0,0.0
2018-03-29 06:00:56,12.78,0.0,0.0,0.0,0.0,0.0
2018-03-29 07:00:56,12.74,0.0,0.0,0.0,0.0,0.0
2018-03-29 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 09:00:56,2.33,0.0,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,13.48,0.0,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,24.37,0.0,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,13.16,0.0,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,7.2,0.0,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,51.81,0.0,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,108.28,0.0,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,83.44,0.0,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,47.13,0.0,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,13.21,0.0,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,17.86,0.0,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,19.4,0.0,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,5.41,0.0,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,9.13,0.0,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,20.92,0.0,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,12.54,0.0,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,24.73,0.0,0.0,0.0,0.0,0.0
