Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,70.2,16.34,8.0,394.18,25.22,28.85,0.0
2022-03-23 17:00:56,73.1,11.89,8.37,379.44,24.31,27.57,0.0
2022-03-23 18:00:56,64.17,9.32,9.16,421.85,22.16,25.03,0.0
2022-03-23 19:00:56,62.73,6.47,11.54,456.19,31.57,33.99,0.0
2022-03-23 20:00:56,87.96,6.56,21.46,848.16,40.38,46.56,0.0
2022-03-23 21:00:56,96.97,22.35,34.56,1088.79,54.26,59.55,0.0
2022-03-23 22:00:56,107.48,15.45,31.84,1112.89,42.82,47.25,0.0
2022-03-23 23:00:56,90.72,23.84,19.32,824.0,30.14,34.7,0.0
2022-03-24 00:00:56,67.85,22.0,17.25,808.78,28.67,32.01,0.0
2022-03-24 01:00:56,65.37,17.68,18.18,860.3,28.29,33.19,0.0
2022-03-24 02:00:56,61.6,20.9,13.41,671.94,20.04,24.41,0.0
2022-03-24 03:00:56,48.87,14.83,9.77,531.53,16.53,20.98,0.0
2022-03-24 04:00:56,34.55,9.04,8.85,506.83,14.97,18.85,0.0
2022-03-24 05:00:56,31.35,8.51,6.36,407.73,11.56,16.28,0.0
2022-03-24 06:00:56,29.97,6.78,6.33,349.75,13.2,18.21,0.0
2022-03-24 07:00:56,32.38,5.03,6.77,334.57,12.33,17.72,0.0
2022-03-24 08:00:56,29.27,4.16,8.61,384.84,21.28,26.84,0.0
2022-03-24 09:00:56,29.7,3.91,7.64,355.6,22.65,28.58,0.0
2022-03-24 10:00:56,25.6,4.16,7.66,302.58,13.45,18.12,0.0
2022-03-24 11:00:56,23.68,4.44,7.45,341.21,18.7,24.94,0.0
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
