Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,0.0,0.0,5.97,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,0.0,0.0,5.99,0.0,0.0,0.0,0.0
2018-03-29 02:00:56,0.0,0.0,5.79,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,0.0,0.0,5.82,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,0.0,0.0,5.87,0.0,0.0,0.0,0.0
2018-03-29 05:00:56,0.0,0.0,5.77,0.0,0.0,0.0,0.0
2018-03-29 06:00:56,0.0,0.0,5.79,0.0,0.0,0.0,0.0
2018-03-29 07:00:56,0.0,0.0,5.89,0.0,0.0,0.0,0.0
2018-03-29 08:00:56,0.0,0.0,6.02,0.0,0.0,0.0,0.0
2018-03-29 09:00:56,0.0,0.0,6.06,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,0.0,0.0,6.4,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,0.0,0.0,6.12,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,0.0,0.0,6.03,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,0.0,0.0,5.82,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,0.0,0.0,5.81,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,0.0,0.0,5.85,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,0.0,0.0,5.89,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,0.0,0.0,5.76,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,0.0,0.0,5.85,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,0.0,0.0,6.03,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,0.0,0.0,6.34,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,0.0,0.0,6.45,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,0.0,0.0,6.19,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,0.0,0.0,6.23,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,0.0,0.0,6.02,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,0.0,0.0,5.99,0.0,0.0,0.0,0.0
2018-03-30 02:00:56,0.0,0.0,5.95,0.0,0.0,0.0,0.0
2018-03-30 03:00:56,0.0,0.0,5.96,0.0,0.0,0.0,0.0
2018-03-30 04:00:56,0.0,0.0,5.75,0.0,0.0,0.0,0.0
2018-03-30 05:00:56,0.0,0.0,5.56,0.0,0.0,0.0,0.0
2018-03-30 06:00:56,0.0,0.0,5.58,0.0,0.0,0.0,0.0
2018-03-30 07:00:56,0.0,0.0,5.55,0.0,0.0,0.0,0.0
2018-03-30 08:00:56,0.0,0.0,5.78,0.0,0.0,0.0,0.0
2018-03-30 09:00:56,0.0,0.0,5.63,0.0,0.0,0.0,0.0
2018-03-30 10:00:56,0.0,0.0,5.51,0.0,0.0,0.0,0.0
