Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,24.11,10.03,29.82,13.52,19.93,55.43
2022-03-23 17:00:56,28.0,11.0,29.7,20.49,29.01,41.04
2022-03-23 18:00:56,28.28,11.12,30.02,26.09,36.22,34.67
2022-03-23 19:00:56,37.94,14.88,30.06,30.84,46.31,25.62
2022-03-23 20:00:56,36.06,11.12,30.27,30.16,50.63,26.81
2022-03-23 21:00:56,37.77,14.91,30.34,25.73,56.16,23.23
2022-03-23 22:00:56,29.91,12.09,30.08,22.36,32.45,29.73
2022-03-23 23:00:56,26.97,14.79,30.05,17.41,28.66,30.19
2022-03-24 00:00:56,26.16,8.0,30.58,32.95,70.95,14.04
2022-03-24 01:00:56,31.91,8.06,30.38,20.0,42.77,14.89
2022-03-24 02:00:56,29.06,9.97,30.71,24.6,62.41,6.85
2022-03-24 03:00:56,30.86,9.09,30.31,25.47,46.44,13.57
2022-03-24 04:00:56,25.78,11.89,30.04,15.06,29.86,21.76
2022-03-24 05:00:56,18.0,7.89,30.44,0.0,0.0,11.41
2022-03-24 06:00:56,17.94,4.14,30.54,15.28,48.44,0.0
2022-03-24 07:00:56,16.17,9.03,30.9,25.95,86.17,5.1
2022-03-24 08:00:56,22.45,10.26,33.01,29.95,220.23,4.91
2022-03-24 09:00:56,37.09,19.09,33.25,36.39,238.57,4.98
2022-03-24 10:00:56,40.28,21.83,31.99,28.8,181.98,4.88
2022-03-24 11:00:56,49.92,16.03,31.08,25.3,92.01,7.56
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
