Tarih,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,142.11,0.0,9.86,0.0,69.78,158.14,0.0
2019-03-06 01:00:56,122.55,0.0,6.35,0.0,48.63,139.12,0.0
2019-03-06 02:00:56,139.84,0.0,4.59,0.0,44.93,139.87,0.0
2019-03-06 03:00:56,141.26,0.0,4.63,0.0,40.96,107.58,0.0
2019-03-06 04:00:56,109.37,0.0,5.04,0.0,45.1,189.64,0.0
2019-03-06 05:00:56,105.47,0.0,4.47,0.0,49.59,208.37,0.0
2019-03-06 06:00:56,104.04,0.0,4.29,0.0,42.55,157.11,0.0
2019-03-06 07:00:56,103.23,0.0,3.53,0.0,44.58,170.71,0.0
2019-03-06 08:00:56,98.76,0.0,6.08,0.0,38.66,121.79,0.0
2019-03-06 09:00:56,97.73,0.0,5.31,0.0,40.96,217.61,0.0
2019-03-06 10:00:56,126.59,0.0,7.26,0.0,55.74,381.8,0.0
2019-03-06 11:00:56,166.19,0.0,7.62,0.0,48.09,261.63,0.0
2019-03-06 12:00:56,173.1,0.0,16.59,0.0,54.66,212.07,0.0
2019-03-06 13:00:56,179.18,0.0,23.68,0.0,59.73,183.52,0.0
2019-03-06 14:00:56,175.9,0.0,21.16,0.0,69.19,280.05,0.0
2019-03-06 15:00:56,181.45,0.0,14.96,0.0,65.42,268.42,0.0
2019-03-06 16:00:56,186.82,0.0,20.52,0.0,68.74,218.97,0.0
2019-03-06 17:00:56,161.17,0.0,24.3,0.0,59.85,142.12,0.0
2019-03-06 18:00:56,121.77,0.0,16.96,0.0,42.17,69.82,0.0
2019-03-06 19:00:56,109.17,0.0,19.25,0.0,52.73,93.68,0.0
2019-03-06 20:00:56,127.67,0.0,15.8,0.0,60.47,108.96,0.0
2019-03-06 21:00:56,126.56,0.0,10.05,0.0,57.38,133.45,0.0
2019-03-06 22:00:56,115.01,0.0,6.3,0.0,64.35,170.5,0.0
2019-03-06 23:00:56,82.45,0.0,5.11,0.0,45.85,89.73,0.0
2019-03-07 00:00:56,47.48,0.0,4.83,0.0,48.51,79.46,0.0
2019-03-07 01:00:56,31.46,0.0,3.43,0.0,43.23,68.63,0.0
2019-03-07 02:00:56,37.23,0.0,3.09,0.0,59.34,184.81,0.0
2019-03-07 03:00:56,39.28,0.0,2.47,0.0,52.47,211.07,0.0
2019-03-07 04:00:56,37.95,0.0,1.6,0.0,41.97,124.13,0.0
2019-03-07 05:00:56,40.66,0.0,1.4,0.0,37.65,172.28,0.0
2019-03-07 06:00:56,39.35,0.0,1.0,0.0,35.11,102.68,0.0
2019-03-07 07:00:56,37.85,0.0,0.9,0.0,35.43,109.31,0.0
2019-03-07 08:00:56,35.45,0.0,1.0,0.0,35.67,187.27,0.0
2019-03-07 09:00:56,34.96,0.0,0.05,0.0,45.69,138.41,0.0
2019-03-07 10:00:56,34.59,0.0,0.53,0.0,41.75,222.75,0.0
2019-03-07 11:00:56,38.35,0.0,3.33,0.0,31.92,99.24,0.0
2019-03-07 12:00:56,43.47,0.0,10.19,0.0,45.78,110.75,0.0
2019-03-07 13:00:56,48.43,0.0,0.0,0.0,30.69,0.0,0.0
2019-03-07 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-07 15:00:56,27.71,0.0,0.0,0.0,7.06,0.0,0.0
2019-03-07 16:00:56,29.87,0.0,1.93,0.0,10.43,23.41,0.0
2019-03-07 17:00:56,35.12,0.0,1.92,0.0,19.49,35.19,0.0
2019-03-07 18:00:56,37.84,0.0,1.71,0.0,18.91,32.81,0.0
2019-03-07 19:00:56,42.18,0.0,1.58,0.0,18.99,31.12,0.0
