Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,15.17,8.86,10.07,4.02,49.63
2018-03-29 01:00:56,19.05,8.41,12.82,6.68,47.44
2018-03-29 02:00:56,18.8,8.17,10.29,3.87,50.89
2018-03-29 03:00:56,16.14,7.18,7.59,0.95,53.07
2018-03-29 04:00:56,13.38,6.72,7.64,0.96,52.64
2018-03-29 05:00:56,16.25,6.15,7.37,0.7,51.99
2018-03-29 06:00:56,15.69,5.81,7.13,0.47,54.36
2018-03-29 07:00:56,16.44,5.14,6.02,0.66,56.96
2018-03-29 08:00:56,14.23,5.38,7.25,0.8,56.14
2018-03-29 09:00:56,11.04,4.5,13.58,8.27,51.29
2018-03-29 10:00:56,12.94,4.12,15.55,10.73,52.78
2018-03-29 11:00:56,13.9,4.04,15.03,16.11,49.9
2018-03-29 12:00:56,11.09,3.64,18.2,21.75,42.85
2018-03-29 13:00:56,7.96,3.79,23.24,28.01,35.34
2018-03-29 14:00:56,6.13,5.25,24.57,31.34,31.27
2018-03-29 15:00:56,4.73,4.89,20.43,24.96,36.66
2018-03-29 16:00:56,3.82,5.2,18.42,22.63,38.35
2018-03-29 17:00:56,3.44,5.66,18.14,21.14,39.88
2018-03-29 18:00:56,3.56,5.48,19.28,22.3,41.31
2018-03-29 19:00:56,3.73,5.66,22.96,26.71,38.89
2018-03-29 20:00:56,5.59,7.01,24.93,29.49,34.64
2018-03-29 21:00:56,6.36,5.87,23.55,27.26,34.26
2018-03-29 22:00:56,14.28,5.82,24.27,27.2,32.83
2018-03-29 23:00:56,15.44,6.88,24.04,26.91,31.34
2018-03-30 00:00:56,15.09,7.47,33.34,36.69,20.73
2018-03-30 01:00:56,17.64,7.17,44.51,58.44,9.83
2018-03-30 02:00:56,15.39,7.64,33.52,38.32,14.79
2018-03-30 03:00:56,19.25,6.43,27.26,30.12,18.07
2018-03-30 04:00:56,28.81,7.11,30.23,38.81,8.69
2018-03-30 05:00:56,26.98,6.09,32.34,76.28,5.42
2018-03-30 06:00:56,24.26,5.43,32.25,61.82,5.72
2018-03-30 07:00:56,21.97,4.77,28.39,78.7,5.48
2018-03-30 08:00:56,33.46,3.64,31.23,113.96,5.63
2018-03-30 09:00:56,40.55,4.49,42.37,227.92,5.73
2018-03-30 10:00:56,56.26,3.92,36.58,78.5,11.52
2018-03-30 11:00:56,57.34,3.51,15.75,21.85,36.91
2018-03-30 12:00:56,45.5,4.69,15.93,22.08,43.57
2018-03-30 13:00:56,39.72,7.5,15.12,21.32,50.46
2018-03-30 14:00:56,34.04,9.41,18.68,27.86,48.47
2018-03-30 15:00:56,26.99,7.26,10.27,14.03,64.88
2018-03-30 16:00:56,21.4,6.85,9.9,13.22,66.61
2018-03-30 17:00:56,16.04,11.25,14.99,20.19,60.08
2018-03-30 18:00:56,18.7,14.96,19.03,25.59,52.99
2018-03-30 19:00:56,24.84,12.32,20.9,26.12,52.94
2018-03-30 20:00:56,22.16,9.17,34.44,42.13,38.32
2018-03-30 21:00:56,27.18,11.49,56.4,74.26,13.22
2018-03-30 22:00:56,37.38,13.08,55.79,136.28,6.34
2018-03-30 23:00:56,54.85,15.32,49.38,124.92,6.7
2018-03-31 00:00:56,71.56,15.5,49.96,194.98,6.52
2018-03-31 01:00:56,89.2,14.68,44.98,202.5,6.33
2018-03-31 02:00:56,101.81,13.73,43.23,170.42,6.16
2018-03-31 03:00:56,103.73,14.05,48.03,228.3,6.1
2018-03-31 04:00:56,106.35,16.07,41.1,203.68,5.87
2018-03-31 05:00:56,93.42,16.51,40.85,178.65,5.77
2018-03-31 06:00:56,89.76,15.08,40.04,191.91,5.68
2018-03-31 07:00:56,94.17,12.57,37.58,202.13,5.7
2018-03-31 08:00:56,90.47,14.53,39.68,204.76,5.93
2018-03-31 09:00:56,84.3,16.96,48.05,241.74,5.79
2018-03-31 10:00:56,88.53,17.53,49.92,180.53,6.29
2018-03-31 11:00:56,74.08,18.0,36.67,58.9,19.33
2018-03-31 12:00:56,66.93,18.26,25.99,36.4,34.87
2018-03-31 13:00:56,53.06,16.84,17.26,29.13,45.99
