Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,25.31,8.26,0.0,0.0,8.29,13.71,80.51
2022-03-23 17:00:56,23.54,8.06,0.0,0.0,8.07,13.25,80.57
2022-03-23 18:00:56,27.2,9.12,0.0,0.0,8.04,13.11,81.91
2022-03-23 19:00:56,26.23,9.08,0.0,0.0,8.1,13.28,83.1
2022-03-23 20:00:56,25.98,8.82,0.0,0.0,7.87,13.16,84.02
2022-03-23 21:00:56,22.52,8.18,0.0,0.0,7.89,13.02,84.64
2022-03-23 22:00:56,25.46,9.32,0.0,0.0,8.38,12.83,86.9
2022-03-23 23:00:56,27.95,9.79,0.0,0.0,8.21,12.63,86.91
2022-03-24 00:00:56,25.23,7.59,0.0,0.0,7.83,12.46,81.56
2022-03-24 01:00:56,21.8,6.49,0.0,0.0,7.99,12.98,74.69
2022-03-24 02:00:56,21.55,7.28,0.0,0.0,7.98,13.17,84.2
2022-03-24 03:00:56,21.93,6.95,0.0,0.0,7.59,12.67,86.11
2022-03-24 04:00:56,23.39,5.66,0.0,0.0,7.84,12.47,81.84
2022-03-24 05:00:56,20.78,6.08,0.0,0.0,8.5,13.95,80.52
2022-03-24 06:00:56,15.83,6.32,0.0,0.0,7.89,13.55,79.8
2022-03-24 07:00:56,16.22,6.41,0.0,0.0,8.28,12.88,78.04
2022-03-24 08:00:56,18.87,6.9,0.0,0.0,8.78,14.09,77.11
2022-03-24 09:00:56,20.63,10.64,0.0,0.0,8.84,14.72,82.98
2022-03-24 10:00:56,23.5,11.11,0.0,0.0,11.07,18.89,86.88
2022-03-24 11:00:56,30.06,13.2,0.0,0.0,9.67,15.0,89.25
2022-03-24 12:00:56,31.84,13.22,0.0,0.0,9.2,14.82,87.67
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
