Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,14.47,0.0,2.41,0.0,11.27,12.34,73.77
2018-03-29 01:00:56,14.23,0.0,2.28,0.0,11.86,12.95,71.26
2018-03-29 02:00:56,13.28,0.0,2.82,0.0,9.71,9.84,71.14
2018-03-29 03:00:56,12.02,0.0,2.72,0.0,6.66,6.52,72.22
2018-03-29 04:00:56,8.13,0.0,2.78,0.0,8.88,8.73,69.63
2018-03-29 05:00:56,11.56,0.0,3.18,0.0,7.01,6.84,69.46
2018-03-29 06:00:56,10.38,0.0,2.77,0.0,5.1,4.8,76.26
2018-03-29 07:00:56,12.56,0.0,3.14,0.0,5.32,5.1,76.86
2018-03-29 08:00:56,11.93,0.0,3.49,0.0,4.29,4.26,81.41
2018-03-29 09:00:56,9.33,0.0,3.33,0.0,7.94,8.34,76.23
2018-03-29 10:00:56,8.69,0.0,3.34,0.0,13.98,14.19,67.49
2018-03-29 11:00:56,13.1,0.0,3.26,0.0,22.41,25.24,62.67
2018-03-29 12:00:56,18.45,0.0,2.87,0.0,17.78,19.74,63.77
2018-03-29 13:00:56,15.66,0.0,1.96,0.0,19.9,21.82,54.64
2018-03-29 14:00:56,13.52,0.0,2.39,0.0,21.56,25.44,62.37
2018-03-29 15:00:56,15.02,0.0,2.35,0.0,18.9,21.63,64.66
2018-03-29 16:00:56,14.58,0.0,2.58,0.0,15.03,17.19,73.9
2018-03-29 17:00:56,12.06,0.0,1.58,0.0,13.41,14.57,73.08
2018-03-29 18:00:56,19.39,0.0,1.68,0.0,17.82,19.81,69.7
2018-03-29 19:00:56,21.45,0.0,2.05,0.0,21.7,24.44,69.23
2018-03-29 20:00:56,31.93,0.0,1.19,0.0,21.2,22.14,71.57
2018-03-29 21:00:56,33.39,0.0,4.38,0.0,25.12,26.03,66.36
2018-03-29 22:00:56,50.6,0.0,3.92,0.0,18.93,19.69,74.31
2018-03-29 23:00:56,52.38,0.0,3.82,0.0,27.69,29.12,66.62
2018-03-30 00:00:56,48.98,0.0,1.92,0.0,21.59,22.13,66.26
2018-03-30 01:00:56,48.95,0.0,2.23,0.0,22.72,24.59,59.03
2018-03-30 02:00:56,52.58,0.0,1.55,0.0,11.71,11.93,69.74
2018-03-30 03:00:56,48.2,0.0,1.55,0.0,7.83,7.66,70.08
2018-03-30 04:00:56,48.87,0.0,1.51,0.0,14.52,14.51,55.1
2018-03-30 05:00:56,60.36,0.0,2.36,0.0,29.31,29.83,37.8
2018-03-30 06:00:56,65.25,0.0,1.35,0.0,34.67,35.53,27.74
2018-03-30 07:00:56,0.0,0.0,2.02,0.0,41.58,42.95,20.37
2018-03-30 08:00:56,0.0,0.0,1.44,0.0,47.42,62.69,9.3
2018-03-30 09:00:56,0.0,0.0,1.82,0.0,38.9,59.3,23.75
2018-03-30 10:00:56,0.0,0.0,2.2,0.0,28.56,36.76,37.48
2018-03-30 11:00:56,67.55,0.0,3.6,0.0,23.1,31.04,53.58
2018-03-30 12:00:56,52.58,0.0,4.29,0.0,20.81,29.9,64.67
2018-03-30 13:00:56,58.0,0.0,15.31,0.0,30.12,44.1,59.38
2018-03-30 14:00:56,77.71,0.0,24.78,0.0,42.39,66.72,54.6
2018-03-30 15:00:56,67.32,0.0,9.05,0.0,16.29,21.29,83.81
2018-03-30 16:00:56,40.62,0.0,3.39,0.0,21.11,28.21,94.02
2018-03-30 17:00:56,37.57,0.0,0.63,0.0,23.3,28.23,98.4
2018-03-30 18:00:56,32.65,0.0,4.6,0.0,35.81,43.83,82.96
2018-03-30 19:00:56,41.41,0.0,4.72,0.0,47.0,56.42,72.78
2018-03-30 20:00:56,73.77,0.0,1.2,0.0,42.3,47.1,76.6
2018-03-30 21:00:56,63.27,0.0,1.73,0.0,63.94,67.15,55.09
2018-03-30 22:00:56,54.48,0.0,1.16,0.0,82.73,94.61,20.6
2018-03-30 23:00:56,93.5,0.0,0.88,0.0,90.49,172.04,4.15
2018-03-31 00:00:56,132.26,0.0,1.07,0.0,87.24,279.4,4.69
2018-03-31 01:00:56,157.88,0.0,0.66,0.0,73.67,150.51,3.81
2018-03-31 02:00:56,90.83,0.0,0.89,0.0,65.02,145.02,3.04
2018-03-31 03:00:56,92.25,0.0,0.73,0.0,67.21,152.37,3.29
2018-03-31 04:00:56,93.49,0.0,0.69,0.0,61.99,146.59,2.7
2018-03-31 05:00:56,82.72,0.0,0.62,0.0,60.45,152.25,3.12
2018-03-31 06:00:56,85.26,0.0,0.0,0.0,59.93,120.66,3.01
2018-03-31 07:00:56,67.87,0.0,0.0,0.0,58.57,119.21,3.07
2018-03-31 08:00:56,79.2,0.0,0.57,0.0,52.51,112.48,2.91
2018-03-31 09:00:56,71.52,0.0,0.79,0.0,51.23,127.14,4.8
2018-03-31 10:00:56,74.83,0.0,5.34,0.0,56.07,125.16,10.41
2018-03-31 11:00:56,90.75,0.0,12.45,0.0,69.94,182.76,11.38
2018-03-31 12:00:56,118.29,0.0,13.25,0.0,64.61,106.39,38.85
2018-03-31 13:00:56,85.66,0.0,3.85,0.0,46.25,62.41,69.77
