Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2021-04-21 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
