Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,23.2,12.67,805.19,29.21,37.76
2022-03-23 17:00:56,27.88,12.78,828.58,34.62,45.02
2022-03-23 18:00:56,24.76,11.32,842.56,42.9,55.71
2022-03-23 19:00:56,19.0,12.32,799.51,44.98,57.57
2022-03-23 20:00:56,19.2,12.99,847.11,57.14,75.77
2022-03-23 21:00:56,23.76,10.76,909.65,55.47,69.19
2022-03-23 22:00:56,17.87,9.43,1162.1,63.91,77.73
2022-03-23 23:00:56,15.6,10.19,881.14,54.92,63.42
2022-03-24 00:00:56,29.57,11.64,735.76,50.78,59.22
2022-03-24 01:00:56,18.65,11.68,687.43,36.9,42.57
2022-03-24 02:00:56,11.04,11.65,648.54,27.92,32.44
2022-03-24 03:00:56,12.04,11.53,633.06,24.24,28.06
2022-03-24 04:00:56,13.0,11.49,666.16,25.88,29.25
2022-03-24 05:00:56,12.92,10.98,629.06,23.12,26.25
2022-03-24 06:00:56,10.92,10.67,618.93,20.96,23.72
2022-03-24 07:00:56,8.96,11.12,685.31,33.79,38.48
2022-03-24 08:00:56,8.51,11.92,802.01,56.38,80.59
2022-03-24 09:00:56,21.27,12.48,781.17,50.08,74.46
2022-03-24 10:00:56,27.6,12.44,736.43,37.23,53.51
2022-03-24 11:00:56,17.71,13.07,685.88,28.94,41.36
2022-03-24 12:00:56,11.16,13.78,669.66,26.76,38.11
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
