Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,27.2,0.0,0.0,277.03,25.1,29.01,58.82
2022-03-23 17:00:56,23.4,0.0,0.0,264.93,21.24,25.03,58.61
2022-03-23 18:00:56,29.1,0.0,0.0,253.95,18.46,22.15,58.83
2022-03-23 19:00:56,32.7,0.0,0.0,237.83,17.92,20.58,58.99
2022-03-23 20:00:56,27.8,0.0,0.0,401.19,31.55,35.55,58.4
2022-03-23 21:00:56,26.1,0.0,0.0,546.27,36.19,39.47,58.47
2022-03-23 22:00:56,42.5,0.0,0.0,378.02,27.12,29.31,58.26
2022-03-23 23:00:56,35.6,0.0,0.0,582.68,36.71,40.8,58.09
2022-03-24 00:00:56,35.0,0.0,0.0,267.87,20.54,22.36,58.53
2022-03-24 01:00:56,25.5,0.0,0.0,297.92,18.5,20.03,58.51
2022-03-24 02:00:56,28.8,0.0,0.0,223.26,11.71,12.61,58.54
2022-03-24 03:00:56,21.5,0.0,0.0,183.07,6.87,7.45,58.57
2022-03-24 04:00:56,16.0,0.0,0.0,214.84,7.79,8.36,58.32
2022-03-24 05:00:56,13.6,0.0,0.0,286.92,10.05,10.82,58.41
2022-03-24 06:00:56,11.6,0.0,0.0,206.51,8.38,9.18,58.65
2022-03-24 07:00:56,10.9,0.0,0.0,228.69,9.35,10.51,58.63
2022-03-24 08:00:56,18.5,0.0,0.0,447.92,44.35,57.25,57.97
2022-03-24 09:00:56,27.2,0.0,0.0,372.47,29.33,36.56,58.28
2022-03-24 10:00:56,30.3,0.0,0.0,241.0,14.97,18.45,58.73
2022-03-24 11:00:56,25.9,0.0,0.0,248.26,11.67,14.38,0.0
2022-03-24 12:00:56,23.3,0.0,0.0,241.79,10.54,13.08,70.22
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
