Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2020-01-01 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 01:00:56,0.0,0.0,0.0,0.0,70.33,121.12,0.0
2020-01-01 02:00:56,0.0,20.06,11.88,0.0,126.98,256.95,0.0
2020-01-01 03:00:56,0.0,27.41,10.04,0.0,97.52,183.27,0.0
2020-01-01 04:00:56,0.0,31.02,10.89,0.0,47.62,66.67,0.0
2020-01-01 05:00:56,35.19,33.09,7.45,0.0,34.78,46.28,0.0
2020-01-01 06:00:56,28.1,28.05,9.31,0.0,32.36,44.33,0.0
2020-01-01 07:00:56,24.73,20.33,10.77,0.0,45.3,67.25,0.0
2020-01-01 08:00:56,16.01,14.8,15.1,0.0,28.01,34.69,0.0
2020-01-01 09:00:56,17.07,13.9,20.36,0.0,35.73,50.82,0.0
2020-01-01 10:00:56,16.01,12.39,10.2,0.0,55.83,94.97,0.0
2020-01-01 11:00:56,12.29,9.36,16.86,0.0,51.37,74.55,0.0
2020-01-01 12:00:56,12.22,10.68,18.43,0.0,48.81,82.72,0.0
2020-01-01 13:00:56,10.96,10.29,13.33,0.0,47.88,77.66,0.0
2020-01-01 14:00:56,9.64,7.86,13.51,0.0,51.29,89.05,0.0
2020-01-01 15:00:56,7.99,6.44,8.91,0.0,51.08,85.25,0.0
2020-01-01 16:00:56,9.02,4.85,6.66,0.0,69.12,136.81,0.0
2020-01-01 17:00:56,37.3,3.39,5.71,0.0,98.19,171.48,0.0
2020-01-01 18:00:56,40.06,2.84,9.65,0.0,88.9,153.44,0.0
2020-01-01 19:00:56,32.95,2.35,7.08,0.0,91.34,154.74,0.0
2020-01-01 20:00:56,23.77,3.41,7.81,0.0,63.09,102.62,0.0
2020-01-01 21:00:56,21.12,4.03,7.51,0.0,57.79,91.93,0.0
2020-01-01 22:00:56,16.23,3.03,6.68,0.0,59.06,101.46,0.0
2020-01-01 23:00:56,15.06,2.47,8.88,0.0,49.36,79.21,0.0
2020-01-02 00:00:56,12.57,2.06,9.53,0.0,45.4,66.47,0.0
2020-01-02 01:00:56,19.12,1.48,8.64,0.0,36.33,54.4,0.0
2020-01-02 02:00:56,16.18,1.72,7.53,0.0,28.57,38.41,0.0
2020-01-02 03:00:56,15.3,2.34,7.37,0.0,19.0,26.15,0.0
2020-01-02 04:00:56,14.6,2.13,5.87,0.0,14.82,20.29,0.0
2020-01-02 05:00:56,10.26,1.57,5.8,0.0,12.18,15.6,0.0
2020-01-02 06:00:56,16.83,1.82,5.68,0.0,12.64,17.09,0.0
2020-01-02 07:00:56,11.78,1.79,5.34,0.0,12.19,14.58,0.0
2020-01-02 08:00:56,11.19,2.68,5.42,0.0,14.08,17.27,0.0
2020-01-02 09:00:56,20.79,3.02,5.68,0.0,26.9,35.18,0.0
2020-01-02 10:00:56,14.72,2.13,5.88,0.0,34.37,50.07,0.0
2020-01-02 11:00:56,13.79,1.7,6.76,0.0,52.2,85.46,0.0
2020-01-02 12:00:56,12.59,4.35,8.6,0.0,62.34,108.33,0.0
2020-01-02 13:00:56,14.93,5.4,14.8,0.0,68.0,120.18,0.0
2020-01-02 14:00:56,18.68,4.44,10.71,0.0,56.9,111.79,0.0
2020-01-02 15:00:56,15.48,6.37,9.68,0.0,57.47,102.46,0.0
2020-01-02 16:00:56,11.6,6.74,11.48,0.0,84.79,154.66,0.0
2020-01-02 17:00:56,19.51,5.08,13.21,0.0,94.86,175.5,0.0
2020-01-02 18:00:56,19.95,3.88,12.19,0.0,127.76,227.9,0.0
2020-01-02 19:00:56,22.09,2.8,17.38,0.0,133.36,239.99,0.0
2020-01-02 20:00:56,19.43,4.94,11.39,0.0,136.59,254.99,0.0
2020-01-02 21:00:56,14.77,8.24,10.43,0.0,79.39,128.08,0.0
2020-01-02 22:00:56,18.48,7.69,11.8,0.0,66.18,111.83,0.0
2020-01-02 23:00:56,15.04,5.77,9.64,0.0,71.24,121.21,0.0
2020-01-03 00:00:56,27.06,6.21,34.41,0.0,131.57,221.72,0.0
2020-01-03 01:00:56,23.84,5.8,43.95,0.0,125.62,193.41,0.0
2020-01-03 02:00:56,19.26,5.86,19.88,0.0,81.25,119.2,0.0
2020-01-03 03:00:56,15.45,8.77,47.58,0.0,57.87,83.19,0.0
2020-01-03 04:00:56,12.63,8.96,48.13,0.0,82.68,109.84,0.0
2020-01-03 05:00:56,9.59,11.02,23.52,0.0,35.02,41.63,0.0
2020-01-03 06:00:56,8.74,12.94,12.27,0.0,23.68,28.65,0.0
2020-01-03 07:00:56,11.39,10.6,9.36,0.0,28.07,35.37,0.0
2020-01-03 08:00:56,8.13,7.69,8.41,0.0,26.89,34.68,0.0
2020-01-03 09:00:56,9.54,6.3,8.67,0.0,77.64,134.86,0.0
2020-01-03 10:00:56,10.92,4.95,41.91,0.0,140.65,262.02,0.0
2020-01-03 11:00:56,12.78,9.16,24.03,0.0,84.84,137.43,0.0
2020-01-03 12:00:56,14.96,14.86,33.15,0.0,81.71,130.18,0.0
2020-01-03 13:00:56,14.94,13.72,63.58,0.0,95.16,158.22,0.0
2020-01-03 14:00:56,18.15,14.52,45.14,0.0,77.93,137.64,0.0
2020-01-03 15:00:56,17.74,16.83,26.56,0.0,77.86,131.47,0.0
2020-01-03 16:00:56,18.18,14.47,26.68,0.0,105.9,182.43,0.0
2020-01-03 17:00:56,15.03,10.45,12.33,0.0,97.7,172.22,0.0
2020-01-03 18:00:56,14.89,12.39,11.83,0.0,108.14,207.69,0.0
2020-01-03 19:00:56,19.07,12.65,12.42,0.0,135.56,241.94,0.0
2020-01-03 20:00:56,22.8,8.86,14.08,0.0,165.49,288.4,0.0
2020-01-03 21:00:56,26.37,6.2,12.04,0.0,95.98,154.6,0.0
2020-01-03 22:00:56,18.53,4.34,12.09,0.0,119.99,202.64,0.0
2020-01-03 23:00:56,42.19,4.69,14.18,0.0,213.01,430.3,0.0
2020-01-04 00:00:56,33.98,17.88,17.02,0.0,200.54,388.24,0.0
2020-01-04 01:00:56,33.25,26.38,17.08,0.0,204.97,422.26,0.0
2020-01-04 02:00:56,40.79,32.82,11.02,0.0,172.66,350.43,0.0
2020-01-04 03:00:56,37.41,40.76,12.47,0.0,122.38,236.63,0.0
