Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,0.0,0.0,8.63,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,0.0,0.0,6.02,0.0,0.0,0.0,0.0
2018-03-29 02:00:56,0.0,0.0,5.06,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,0.0,0.0,4.99,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,0.0,0.0,3.72,0.0,0.0,0.0,0.0
2018-03-29 05:00:56,0.0,0.0,3.86,0.0,0.0,0.0,0.0
2018-03-29 06:00:56,0.0,0.0,3.81,0.0,0.0,0.0,0.0
2018-03-29 07:00:56,0.0,0.0,4.89,0.0,0.0,0.0,0.0
2018-03-29 08:00:56,0.0,0.0,5.4,0.0,0.0,0.0,0.0
2018-03-29 09:00:56,0.0,0.0,4.79,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,0.0,0.0,5.45,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,0.0,0.0,6.02,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,0.0,0.0,7.04,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,0.0,0.0,6.57,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,0.0,0.0,5.16,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,0.0,0.0,5.32,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,0.0,0.0,6.99,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,0.0,0.0,10.34,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,0.0,0.0,13.32,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,0.0,0.0,14.31,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,0.0,0.0,13.15,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,0.0,0.0,12.18,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,0.0,0.0,14.67,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,0.0,0.0,12.36,0.0,0.0,0.0,0.0
