Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,18.7,0.0,2.58,0.0,2.32,2.4,96.51
2018-03-29 01:00:56,14.66,0.0,2.28,0.0,2.81,3.31,95.38
2018-03-29 02:00:56,17.19,0.0,1.16,0.0,1.4,2.69,94.46
2018-03-29 03:00:56,18.85,0.0,2.09,0.0,2.01,0.39,92.01
2018-03-29 04:00:56,19.03,0.0,1.32,0.0,1.89,2.92,90.31
2018-03-29 05:00:56,22.08,0.0,1.24,0.0,0.79,0.91,88.11
2018-03-29 06:00:56,25.72,0.0,0.99,0.0,1.22,2.12,86.93
2018-03-29 07:00:56,28.23,0.0,1.44,0.0,1.72,1.24,84.8
2018-03-29 08:00:56,28.45,0.0,1.57,0.0,1.04,1.21,82.46
2018-03-29 09:00:56,35.93,0.0,0.97,0.0,1.31,1.97,80.61
2018-03-29 10:00:56,43.75,0.0,1.51,0.0,1.76,0.92,81.4
2018-03-29 11:00:56,44.86,0.0,1.51,0.0,2.46,2.25,83.26
2018-03-29 12:00:56,43.87,0.0,1.31,0.0,0.71,2.22,86.46
2018-03-29 13:00:56,44.88,0.0,1.48,0.0,1.8,1.51,90.16
2018-03-29 14:00:56,61.13,0.0,1.24,0.0,1.67,1.41,97.44
2018-03-29 15:00:56,63.96,0.0,0.93,0.0,2.53,0.65,105.28
2018-03-29 16:00:56,55.36,0.0,0.55,0.0,1.35,0.2,107.86
2018-03-29 17:00:56,48.65,0.0,0.57,0.0,2.52,0.5,111.3
2018-03-29 18:00:56,52.47,0.0,0.94,0.0,2.0,0.39,109.29
2018-03-29 19:00:56,56.89,0.0,1.24,0.0,1.02,0.33,101.88
2018-03-29 20:00:56,49.68,0.0,0.51,0.0,1.93,0.0,99.68
2018-03-29 21:00:56,43.03,0.0,0.18,0.0,1.11,0.0,98.39
2018-03-29 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,0.0,0.0,0.51,0.0,3.69,4.89,91.35
2018-03-30 00:00:56,0.0,0.0,1.86,0.0,1.3,0.51,80.04
2018-03-30 01:00:56,0.0,0.0,1.84,0.0,1.84,0.24,80.4
2018-03-30 02:00:56,0.0,0.0,1.31,0.0,1.94,0.18,85.28
2018-03-30 03:00:56,0.0,0.0,1.61,0.0,1.29,1.14,87.55
2018-03-30 04:00:56,0.0,0.0,1.21,0.0,0.79,4.05,88.63
2018-03-30 05:00:56,0.0,0.0,0.85,0.0,1.87,0.13,91.57
2018-03-30 06:00:56,0.0,0.0,0.79,0.0,0.59,1.7,67.45
2018-03-30 07:00:56,0.0,0.0,0.81,0.0,0.77,3.65,62.94
2018-03-30 08:00:56,0.0,0.0,1.59,0.0,1.03,0.67,72.26
2018-03-30 09:00:56,0.0,0.0,1.26,0.0,4.69,3.5,66.6
2018-03-30 10:00:56,0.0,0.0,1.66,0.0,1.79,3.7,70.44
2018-03-30 11:00:56,0.0,0.0,2.9,0.0,1.06,4.54,77.44
2018-03-30 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,81.09
2018-03-30 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 15:00:56,0.0,0.0,0.0,0.0,0.0,7.75,0.0
2018-03-30 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 18:00:56,0.0,0.0,3.73,0.0,1.01,1.55,104.82
2018-03-30 19:00:56,0.0,0.0,5.45,0.0,1.41,2.33,104.26
2018-03-30 20:00:56,0.0,0.0,5.4,0.0,2.8,2.57,106.49
2018-03-30 21:00:56,0.0,0.0,6.29,0.0,3.4,0.0,102.76
2018-03-30 22:00:56,0.0,0.0,6.9,0.0,4.27,5.32,98.88
2018-03-30 23:00:56,0.0,0.0,6.17,0.0,2.31,3.64,99.84
2018-03-31 00:00:56,0.0,0.0,6.9,0.0,3.34,5.75,92.62
2018-03-31 01:00:56,0.0,0.0,8.67,0.0,4.68,5.73,85.98
2018-03-31 02:00:56,0.0,0.0,7.81,0.0,7.11,6.88,79.34
2018-03-31 03:00:56,0.0,0.0,5.46,0.0,4.97,4.1,79.6
2018-03-31 04:00:56,0.0,0.0,4.29,0.0,4.72,5.27,79.03
2018-03-31 05:00:56,0.0,0.0,4.77,0.0,2.54,1.36,95.71
2018-03-31 06:00:56,0.0,0.0,4.29,0.0,2.87,3.3,86.58
2018-03-31 07:00:56,0.0,0.0,4.13,0.0,2.68,2.86,82.45
2018-03-31 08:00:56,0.0,0.0,5.09,0.0,3.01,2.3,78.4
2018-03-31 09:00:56,0.0,0.0,4.97,0.0,3.25,2.04,77.96
2018-03-31 10:00:56,0.0,0.0,7.51,0.0,3.28,4.88,87.18
2018-03-31 11:00:56,0.0,0.0,0.0,0.0,5.33,0.0,79.05
2018-03-31 12:00:56,0.0,0.0,9.46,0.0,3.96,4.78,97.31
2018-03-31 13:00:56,0.0,0.0,6.14,0.0,2.35,2.35,108.09
2018-03-31 14:00:56,0.0,0.0,6.35,0.0,1.96,1.99,109.66
2018-03-31 15:00:56,0.0,0.0,5.35,0.0,1.73,1.09,109.32
2018-03-31 16:00:56,0.0,0.0,6.78,0.0,1.38,3.33,103.26
2018-03-31 17:00:56,0.0,0.0,7.77,0.0,3.08,4.79,100.67
2018-03-31 18:00:56,0.0,0.0,6.84,0.0,2.16,3.8,102.14
2018-03-31 19:00:56,0.0,0.0,5.33,0.0,2.46,4.23,112.11
2018-03-31 20:00:56,0.0,0.0,5.06,0.0,3.52,4.09,110.38
2018-03-31 21:00:56,0.0,0.0,4.21,0.0,0.52,0.59,114.61
2018-03-31 22:00:56,0.0,0.0,4.53,0.0,2.59,0.0,108.66
2018-03-31 23:00:56,0.0,0.0,4.25,0.0,0.6,1.58,112.09
2018-04-01 00:00:56,0.0,0.0,4.34,0.0,0.0,1.13,113.89
2018-04-01 01:00:56,0.0,0.0,5.18,0.0,3.79,3.21,109.93
2018-04-01 02:00:56,0.0,0.0,4.64,0.0,5.01,2.74,105.78
2018-04-01 03:00:56,0.0,0.0,5.39,0.0,2.91,2.28,107.78
2018-04-01 04:00:56,0.0,0.0,7.57,0.0,4.16,3.23,100.33
2018-04-01 05:00:56,0.0,0.0,9.44,0.0,2.74,1.16,95.71
2018-04-01 06:00:56,0.0,0.0,14.32,0.0,5.35,5.95,88.92
2018-04-01 07:00:56,0.0,0.0,15.42,0.0,5.36,5.6,89.48
2018-04-01 08:00:56,0.0,0.0,20.93,0.0,1.46,3.0,96.8
2018-04-01 09:00:56,0.0,0.0,9.46,0.0,2.89,1.03,86.25
2018-04-01 10:00:56,0.0,0.0,8.14,0.0,2.79,3.74,72.16
2018-04-01 11:00:56,0.0,0.0,7.09,0.0,0.62,1.54,88.89
2018-04-01 12:00:56,0.0,0.0,8.91,0.0,1.63,1.38,92.34
2018-04-01 13:00:56,0.0,0.0,8.33,0.0,0.93,0.03,95.26
2018-04-01 14:00:56,0.0,0.0,7.8,0.0,0.64,0.16,91.95
2018-04-01 15:00:56,0.0,0.0,5.97,0.0,0.0,0.11,85.26
2018-04-01 16:00:56,0.0,0.0,7.91,0.0,8.73,15.07,90.83
2018-04-01 17:00:56,0.0,0.0,5.36,0.0,0.52,0.3,90.65
2018-04-01 18:00:56,0.0,0.0,5.42,0.0,1.37,2.41,92.15
2018-04-01 19:00:56,0.0,0.0,4.52,0.0,1.61,1.68,92.77
2018-04-01 20:00:56,0.0,0.0,5.0,0.0,1.49,1.79,99.05
2018-04-01 21:00:56,0.0,0.0,4.94,0.0,1.95,1.92,102.94
2018-04-01 22:00:56,0.0,0.0,4.62,0.0,2.64,0.05,98.38
2018-04-01 23:00:56,0.0,0.0,4.6,0.0,4.2,0.0,90.75
2018-04-02 00:00:56,0.0,0.0,4.04,0.0,1.75,2.13,90.49
2018-04-02 01:00:56,0.0,0.0,3.8,0.0,2.1,1.24,89.11
2018-04-02 02:00:56,0.0,0.0,4.01,0.0,2.69,0.53,87.51
2018-04-02 03:00:56,0.0,0.0,3.64,0.0,5.47,3.23,85.09
2018-04-02 04:00:56,0.0,0.0,3.34,0.0,2.24,1.39,80.98
2018-04-02 05:00:56,0.0,0.0,3.16,0.0,1.28,2.12,73.16
2018-04-02 06:00:56,0.0,0.0,2.85,0.0,1.9,1.51,55.57
2018-04-02 07:00:56,0.0,0.0,3.05,0.0,1.87,0.73,72.29
2018-04-02 08:00:56,0.0,0.0,3.41,0.0,1.22,1.44,75.31
2018-04-02 09:00:56,0.0,0.0,3.38,0.0,2.25,0.22,73.23
2018-04-02 10:00:56,0.0,0.0,5.01,0.0,3.4,0.35,70.97
2018-04-02 11:00:56,0.0,0.0,5.18,0.0,2.93,1.0,77.56
2018-04-02 12:00:56,18.9,0.0,3.72,0.0,2.22,3.57,88.94
2018-04-02 13:00:56,10.69,0.0,3.33,0.0,0.56,2.79,91.35
2018-04-02 14:00:56,9.88,0.0,3.24,0.0,1.91,2.02,94.64
2018-04-02 15:00:56,13.3,0.0,3.0,0.0,1.2,2.6,96.49
2018-04-02 16:00:56,15.06,0.0,2.89,0.0,1.38,1.36,98.7
