Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,0.0,0.0,10.72,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,0.0,0.0,8.18,0.0,0.0,0.0,0.0
2018-03-29 02:00:56,0.0,0.0,7.99,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,0.0,0.0,8.59,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,0.0,0.0,7.22,0.0,0.0,0.0,0.0
2018-03-29 05:00:56,0.0,0.0,7.61,0.0,0.0,0.0,0.0
2018-03-29 06:00:56,0.0,0.0,7.63,0.0,0.0,0.0,0.0
2018-03-29 07:00:56,0.0,0.0,9.83,0.0,0.0,0.0,0.0
2018-03-29 08:00:56,0.0,0.0,9.02,0.0,0.0,0.0,0.0
2018-03-29 09:00:56,0.0,0.0,9.41,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,0.0,0.0,9.77,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,0.0,0.0,9.8,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,0.0,0.0,8.65,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,0.0,0.0,11.16,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,0.0,0.0,9.97,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,0.0,0.0,9.38,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,0.0,0.0,9.64,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,0.0,0.0,9.4,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,0.0,0.0,10.67,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,0.0,0.0,13.63,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,0.0,0.0,13.83,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,0.0,0.0,15.9,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,0.0,0.0,13.95,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,0.0,0.0,12.57,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,0.0,0.0,11.06,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,0.0,0.0,11.21,0.0,0.0,0.0,0.0
2018-03-30 02:00:56,0.0,0.0,9.14,0.0,0.0,0.0,0.0
2018-03-30 03:00:56,0.0,0.0,8.63,0.0,0.0,0.0,0.0
2018-03-30 04:00:56,0.0,0.0,7.93,0.0,0.0,0.0,0.0
2018-03-30 05:00:56,0.0,0.0,8.4,0.0,0.0,0.0,0.0
2018-03-30 06:00:56,0.0,0.0,8.43,0.0,0.0,0.0,0.0
2018-03-30 07:00:56,0.0,0.0,7.43,0.0,0.0,0.0,0.0
2018-03-30 08:00:56,0.0,0.0,9.93,0.0,0.0,0.0,0.0
2018-03-30 09:00:56,0.0,0.0,9.52,0.0,0.0,0.0,0.0
2018-03-30 10:00:56,0.0,0.0,10.32,0.0,0.0,0.0,0.0
2018-03-30 11:00:56,0.0,0.0,8.85,0.0,0.0,0.0,0.0
2018-03-30 12:00:56,0.0,0.0,11.37,0.0,0.0,0.0,0.0
2018-03-30 13:00:56,0.0,0.0,9.81,0.0,0.0,0.0,0.0
2018-03-30 14:00:56,0.0,0.0,7.25,0.0,0.0,0.0,0.0
2018-03-30 15:00:56,0.0,0.0,5.94,0.0,0.0,0.0,0.0
2018-03-30 16:00:56,0.0,0.0,6.07,0.0,0.0,0.0,0.0
2018-03-30 17:00:56,0.0,0.0,5.98,0.0,0.0,0.0,0.0
2018-03-30 18:00:56,0.0,0.0,7.52,0.0,0.0,0.0,0.0
2018-03-30 19:00:56,0.0,0.0,8.39,0.0,0.0,0.0,0.0
2018-03-30 20:00:56,0.0,0.0,9.3,0.0,0.0,0.0,0.0
2018-03-30 21:00:56,0.0,0.0,9.99,0.0,0.0,0.0,0.0
2018-03-30 22:00:56,0.0,0.0,11.4,0.0,0.0,0.0,0.0
2018-03-30 23:00:56,0.0,0.0,19.04,0.0,0.0,0.0,0.0
2018-03-31 00:00:56,0.0,0.0,23.99,0.0,0.0,0.0,0.0
2018-03-31 01:00:56,0.0,0.0,43.66,0.0,0.0,0.0,0.0
2018-03-31 02:00:56,0.0,0.0,39.92,0.0,0.0,0.0,0.0
2018-03-31 03:00:56,0.0,0.0,32.45,0.0,0.0,0.0,0.0
2018-03-31 04:00:56,0.0,0.0,25.86,0.0,0.0,0.0,0.0
2018-03-31 05:00:56,0.0,0.0,18.38,0.0,0.0,0.0,0.0
2018-03-31 06:00:56,0.0,0.0,14.67,0.0,0.0,0.0,0.0
2018-03-31 07:00:56,0.0,0.0,11.24,0.0,0.0,0.0,0.0
2018-03-31 08:00:56,0.0,0.0,15.88,0.0,0.0,0.0,0.0
2018-03-31 09:00:56,0.0,0.0,14.2,0.0,0.0,0.0,0.0
2018-03-31 10:00:56,0.0,0.0,13.97,0.0,0.0,0.0,0.0
2018-03-31 11:00:56,0.0,0.0,11.95,0.0,0.0,0.0,0.0
2018-03-31 12:00:56,0.0,0.0,10.58,0.0,0.0,0.0,0.0
2018-03-31 13:00:56,0.0,0.0,8.1,0.0,0.0,0.0,0.0
2018-03-31 14:00:56,0.0,0.0,8.26,0.0,0.0,0.0,0.0
2018-03-31 15:00:56,0.0,0.0,6.67,0.0,0.0,0.0,0.0
2018-03-31 16:00:56,0.0,0.0,6.38,0.0,0.0,0.0,0.0
2018-03-31 17:00:56,0.0,0.0,6.06,0.0,0.0,0.0,0.0
2018-03-31 18:00:56,0.0,0.0,5.92,0.0,0.0,0.0,0.0
2018-03-31 19:00:56,0.0,0.0,7.03,0.0,0.0,0.0,0.0
2018-03-31 20:00:56,0.0,0.0,9.58,0.0,0.0,0.0,0.0
2018-03-31 21:00:56,0.0,0.0,15.24,0.0,0.0,0.0,0.0
