Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,45.74,19.15,14.93,297.09,13.18,13.78,50.86
2022-03-23 17:00:56,37.43,15.9,15.08,302.92,16.52,17.21,53.76
2022-03-23 18:00:56,39.29,12.09,13.5,268.1,21.06,25.0,52.9
2022-03-23 19:00:56,35.43,15.32,13.12,291.96,24.77,25.11,52.97
2022-03-23 20:00:56,31.33,14.91,12.99,317.72,31.0,31.77,51.95
2022-03-23 21:00:56,52.83,10.44,13.81,404.5,41.73,42.72,49.1
2022-03-23 22:00:56,44.85,7.31,14.67,546.86,57.18,58.78,40.19
2022-03-23 23:00:56,35.4,13.6,14.77,537.75,41.08,42.41,42.17
2022-03-24 00:00:56,30.71,15.2,14.88,618.45,36.18,37.3,34.17
2022-03-24 01:00:56,31.33,10.64,13.96,492.79,27.01,28.52,41.45
2022-03-24 02:00:56,27.35,7.87,13.39,469.38,24.06,25.62,42.55
2022-03-24 03:00:56,27.85,6.06,12.89,474.0,23.41,24.97,43.92
2022-03-24 04:00:56,24.72,4.52,13.0,463.43,23.77,25.59,44.56
2022-03-24 05:00:56,29.43,3.34,12.76,492.81,27.63,36.16,39.81
2022-03-24 06:00:56,38.76,2.41,12.61,519.47,27.48,30.11,39.32
2022-03-24 07:00:56,33.42,2.13,12.58,501.51,27.47,30.12,38.81
2022-03-24 08:00:56,34.14,9.32,12.61,587.31,34.48,41.89,35.82
2022-03-24 09:00:56,35.31,13.7,12.85,566.86,33.86,41.57,37.27
2022-03-24 10:00:56,41.79,13.63,13.04,542.29,20.85,26.78,34.94
2022-03-24 11:00:56,48.65,20.1,13.82,543.57,18.21,24.34,40.28
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
