Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,100.04,2.95
2018-03-29 01:00:56,56.1,4.44
2018-03-29 02:00:56,61.82,4.43
2018-03-29 03:00:56,57.13,3.92
2018-03-29 04:00:56,38.49,3.95
2018-03-29 05:00:56,28.25,3.17
2018-03-29 06:00:56,24.1,3.17
2018-03-29 07:00:56,27.9,3.24
2018-03-29 08:00:56,24.1,3.21
2018-03-29 09:00:56,46.41,3.2
2018-03-29 10:00:56,48.95,3.47
2018-03-29 11:00:56,51.92,3.24
2018-03-29 12:00:56,62.72,3.67
2018-03-29 13:00:56,99.06,3.95
2018-03-29 14:00:56,214.02,3.43
2018-03-29 15:00:56,211.15,3.05
2018-03-29 16:00:56,187.61,2.85
2018-03-29 17:00:56,154.84,3.03
2018-03-29 18:00:56,176.41,2.86
2018-03-29 19:00:56,111.7,2.72
2018-03-29 20:00:56,69.07,3.03
2018-03-29 21:00:56,63.13,3.15
2018-03-29 22:00:56,57.15,2.87
2018-03-29 23:00:56,43.36,2.78
2018-03-30 00:00:56,48.86,2.52
2018-03-30 01:00:56,51.93,1.71
2018-03-30 02:00:56,43.22,11.37
2018-03-30 03:00:56,59.59,11.47
2018-03-30 04:00:56,56.1,7.55
2018-03-30 05:00:56,39.41,2.95
2018-03-30 06:00:56,19.48,1.94
2018-03-30 07:00:56,20.95,2.27
2018-03-30 08:00:56,17.1,2.58
2018-03-30 09:00:56,14.07,3.72
2018-03-30 10:00:56,14.98,8.56
2018-03-30 11:00:56,26.71,12.48
2018-03-30 12:00:56,34.81,0.0
2018-03-30 13:00:56,28.17,3.77
2018-03-30 14:00:56,24.1,3.93
2018-03-30 15:00:56,21.07,3.01
2018-03-30 16:00:56,19.05,2.77
2018-03-30 17:00:56,9.24,2.47
2018-03-30 18:00:56,15.83,2.35
2018-03-30 19:00:56,21.86,3.55
2018-03-30 20:00:56,31.76,3.48
2018-03-30 21:00:56,37.86,3.76
2018-03-30 22:00:56,26.29,2.54
2018-03-30 23:00:56,25.02,3.01
2018-03-31 00:00:56,16.22,5.35
2018-03-31 01:00:56,29.66,11.47
2018-03-31 02:00:56,19.26,13.24
2018-03-31 03:00:56,16.07,10.64
2018-03-31 04:00:56,13.07,8.94
2018-03-31 05:00:56,13.0,9.06
2018-03-31 06:00:56,12.02,9.92
2018-03-31 07:00:56,10.05,9.38
2018-03-31 08:00:56,9.02,14.54
2018-03-31 09:00:56,23.66,18.75
2018-03-31 10:00:56,17.16,15.9
2018-03-31 11:00:56,20.91,16.66
2018-03-31 12:00:56,28.82,13.83
2018-03-31 13:00:56,22.17,9.89
2018-03-31 14:00:56,23.95,6.21
2018-03-31 15:00:56,20.1,5.49
2018-03-31 16:00:56,20.0,4.59
2018-03-31 17:00:56,12.19,4.02
2018-03-31 18:00:56,12.0,3.85
2018-03-31 19:00:56,12.98,4.03
2018-03-31 20:00:56,23.74,4.5
2018-03-31 21:00:56,32.78,5.11
2018-03-31 22:00:56,30.07,4.69
2018-03-31 23:00:56,20.24,5.19
2018-04-01 00:00:56,37.57,6.08
2018-04-01 01:00:56,39.95,5.31
2018-04-01 02:00:56,32.19,3.45
2018-04-01 03:00:56,31.02,4.02
2018-04-01 04:00:56,15.39,3.51
2018-04-01 05:00:56,14.02,3.79
2018-04-01 06:00:56,16.93,3.38
2018-04-01 07:00:56,20.9,3.35
2018-04-01 08:00:56,32.71,3.56
2018-04-01 09:00:56,32.02,3.62
2018-04-01 10:00:56,25.17,6.19
2018-04-01 11:00:56,26.95,6.7
2018-04-01 12:00:56,31.88,5.8
2018-04-01 13:00:56,32.0,4.98
2018-04-01 14:00:56,22.24,4.02
2018-04-01 15:00:56,25.9,3.37
2018-04-01 16:00:56,21.12,2.57
2018-04-01 17:00:56,21.0,2.04
2018-04-01 18:00:56,0.0,2.07
2018-04-01 19:00:56,0.0,3.33
2018-04-01 20:00:56,35.64,3.86
2018-04-01 21:00:56,45.76,3.93
2018-04-01 22:00:56,46.98,4.79
2018-04-01 23:00:56,57.74,5.01
2018-04-02 00:00:56,51.17,5.12
2018-04-02 01:00:56,61.73,3.98
2018-04-02 02:00:56,41.5,3.01
2018-04-02 03:00:56,33.19,2.49
2018-04-02 04:00:56,30.07,2.14
2018-04-02 05:00:56,23.17,2.01
2018-04-02 06:00:56,21.05,2.09
2018-04-02 07:00:56,21.98,2.5
2018-04-02 08:00:56,80.56,5.21
2018-04-02 09:00:56,97.62,4.55
