Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,13.46,0.0,302.27,0.0,0.0,0.0
2022-03-23 17:00:56,9.47,0.0,188.45,0.0,0.0,0.0
2022-03-23 18:00:56,7.67,0.0,0.0,0.0,0.0,0.0
2022-03-23 19:00:56,15.49,0.0,204.36,0.0,0.0,0.0
2022-03-23 20:00:56,17.54,0.0,0.0,0.0,0.0,0.0
2022-03-23 21:00:56,33.77,0.0,0.0,0.0,0.0,0.0
2022-03-23 22:00:56,24.46,0.0,0.0,0.0,0.0,0.0
2022-03-23 23:00:56,17.36,0.0,0.0,0.0,0.0,0.0
2022-03-24 00:00:56,12.58,0.0,0.0,0.0,0.0,0.0
2022-03-24 01:00:56,10.66,0.0,0.0,0.0,0.0,0.0
2022-03-24 02:00:56,8.26,0.0,0.0,0.0,0.0,0.0
2022-03-24 03:00:56,14.86,0.0,0.0,0.0,0.0,0.0
2022-03-24 04:00:56,10.92,0.0,0.0,0.0,0.0,0.0
2022-03-24 05:00:56,8.09,0.0,0.0,0.0,0.0,0.0
2022-03-24 06:00:56,6.23,0.0,0.0,0.0,0.0,0.0
2022-03-24 07:00:56,6.34,0.0,0.0,0.0,0.0,0.0
2022-03-24 08:00:56,4.83,0.0,0.0,0.0,0.0,0.0
2022-03-24 09:00:56,3.84,0.0,0.0,0.0,0.0,0.0
2022-03-24 10:00:56,2.92,0.0,0.0,0.0,0.0,0.0
2022-03-24 11:00:56,3.13,0.0,0.0,0.0,0.0,0.0
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
