Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,17.06,18.52
2022-03-23 17:00:56,18.64,19.11
2022-03-23 18:00:56,8.16,18.99
2022-03-23 19:00:56,13.06,19.13
2022-03-23 20:00:56,14.9,20.05
2022-03-23 21:00:56,12.16,19.39
2022-03-23 22:00:56,16.88,19.9
2022-03-23 23:00:56,13.03,19.46
2022-03-24 00:00:56,13.97,19.36
2022-03-24 01:00:56,13.2,18.79
2022-03-24 02:00:56,18.74,18.61
2022-03-24 03:00:56,10.97,18.45
2022-03-24 04:00:56,10.16,17.86
2022-03-24 05:00:56,15.1,17.79
2022-03-24 06:00:56,18.06,18.4
2022-03-24 07:00:56,19.88,22.79
2022-03-24 08:00:56,16.0,23.93
2022-03-24 09:00:56,15.84,24.85
2022-03-24 10:00:56,11.0,21.13
2022-03-24 11:00:56,11.12,19.61
2022-03-24 12:00:56,14.94,18.44
2022-03-24 13:00:56,0.0,0.0
