Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,20.35,3.68,1044.54,0.0,0.0,90.06
2022-03-23 17:00:56,23.62,3.26,1047.32,11.74,14.7,84.75
2022-03-23 18:00:56,25.45,3.39,1044.66,0.0,0.0,81.24
2022-03-23 19:00:56,0.0,3.55,0.0,13.6,16.52,0.0
2022-03-23 20:00:56,22.69,3.78,1037.91,13.18,15.86,79.64
2022-03-23 21:00:56,26.78,3.46,1034.89,13.5,0.0,75.67
2022-03-23 22:00:56,21.76,4.75,1038.24,15.25,17.94,75.43
2022-03-23 23:00:56,18.93,6.34,1063.86,15.05,17.61,72.61
2022-03-24 00:00:56,26.2,5.01,1042.3,13.07,15.6,72.46
2022-03-24 01:00:56,41.66,3.44,1036.52,13.54,15.98,69.83
2022-03-24 02:00:56,38.64,3.77,1040.35,13.8,0.0,66.68
2022-03-24 03:00:56,27.57,3.93,1040.96,15.38,17.9,65.01
2022-03-24 04:00:56,22.74,3.87,1039.48,14.44,16.96,65.39
2022-03-24 05:00:56,27.62,3.78,0.0,11.99,0.0,67.21
2022-03-24 06:00:56,35.3,3.07,1019.76,12.32,14.83,71.53
2022-03-24 07:00:56,22.35,3.32,1014.01,11.76,14.23,73.5
2022-03-24 08:00:56,20.94,3.9,1021.15,12.41,14.92,72.97
2022-03-24 09:00:56,26.31,0.0,0.0,0.0,0.0,73.24
2022-03-24 10:00:56,38.45,3.77,1043.58,11.14,0.0,70.12
2022-03-24 11:00:56,31.06,3.45,1040.19,11.32,0.0,72.65
2022-03-24 12:00:56,0.0,3.5,0.0,10.8,0.0,74.8
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
